offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
76697077,68047571,0,,,,,,,,
76697078,68047572,1,5,45,F,1,,,,
76697079,68047573,1,5,46,F,1,,,,
76697080,68047574,0,,,,,,,,
76697081,68047575,1,5,12,M,1,,,,
76697082,68047575,2,5,15,M,2,,,,
76697084,68047576,2,5,17,M,2,,,,
76697083,68047576,1,5,15,M,2,,,,
76697086,68047578,0,,,,,,,,
76697096,68047588,0,,,,,,,,
76697085,68047577,1,5,56,F,1,,,,
76697087,68047579,0,,,,,,,,
76697088,68047580,1,5,57,F,1,,,,
76697089,68047581,1,5,23,F,1,,,,
76697090,68047582,0,,,,,,,,
76697091,68047583,1,5,19,M,1,,,,
76697092,68047584,0,,,,,,,,
76697093,68047585,0,,,,,,,,
76697094,68047586,0,,,,,,,,
76697095,68047587,0,,,,,,,,
76697097,68047589,0,,,,,,,,
76691395,68042139,2,5,14,M,1,,,,
76691394,68042139,1,5,14,M,1,,,,
76691396,68042140,0,,,,,,,,
76691397,68042141,0,,,,,,,,
76691398,68042142,0,,,,,,,,
76691399,68042143,0,,,,,,,,
76691400,68042144,0,,,,,,,,
76691401,68042145,0,,,,,,,,
76691402,68042146,0,,,,,,,,
76691403,68042147,0,,,,,,,,
76691404,68042148,0,,,,,,,,
76691405,68042149,1,5,12,F,1,,,,
76691406,68042150,1,5,13,M,1,,,,
76691407,68042151,1,5,60,M,1,,,,
76691408,68042152,1,5,50,F,1,,,,
76691409,68042153,0,,,,,,,,
76691411,68042154,2,5,18,F,1,,,,
76691410,68042154,1,5,18,M,1,,,,
76691412,68042155,1,5,18,M,1,,,,
76691417,68042160,0,,,,,,,,
76691418,68042161,1,5,39,M,1,,,,
76691413,68042156,1,5,17,M,1,,,,
76691414,68042157,1,5,21,M,1,,,,
76691415,68042158,1,5,36,M,1,,,,
76691416,68042159,1,5,47,F,1,,,,
76691419,68042162,0,,,,,,,,
76691426,68042168,2,5,14,F,1,,,,
76691425,68042168,1,5,14,F,1,,,,
76691454,68042190,1,5,51,M,1,,,,
76691420,68042163,0,,,,,,,,
76691421,68042164,0,,,,,,,,
76691422,68042165,0,,,,,,,,
76691423,68042166,0,,,,,,,,
76691424,68042167,1,5,21,M,1,,,,
76691427,68042169,1,5,46,M,1,,,,
76691428,68042170,1,5,16,F,1,,,,
76691433,68042173,3,5,18,M,1,,,,
76691432,68042173,2,5,18,M,1,,,,
76691431,68042173,1,5,17,M,1,,,,
76691438,68042177,0,,,,,,,,
76691439,68042178,0,,,,,,,,
76691429,68042171,0,,,,,,,,
76691430,68042172,0,,,,,,,,
76691434,68042174,0,,,,,,,,
76691436,68042175,2,5,53,M,1,,,,
76691435,68042175,1,5,17,M,1,,,,
76691437,68042176,0,,,,,,,,
76691444,68042182,1,5,18,M,1,,,,
76691447,68042185,0,,,,,,,,
76691456,68042192,1,5,18,M,1,,,,
76691470,68042204,1,5,15,M,2,,,,
76691440,68042179,1,5,15,F,1,,,,
76691442,68042180,2,5,21,F,1,,,,
76691441,68042180,1,5,18,M,1,,,,
76691443,68042181,0,,,,,,,,
76691445,68042183,1,5,41,M,1,,,,
76691446,68042184,1,5,13,M,1,,,,
76691450,68042186,3,5,21,M,1,,,,
76691449,68042186,2,5,23,M,1,,,,
76691448,68042186,1,5,21,M,1,,,,
76691451,68042187,0,,,,,,,,
76691452,68042188,1,5,22,M,1,,,,
76691453,68042189,0,,,,,,,,
76691455,68042191,1,5,22,F,1,,,,
76691457,68042193,0,,,,,,,,
76691458,68042194,0,,,,,,,,
76691459,68042195,0,,,,,,,,
76691460,68042196,0,,,,,,,,
76691464,68042199,1,5,22,M,1,,,,
76691463,68042198,0,,,,,,,,
76691461,68042197,1,5,15,F,2,,,,
76691462,68042197,2,5,19,M,2,,,,
76691466,68042200,2,5,19,M,1,,,,
76691465,68042200,1,5,45,M,1,,,,
76691467,68042201,0,,,,,,,,
76691468,68042202,0,,,,,,,,
76691469,68042203,1,5,19,M,1,,,,
76691471,68042205,1,5,45,M,1,,,,
76691472,68042206,1,5,27,F,1,,,,
76691473,68042207,1,5,15,F,1,,,,
76691475,68042209,1,5,48,F,1,,,,
76691496,68043018,1,5,35,M,1,,,,
76691474,68042208,0,,,,,,,,
76691476,68042210,1,5,19,M,1,,,,
76691490,68043013,1,5,21,M,1,,,,
76691495,68043017,2,5,43,M,1,,,,
76691494,68043017,1,5,31,M,1,,,,
76691477,68042211,0,,,,,,,,
76691478,68042212,1,5,24,M,1,,,,
76691479,68042213,1,5,32,M,1,,,,
76691483,68042215,3,5,46,M,1,,,,
76691482,68042215,2,5,31,F,1,,,,
76691481,68042215,1,5,38,M,1,,,,
76691491,68043014,0,,,,,,,,
76691492,68043015,1,5,37,M,1,,,,
76691493,68043016,1,5,16,M,1,,,,
76691480,68042214,0,,,,,,,,
76691484,68042216,0,,,,,,,,
76691485,68042217,1,5,31,M,1,,,,
76691486,68042218,1,5,42,M,1,,,,
76691487,68042219,1,5,52,M,1,,,,
76691488,68042220,1,5,16,M,1,,,,
76691489,68042221,0,,,,,,,,
76691500,68043019,4,5,15,M,1,,,,
