suspect_using_id,offense_id
4,77774028
4,77757180
4,77757181
4,77765691
4,77765692
4,77769194
4,77770902
4,77765693
4,77770901
4,77774029
4,77774030
4,77757182
4,77770903
4,77774031
4,77766010
4,77776771
4,77776772
4,77766011
4,77774032
4,77768162
4,77746267
4,77773005
4,77751174
4,77764991
4,77752522
4,77751175
4,77768163
4,77752523
4,77764992
4,77764315
4,77752524
4,77768164
4,77764316
4,77773006
4,77751176
3,77764993
3,77764994
4,77746269
4,77764317
4,77764318
4,77768165
4,77746268
4,77769864
4,77769865
4,77764995
4,77764996
4,77768166
4,77764997
4,77768168
4,77756166
4,77751177
4,77764319
4,77746270
4,77769866
4,77769867
4,77769868
4,77751178
4,77769869
4,77773008
4,77769870
4,77746271
4,77764320
4,77773007
4,77764998
4,77746272
4,77765000
4,77765001
4,77765002
4,77746273
4,77765005
4,77769871
4,77764999
4,77751179
4,77768167
4,77756167
4,77765003
4,77751180
4,77765004
4,77756168
4,77768169
4,77756169
4,77751181
4,77768170
4,77768171
4,77746274
4,77746275
4,77773009
4,77751182
4,77764321
4,77764322
4,77769872
4,77756170
4,77746276
4,77768172
4,77765006
4,77764323
4,77764325
4,77756171
4,77751183
4,77765007
4,77764324
4,77769873
4,77746277
4,77746278
4,77746279
4,77746281
4,77768175
4,77769874
4,77769875
4,77756172
4,77746280
4,77773010
4,77746282
4,77768173
1,77773011
4,77768174
4,77751184
4,77773012
4,77773013
4,77756173
4,77756174
3,77765269
4,77770833
3,77775808
4,77775809
4,77773059
4,77768238
4,77765058
4,77765059
4,77765062
4,77765061
4,77765275
4,77770834
4,77770835
4,77765060
4,77768239
4,77768240
4,77768241
4,77773060
4,77773061
4,77756222
4,77765270
4,77765271
4,77756221
4,77775810
4,77765619
4,77765272
4,77770839
4,77765273
4,77770836
4,77770837
4,77756223
4,77765620
4,77765274
4,77770838
4,77756224
4,77756225
4,77765276
4,77756226
4,77765648
4,77773102
4,77765077
1,77775811
1,77765277
4,77776739
4,77757155
4,77768242
4,77756227
4,77770840
4,77770841
4,77775812
4,77765278
4,77756228
4,77765621
4,77765279
4,77756229
4,77765622
3,77775813
4,77765623
4,77773062
4,77756230
4,77773063
4,77773064
4,77773065
4,77775814
4,77773066
4,77770842
4,77770843
4,77776712
4,77776713
4,77776714
4,77776715
4,77768243
4,77776716
4,77757156
4,77756231
4,77770844
4,77765624
4,77773067
4,77756232
4,77773068
3,77768244
4,77770845
4,77765625
4,77773069
4,77776717
4,77776718
4,77765280
4,77773071
4,77756237
3,77765283
4,77770863
4,77765647
4,77757157
4,77768245
4,77768246
4,77770846
4,77770847
4,77765063
4,77765064
4,77765626
4,77765281
4,77765282
4,77773070
4,77765627
4,77768247
4,77765065
1,77768248
4,77756233
4,77756234
4,77765631
4,77773073
4,77773074
4,77773075
4,77776740
4,77768249
4,77765628
4,77765629
4,77765630
4,77776719
4,77770848
4,77770849
4,77756235
4,77756236
4,77768250
4,77768251
4,77768252
4,77776720
4,77773072
4,77768253
4,77776721
4,77776722
4,77770850
4,77765068
4,77756240
4,77776723
4,77776724
4,77770851
4,77773076
4,77773077
4,77765287
4,77765649
3,77765646
4,77765066
4,77765067
4,77768254
4,77756238
3,77756239
4,77765069
4,77776725
4,77765284
4,77765285
4,77756241
4,77765286
4,77773078
4,77765632
4,77773079
4,77765288
4,77773080
4,77773081
4,77773082
4,77765289
4,77770852
4,77757154
1,77765070
4,77765071
4,77757158
4,77757159
4,77773105
4,77773106
4,77765290
4,77765633
4,77776726
4,77756242
4,77756243
4,77765072
4,77765073
4,77765074
4,77765634
3,77765291
3,77765292
4,77770853
3,77768255
4,77765635
4,77765636
4,77773083
