arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
19150143,68043070,1,13-002528,2013-10-10 00:00:00,2,C,39,5,15,M,1,2,N,R,,,,
19150075,68042179,1,A00000130244,2013-05-03 00:00:00,2,N,39,5,15,F,1,2,R,R,,,,
19150060,68042156,1,A00000129009,2013-02-04 00:00:00,2,N,39,5,17,M,1,2,R,R,,,,
19151154,68044060,1,A00000130076,2013-04-25 00:00:00,1,N,48,5,23,F,2,2,N,,,,,
19151309,68045849,1,A00000131372,2013-08-06 00:00:00,1,N,48,5,28,M,2,2,N,,,,,
19152280,68045897,1,A00000132733,2013-11-13 00:00:00,1,N,48,5,18,M,2,2,R,,,,,
19150155,68043102,1,A00000133917,2014-02-10 00:00:00,2,N,16,5,17,M,1,2,N,R,,,,
19150141,68043064,1,M0015,2013-12-03 00:00:00,2,N,16,5,48,F,1,2,N,,,,,
19150103,68043015,1,A00000133436,2013-12-07 00:00:00,2,N,16,5,37,M,1,2,R,,,,,
19150078,68042182,1,A00000130434,2013-05-01 00:00:00,2,N,45,5,18,M,1,3,R,,,,,
19150170,68043137,1,A00000133357,2013-12-28 00:00:00,2,N,45,5,19,F,1,3,N,,,,,
19151155,68044060,2,A00000130077,2013-04-25 00:00:00,1,M,48,5,20,F,1,2,N,,,,,
19151182,68044910,1,A00000133345,2014-01-02 00:00:00,1,N,48,5,35,M,1,2,R,,,,,
19151180,68044900,1,A00000133187,2013-12-18 00:00:00,1,N,48,5,23,M,1,2,N,,,,,
19151170,68044086,1,A00000133132,2013-12-10 00:00:00,1,N,48,5,28,M,1,2,N,,,,,
19151165,68044069,1,A00000131601,2013-08-22 00:00:00,1,M,48,5,21,M,1,3,N,,,,,
19152294,68045921,1,A00000133598,2013-12-05 00:00:00,2,N,47,5,19,M,2,3,R,,,,,
19150225,68044048,1,A00000133104,2013-12-08 00:00:00,1,N,23,5,21,M,1,2,R,,,,,
19150187,68043968,1,A00000133473,2013-12-30 00:00:00,1,N,23,5,18,F,1,2,N,,,,,
19151174,68044094,1,A00000133469,2013-12-28 00:00:00,1,N,23,5,34,F,1,2,N,,,,,
19151173,68044092,2,A00000133313,2013-12-24 00:00:00,1,M,23,5,20,F,1,2,N,,,,,
