victim_id,offender_id,relationship_id,nibrs_victim_offender_id
73993472,76696945,25,23719779
73993475,76696949,25,22963385
73993475,76696950,3,23719778
73993476,76696949,3,22963384
73993476,76696950,25,23719777
73993488,76696966,25,22963383
73993488,76696967,3,23719776
73993489,76696966,3,22963382
73993489,76696967,25,23719775
73993501,76696979,25,22927180
73993501,76696980,5,23712803
73993502,76696979,17,22927179
73993502,76696980,25,23712802
73993504,76696982,17,22927178
73993505,76696982,17,22927177
73993510,76696986,25,22927176
73993510,76696987,3,23712801
73993511,76696986,3,22927175
73993511,76696987,25,23712800
73993523,76697003,15,22927174
73993533,76697012,1,22927173
73993533,76697013,1,23712799
73993558,76697043,25,22927125
73993558,76697044,21,23712792
73993559,76697043,16,22927124
73993559,76697044,25,23712791
73993560,76697045,1,22927123
73993561,76697046,19,22927122
73993563,76697050,1,22927121
73993564,76697051,18,22927120
73994513,76697100,1,22888651
73994514,76697101,3,22888650
73994515,76697102,3,22888649
73989242,76693260,1,22965161
73989242,76693261,1,23719789
73989139,76691606,18,22569622
73989171,76691638,5,22640842
73989171,76691639,4,23669876
73989176,76693185,3,23597233
73989177,76693186,3,23597232
73989183,76693192,15,23597231
73989184,76693193,3,23597230
73989229,76693240,24,22434540
73989249,76693267,18,22965160
73989250,76693268,18,22728689
73989251,76693269,24,22965159
73990172,76693284,3,22963432
73990176,76693288,3,22963431
73990182,76693293,3,22963430
73990183,76693294,21,22963429
73990188,76693299,14,22728688
73990193,76693304,3,22963428
73990205,76693317,1,22963427
73990206,76693318,3,22434537
73990207,76693319,18,22963426
73990213,76693324,5,22963425
73990220,76693331,1,22728687
73990239,76693356,3,22963424
73990253,76693373,5,22927158
73990254,76693373,5,22927157
73990259,76693380,17,22927156
73990265,76693388,1,22927155
73990280,76693402,15,22927154
73990281,76693402,15,22927153
73990283,76693404,16,22728671
73990302,76693422,26,22927152
73990306,76693426,3,22588685
73994562,76698663,16,22965168
73994563,76698664,3,22965167
73994564,76698664,4,22965166
73994522,76697110,3,22799659
73994530,76697119,3,22728661
73994537,76697125,3,22728660
73994548,76698649,3,22728691
73994549,76698650,3,22728690
73994557,76698658,9,22965169
73990319,76693436,16,22728670
73990326,76693444,3,22927151
73991246,76693460,1,22728669
73991247,76693460,16,22728668
73991249,76693462,20,22728667
73991251,76693464,24,22728666
73991252,76693464,24,22728665
73991253,76693465,3,22799660
73989077,76691536,24,23598433
73989085,76691542,21,23598432
73989086,76691543,24,23598431
