agency_id,incident_id,nibrs_month_id,incident_number,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,ddocname,orig_format,ff_line_number,did
16599,68047571,6354859,I00000394001,,,2013-11-30 00:00:00,,14,6,,0,C,2013_11_PA0363100_I00000394001_INC_NIBRS,,,
16599,68047572,6377191,I00000394258,,,2013-12-14 00:00:00,,7,6,,0,C,2013_12_PA0363100_I00000394258_INC_NIBRS,,,
16599,68047573,6377191,I00000394461,,,2013-12-17 00:00:00,,8,2,2013-12-19 00:00:00,0,C,2013_12_PA0363100_I00000394461_INC_NIBRS,,,
16599,68047574,6377191,I00000394690,,,2013-12-23 00:00:00,,20,6,,0,C,2013_12_PA0363100_I00000394690_INC_NIBRS,,,
16599,68047575,6377191,I00000394830,,,2013-12-31 00:00:00,,4,6,,0,C,2013_12_PA0363100_I00000394830_INC_NIBRS,,,
16599,68047576,6377191,I00000394881,,,2013-12-31 00:00:00,,16,6,,0,C,2013_12_PA0363100_I00000394881_INC_NIBRS,,,
16607,68047578,6354867,I00000393856,,,2013-11-29 00:00:00,,9,6,,0,C,2013_11_PA0363900_I00000393856_INC_NIBRS,,,
16607,68047588,6354867,I00000396839,,,2013-11-30 00:00:00,,12,6,,0,C,2013_11_PA0363900_I00000396839_INC_NIBRS,,,
16607,68047577,6377199,I00000393828,,,2013-12-02 00:00:00,,15,6,,0,C,2013_12_PA0363900_I00000393828_INC_NIBRS,,,
16607,68047579,6377199,I00000393930,,,2013-12-04 00:00:00,,13,6,,0,C,2013_12_PA0363900_I00000393930_INC_NIBRS,,,
16607,68047580,6377199,I00000394202,,,2013-12-12 00:00:00,,15,6,,0,C,2013_12_PA0363900_I00000394202_INC_NIBRS,,,
16607,68047581,6377199,I00000394263,,,2013-12-14 00:00:00,,4,6,,0,C,2013_12_PA0363900_I00000394263_INC_NIBRS,,,
16607,68047582,6377199,I00000394412,,,2013-12-01 00:00:00,,9,6,,0,C,2013_12_PA0363900_I00000394412_INC_NIBRS,,,
16607,68047583,6377199,I00000394483,,,2013-12-20 00:00:00,,1,6,,0,C,2013_12_PA0363900_I00000394483_INC_NIBRS,,,
16607,68047584,6377199,I00000394551,,,2013-12-20 00:00:00,,16,6,,0,C,2013_12_PA0363900_I00000394551_INC_NIBRS,,,
16607,68047585,6377199,I00000394817,,,2013-12-28 00:00:00,,12,6,,0,C,2013_12_PA0363900_I00000394817_INC_NIBRS,,,
16607,68047586,6377199,I00000394819,,,2013-12-30 00:00:00,,9,6,,0,C,2013_12_PA0363900_I00000394819_INC_NIBRS,,,
16607,68047587,6377199,I00000394973,,,2013-12-03 00:00:00,,8,6,,0,C,2013_12_PA0363900_I00000394973_INC_NIBRS,,,
16607,68047589,6377199,I00000399424,,,2013-12-30 00:00:00,,12,6,,0,C,2013_12_PA0363900_I00000399424_INC_NIBRS,,,
15662,68042139,6219930,BIG13-030,,,2013-05-13 00:00:00,,17,6,,0,C,2013_05_PA0011500_BIG13-030_INC_NIBRS,,,
15662,68042140,6264594,BIG13-038,,,2013-07-24 00:00:00,,20,6,,0,C,2013_07_PA0011500_BIG13-038_INC_NIBRS,,,
15662,68042141,6309258,I00000391715,,,2013-09-13 00:00:00,,7,6,,0,C,2013_09_PA0011500_I00000391715_INC_NIBRS,,,
15662,68042142,6309258,I00000391716,,,2013-09-13 00:00:00,,7,6,,0,C,2013_09_PA0011500_I00000391716_INC_NIBRS,,,
15662,68042143,6309258,I00000391720,,,2013-09-13 00:00:00,,7,6,,0,C,2013_09_PA0011500_I00000391720_INC_NIBRS,,,
15662,68042144,6309258,I00000391721,,,2013-09-13 00:00:00,,7,6,,0,C,2013_09_PA0011500_I00000391721_INC_NIBRS,,,
15662,68042145,6309258,I00000391722,,,2013-09-13 00:00:00,,7,6,,0,C,2013_09_PA0011500_I00000391722_INC_NIBRS,,,
15662,68042146,6309258,I00000391724,,,2013-09-13 00:00:00,,7,6,,0,C,2013_09_PA0011500_I00000391724_INC_NIBRS,,,
15662,68042147,6309258,I00000391767,,,2013-09-13 00:00:00,,7,6,,0,C,2013_09_PA0011500_I00000391767_INC_NIBRS,,,
15662,68042148,6309258,I00000391769,,,2013-09-13 00:00:00,,10,6,,0,C,2013_09_PA0011500_I00000391769_INC_NIBRS,,,
15662,68042149,6353922,I00000393626,,,2013-11-07 00:00:00,,12,6,,0,C,2013_11_PA0011500_I00000393626_INC_NIBRS,,,
15662,68042150,6353922,I00000393632,,,2013-11-08 00:00:00,,12,6,,0,C,2013_11_PA0011500_I00000393632_INC_NIBRS,,,
15662,68042151,6376254,I00000394411,,,2013-12-17 00:00:00,,17,6,,0,C,2013_12_PA0011500_I00000394411_INC_NIBRS,,,
15662,68042152,6376254,I00000394852,,,2013-12-30 00:00:00,,11,6,,0,C,2013_12_PA0011500_I00000394852_INC_NIBRS,,,
15662,68042153,6376254,I00000395512,,,2013-12-14 00:00:00,,8,6,,0,C,2013_12_PA0011500_I00000395512_INC_NIBRS,,,
15663,68042154,6130603,I00000380477,,,2013-01-16 00:00:00,,14,6,,0,C,2013_01_PA0011800_I00000380477_INC_NIBRS,,,
15663,68042155,6130603,I00000380558,,,2013-01-18 00:00:00,,23,6,,0,C,2013_01_PA0011800_I00000380558_INC_NIBRS,,,
15663,68042160,6130603,I00000381480,,,2013-01-08 00:00:00,,16,6,,0,C,2013_01_PA0011800_I00000381480_INC_NIBRS,,,
15663,68042161,6130603,I00000381717,,,2013-01-23 00:00:00,,10,6,,0,C,2013_01_PA0011800_I00000381717_INC_NIBRS,,,
15663,68042156,6152935,I00000381095,,,2013-02-04 00:00:00,,11,6,,0,C,2013_02_PA0011800_I00000381095_INC_NIBRS,,,
15663,68042157,6152935,I00000381276,,,2013-02-08 00:00:00,,6,6,,0,C,2013_02_PA0011800_I00000381276_INC_NIBRS,,,
15663,68042158,6152935,I00000381308,,,2013-02-08 00:00:00,,12,6,,0,C,2013_02_PA0011800_I00000381308_INC_NIBRS,,,
15663,68042159,6152935,I00000381314,,,2013-02-08 00:00:00,,12,6,,0,C,2013_02_PA0011800_I00000381314_INC_NIBRS,,,
15663,68042162,6152935,I00000381966,,,2013-02-22 00:00:00,,17,6,,0,C,2013_02_PA0011800_I00000381966_INC_NIBRS,,,
15663,68042168,6152935,I00000382504,,,2013-02-13 00:00:00,,11,6,,0,C,2013_02_PA0011800_I00000382504_INC_NIBRS,,,
