bias_id,offense_id
21,77774028
21,77757180
21,77757181
21,77765691
21,77765692
21,77769194
21,77770902
21,77765693
21,77770901
21,77774029
21,77774030
21,77757182
21,77770903
21,77774031
21,77766010
21,77776771
21,77776772
21,77766011
21,77774032
21,77768162
21,77746267
21,77773005
21,77751174
21,77764991
21,77752522
21,77751175
21,77768163
21,77752523
21,77764992
21,77764315
21,77752524
21,77768164
21,77764316
21,77773006
21,77751176
21,77764993
21,77764994
21,77746269
21,77764317
21,77764318
21,77768165
21,77746268
21,77769864
21,77769865
21,77764995
21,77764996
21,77768166
21,77764997
21,77768168
21,77756166
21,77751177
21,77764319
21,77746270
21,77769866
21,77769867
21,77769868
21,77751178
21,77769869
21,77773008
21,77769870
21,77746271
21,77764320
21,77773007
21,77764998
21,77746272
21,77765000
21,77765001
21,77765002
21,77746273
21,77765005
21,77769871
21,77764999
21,77751179
21,77768167
21,77756167
21,77765003
21,77751180
21,77765004
21,77756168
21,77768169
21,77756169
21,77751181
21,77768170
21,77768171
21,77746274
21,77746275
21,77773009
21,77751182
21,77764321
21,77764322
21,77769872
21,77756170
21,77746276
21,77768172
21,77765006
21,77764323
21,77764325
21,77756171
21,77751183
21,77765007
21,77764324
21,77769873
21,77746277
21,77746278
21,77746279
21,77746281
21,77768175
21,77769874
21,77769875
21,77756172
21,77746280
21,77773010
21,77746282
21,77768173
21,77773011
21,77768174
21,77751184
21,77773012
21,77773013
21,77756173
21,77756174
21,77765269
21,77770833
21,77775808
21,77775809
21,77773059
21,77768238
21,77765058
21,77765059
21,77765062
21,77765061
21,77765275
21,77770834
21,77770835
21,77765060
21,77768239
21,77768240
21,77768241
21,77773060
21,77773061
21,77756222
21,77765270
21,77765271
21,77756221
21,77775810
21,77765619
21,77765272
21,77770839
21,77765273
21,77770836
21,77770837
21,77756223
21,77765620
21,77765274
21,77770838
21,77756224
21,77756225
21,77765276
21,77756226
21,77765648
21,77773102
21,77765077
21,77775811
21,77765277
21,77776739
21,77757155
21,77768242
21,77756227
21,77770840
21,77770841
21,77775812
21,77765278
21,77756228
21,77765621
21,77765279
21,77756229
21,77765622
21,77775813
21,77765623
21,77773062
21,77756230
21,77773063
21,77773064
21,77773065
21,77775814
21,77773066
21,77770842
21,77770843
21,77776712
21,77776713
21,77776714
21,77776715
21,77768243
21,77776716
21,77757156
21,77756231
21,77770844
21,77765624
21,77773067
21,77756232
21,77773068
21,77768244
21,77770845
21,77765625
21,77773069
21,77776717
21,77776718
21,77765280
21,77773071
21,77756237
21,77765283
21,77770863
21,77765647
21,77757157
21,77768245
21,77768246
21,77770846
21,77770847
21,77765063
21,77765064
21,77765626
21,77765281
21,77765282
21,77773070
21,77765627
21,77768247
21,77765065
21,77768248
21,77756233
21,77756234
21,77765631
21,77773073
21,77773074
21,77773075
21,77776740
21,77768249
21,77765628
21,77765629
21,77765630
21,77776719
21,77770848
21,77770849
21,77756235
21,77756236
21,77768250
21,77768251
21,77768252
21,77776720
21,77773072
21,77768253
21,77776721
21,77776722
21,77770850
21,77765068
21,77756240
21,77776723
21,77776724
21,77770851
21,77773076
21,77773077
21,77765287
21,77765649
21,77765646
21,77765066
21,77765067
21,77768254
21,77756238
21,77756239
21,77765069
21,77776725
21,77765284
21,77765285
21,77756241
21,77765286
21,77773078
21,77765632
21,77773079
21,77765288
21,77773080
21,77773081
21,77773082
21,77765289
21,77770852
21,77757154
21,77765070
21,77765071
21,77757158
21,77757159
21,77773105
21,77773106
21,77765290
21,77765633
21,77776726
21,77756242
21,77756243
21,77765072
21,77765073
21,77765074
21,77765634
21,77765291
21,77765292
21,77770853
21,77768255
21,77765635
21,77765636
21,77773083
21,77773084
21,77768256
21,77765637
21,77765293
21,77765294
21,77770854
21,77770860
21,77765078
21,77765080
21,77768265
21,77757160
21,77776727
21,77773085
21,77773086
21,77773087
21,77773088
21,77776728
21,77765638
21,77765639
21,77765295
21,77776729
21,77756244
21,77776730
21,77776731
21,77765075
21,77768257
21,77768258
21,77765640
21,77765076
21,77776741
21,77776742
21,77773089
21,77773090
21,77756245
21,77776732
21,77776733
21,77756246
21,77776734
21,77756247
21,77770859
21,77757152
21,77765644
21,77773100
21,77773101
21,77765300
21,77765301
21,77765079
21,77768264
21,77765081
21,77773103
21,77770864
21,77757161
21,77765650
21,77773104
21,77765651
21,77770865
21,77770866
21,77773091
21,77773092
21,77773093
21,77765296
21,77765297
21,77773094
21,77756248
21,77756249
21,77776735
21,77768259
21,77756250
21,77768260
21,77773095
21,77756251
21,77770855
21,77770856
21,77765641
21,77765642
21,77756252
21,77756253
21,77770857
21,77756254
21,77756255
21,77756256
21,77770858
21,77768261
21,77768262
21,77776736
21,77768263
21,77773096
21,77773097
21,77765643
21,77773098
21,77765298
21,77773099
21,77776737
21,77776738
21,77770861
21,77756257
21,77757151
21,77765299
21,77765645
21,77757153
21,77770862
21,77757162
21,77773107
21,77765082
21,77765652
21,77770867
21,77776743
21,77770899
21,77770900
21,77765653
21,77757163
21,77765083
21,77766009
21,77773108
21,77776744
21,77773111
21,77773112
21,77765302
21,77765303
21,77776745
21,77776746
21,77773109
21,77773110
21,77765304
21,77765654
21,77765655
21,77773113
21,77773114
21,77765656
21,77765657
21,77765658
21,77765084
21,77768267
21,77768268
21,77776747
21,77773115
21,77773116
21,77768266
21,77770868
21,77770869
21,77765659
21,77765660
21,77765305
21,77765306
21,77765307
21,77765085
21,77765976
21,77765977
21,77768269
21,77765661
21,77765662
21,77765663
21,77765664
21,77776748
21,77765978
21,77765979
21,77765980
21,77768270
21,77776749
21,77776750
21,77765665
21,77765981
21,77765982
21,77776751
21,77770870
21,77757164
21,77765983
21,77765308
21,77768271
21,77770871
21,77765666
21,77768272
21,77770872
21,77765667
21,77765668
21,77776752
21,77757165
21,77765984
21,77765985
21,77773117
21,77773118
21,77773119
21,77768273
21,77768274
21,77765987
21,77765988
21,77765986
21,77773120
21,77773121
21,77765669
21,77769171
21,77770873
21,77770874
21,77770875
21,77765989
21,77765670
21,77757166
21,77757167
21,77757168
21,77757169
21,77769172
21,77769173
21,77765671
21,77770876
21,77765990
21,77776753
21,77776770
21,77765674
21,77757172
21,77770877
21,77776754
21,77757173
21,77757174
21,77769176
21,77765995
21,77765678
21,77765679
21,77770893
21,77757170
21,77765991
21,77765309
21,77757171
21,77765310
21,77765311
21,77765312
21,77765672
21,77765673
21,77769174
21,77769175
21,77765325
21,77769177
21,77769178
21,77765675
21,77765313
21,77765676
21,77765314
21,77765315
21,77765316
21,77770878
21,77770879
21,77770880
21,77770881
21,77765992
21,77765993
21,77770882
21,77765677
21,77773122
21,77769179
21,77769180
21,77765994
21,77770883
21,77774019
21,77770884
21,77770885
21,77765996
21,77757175
21,77765680
21,77765317
21,77774021
21,77774022
21,77765689
21,77765690
21,77765326
21,77765997
21,77757176
21,77769181
21,77774020
21,77769182
21,77765681
21,77769183
21,77769184
21,77769185
21,77776755
21,77776756
21,77765318
21,77765319
21,77765320
21,77776757
21,77776758
21,77770886
21,77765682
21,77757177
21,77776759
21,77770887
21,77770888
21,77770889
21,77765683
21,77765998
21,77765999
21,77766000
21,77770890
21,77757178
21,77765684
21,77776760
21,77776761
21,77770891
21,77770892
21,77776762
21,77766001
21,77765321
21,77776763
21,77766002
21,77766003
21,77766004
21,77774023
21,77766005
21,77766006
21,77776764
21,77776765
21,77776766
21,77774024
21,77769186
21,77776767
21,77769187
21,77774025
21,77765685
21,77770894
21,77769188
21,77769189
21,77769190
21,77770895
21,77765322
21,77757179
21,77765323
21,77776768
21,77766007
21,77770896
21,77770897
21,77776769
21,77765324
21,77765686
21,77769191
21,77765687
21,77765688
21,77766008
21,77770898
21,77774026
21,77774027
21,77769192
21,77769193
21,77765329
21,77774033
