offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
77774028,68047571,49,A,4,0,N,
77757180,68047572,51,C,25,,,
77757181,68047573,5,C,20,,,
77765691,68047574,5,C,20,,,
77765692,68047575,49,C,7,0,F,
77769194,68047576,5,C,38,,,
77770902,68047578,5,C,20,,,
77765693,68047588,5,C,20,,,
77770901,68047577,23,C,24,,,
77774029,68047579,45,C,20,,,
77774030,68047580,51,C,12,,,
77757182,68047581,28,C,25,,,
77770903,68047582,14,C,20,,,
77774031,68047583,14,A,20,,,
77766010,68047584,45,C,20,,,
77776771,68047585,5,C,36,,,
77776772,68047586,49,C,20,0,F,
77766011,68047587,2,C,20,,,
77774032,68047589,14,C,20,,,
77768162,68042139,5,C,13,,,
77746267,68042140,51,C,13,,,
77773005,68042141,5,C,19,,,
77751174,68042142,5,C,19,,,
77764991,68042143,5,C,19,,,
77752522,68042144,5,C,19,,,
77751175,68042145,5,C,19,,,
77768163,68042146,5,C,19,,,
77752523,68042147,5,C,19,,,
77764992,68042148,5,C,19,,,
77764315,68042149,45,C,41,,,
77752524,68042150,39,C,41,,,
77768164,68042151,51,C,13,,,
77764316,68042152,51,C,20,,,
77773006,68042153,45,C,25,,,
77751176,68042154,51,C,20,,,
77764993,68042155,16,C,13,,,
77764994,68042155,35,C,13,,,
77746269,68042160,47,C,20,,,
77764317,68042161,14,C,18,,,
77764318,68042161,28,C,18,,,
77768165,68042156,39,C,41,,,
77746268,68042157,51,C,20,,,
77769864,68042158,51,C,20,,,
77769865,68042158,5,C,20,,,
77764995,68042159,16,C,20,,,
77764996,68042159,35,C,20,,,
77768166,68042162,41,C,20,,,
77764997,68042168,51,C,41,,,
77768168,68042190,47,C,24,,,
77756166,68042163,5,C,20,,,
77751177,68042164,5,C,20,,,
77764319,68042165,5,C,20,,,
77746270,68042166,5,C,20,,,
77769866,68042167,16,C,13,,,
77769867,68042167,35,C,13,,,
77769868,68042169,51,C,20,,,
77751178,68042170,51,C,20,,,
77769869,68042173,5,C,20,,,
77773008,68042177,45,C,20,,,
77769870,68042178,45,C,36,,,
77746271,68042171,49,C,20,0,N,
77764320,68042172,45,C,21,,,
77773007,68042174,7,C,20,,,
77764998,68042175,51,C,20,,,
77746272,68042176,45,C,20,,,
77765000,68042182,45,C,19,,,
77765001,68042182,28,C,19,,,
77765002,68042185,5,C,11,,,
77746273,68042192,5,C,20,,,
77765005,68042204,44,C,41,,,
77769871,68042179,39,C,41,,,
77764999,68042180,51,C,20,,,
77751179,68042181,47,C,24,,,
77768167,68042183,51,C,20,,,
77756167,68042184,45,C,41,,,
77765003,68042186,40,C,20,,,
77751180,68042187,5,C,20,,,
77765004,68042188,51,C,20,,,
77756168,68042189,45,C,20,,,
77768169,68042191,45,C,20,,,
77756169,68042193,47,C,20,,,
77751181,68042194,5,C,36,,,
77768170,68042195,14,C,20,,,
77768171,68042195,5,C,20,,,
77746274,68042196,14,C,20,,,
77746275,68042199,5,C,24,,,
77773009,68042198,5,C,20,,,
77751182,68042197,51,C,20,,,
77764321,68042200,51,C,20,,,
77764322,68042201,14,C,20,,,
77769872,68042202,14,C,13,,,
77756170,68042203,3,C,20,,,
77746276,68042205,51,C,20,,,
77768172,68042206,47,C,20,,,
77765006,68042207,45,C,40,,,
77764323,68042209,45,C,20,,,
77764325,68043018,47,C,20,,,
77756171,68042208,45,C,20,,,
77751183,68042210,51,C,20,,,
77765007,68043013,47,C,20,,,
77764324,68043017,47,C,26,,,
77769873,68042211,14,C,20,,,
77746277,68042212,44,C,13,,,
77746278,68042213,16,C,20,,,
77746279,68042213,35,C,20,,,
77746281,68042215,23,C,12,,,
77768175,68043014,5,C,20,,,
77769874,68043015,16,C,20,,,
77769875,68043015,35,C,20,,,
77756172,68043016,44,C,41,,,
77746280,68042214,5,C,20,,,
77773010,68042216,5,C,20,,,
77746282,68042217,47,C,20,,,
77768173,68042218,51,C,20,,,
77773011,68042219,51,C,20,,,
77768174,68042220,35,C,20,,,
77751184,68042221,45,C,25,,,
77773012,68043019,51,C,13,,,
77773013,68043019,28,C,13,,,
77756173,68043020,45,C,20,,,
77756174,68043021,45,C,11,,,
77765269,68044944,16,C,5,,,
77770833,68044945,51,C,20,,,
77775808,68044946,35,C,20,,,
77775809,68044947,51,C,20,,,
77773059,68044948,51,C,20,,,
77768238,68044949,51,C,20,,,
77765058,68044950,35,C,20,,,
77765059,68044951,4,C,20,,,
77765062,68044979,45,C,20,,,
77765061,68044975,45,C,20,,,
77765275,68044976,45,C,20,,,
77770834,68044952,37,C,20,,,
77770835,68044953,14,C,20,,,
77765060,68044954,45,C,20,,,
77768239,68044955,14,C,41,,,
77768240,68044955,41,C,41,,,
77768241,68044973,51,C,38,,,
77773060,68044956,14,C,18,,,
