year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2016,Pennsylvania,PA,16925,PA048359E,Lehigh University,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16686,PA0392100,Lehigh Valley International Airport,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16722,PA0403300,Lehman Township,3490,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17110,PA0600100,Lewisburg,5771,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16774,PA0421200,Lewis Run,596,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16810,PA0441200,Lewistown,8289,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15782,PA0027700,Liberty,2528,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15661,PA0011200,"Liberty Township, Adams County",1242,7,"Cities under 2,500",0,3,0,0,0,0,0
2016,Pennsylvania,PA,15882,PA0050600,"Liberty Township, Bedford County",1313,7,"Cities under 2,500",0,0,0,0,0,0,0
2016,Pennsylvania,PA,17228,PA0652700,Ligonier,1544,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17218,PA0651700,Ligonier Township,6541,6,"Cities from 2,500 thru 9,999",0,10,0,0,0,0,0
2016,Pennsylvania,PA,16084,PA0113300,Lilly,931,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16879,PA0465300,Limerick Township,18921,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15783,PA0027800,Lincoln,1065,7,"Cities under 2,500",0,2,0,0,0,0,0
2016,Pennsylvania,PA,16190,PA0154700,Lincoln University,0,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16287,PA0200800,Linesville,1001,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16346,PA0222500,Liquor Control Board,0,7,"Cities under 2,500",0,0,0,0,1,0,0
2016,Pennsylvania,PA,16575,PA0360600,Lititz,9404,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16639,PA0372100,Little Beaver Township ,1368,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17084,PA0581100,Little Meadows,261,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,15653,PA0010200,Littlestown,4451,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16233,PA0180100,Lock Haven,9887,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16242,PA0181200,Lock Haven University,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16262,PA0191500,Locust Township,1421,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15947,PA0070300,Logan Township,12323,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17166,PA0632800,Long Branch,435,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16085,PA0113500,Loretto,1310,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16304,PA0210600,Lower Allen Township,19195,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17208,PA0650600,Lower Burrell,11475,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16372,PA0231600,Lower Chichester Township,3481,6,"Cities from 2,500 thru 9,999",0,11,0,0,0,0,0
2016,Pennsylvania,PA,16869,PA0464200,Lower Frederick Township,4908,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16842,PA0461300,Lower Gwynedd Township,11586,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15922,PA0063600,Lower Heidelberg Township,5927,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16946,PA0491900,Lower Mahanoy Township,1692,7,"Cities under 2,500",0,9,0,0,0,0,0
2016,Pennsylvania,PA,15984,PA0090700,Lower Makefield Township,32719,4,"Cities from 25,000 thru 49,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16843,PA0461400,Lower Merion Township,58369,3,"Cities from 50,000 thru 99,000",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16684,PA0391500,Lower Milford Township,3854,6,"Cities from 2,500 thru 9,999",0,4,0,0,0,0,0
2016,Pennsylvania,PA,16679,PA0391000,Lower Milford Township,0,7,"Cities under 2,500",0,0,0,0,1,0,0
2016,Pennsylvania,PA,16844,PA0461500,Lower Moreland Township,13266,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16910,PA0481600,Lower Mount Bethel Township,3075,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16328,PA0220400,Lower Paxton Township,48265,4,"Cities from 25,000 thru 49,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16845,PA0461600,Lower Pottsgrove Township,12222,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16846,PA0461700,Lower Providence Township,25750,4,"Cities from 25,000 thru 49,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16870,PA0464300,Lower Salford Township,15438,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16911,PA0481700,Lower Saucon Township,10797,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15985,PA0090800,Lower Southampton Township,19031,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16341,PA0221700,Lower Swatara Township,8756,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17306,PA0676000,Lower Windsor Township,7444,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16092,PA0114800,Lower Yoder Township,2582,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
2016,Pennsylvania,PA,17219,PA0651800,Loyalhanna Township,2315,7,"Cities under 2,500",0,0,0,0,1,1,0
