arrestee_id,weapon_id,nibrs_arrestee_weapon_id
24116075,1,24135383
24264583,1,24285760
24264584,1,24284966
24535358,1,24555391
24535359,1,24554089
24694996,1,24714032
24694997,1,24715221
25140961,1,25161208
25140209,1,25161200
26706890,1,26728698
25306767,1,25328033
25448622,1,25468234
26023982,1,26045097
24534253,1,24554111
24535373,1,24555404
24116089,1,24135393
24116087,1,24135392
24695011,1,24715234
24695012,1,24714043
24695013,1,24714044
24535381,1,24555416
24116086,1,24135391
24116096,1,24135398
24115339,1,24134484
24116099,1,24135400
24264590,1,24284972
24264589,1,24284971
24694224,1,24715235
24116097,1,24135399
24264591,1,24285763
24264592,1,24285766
25002544,1,25023683
24534259,1,24555414
24535376,1,24555409
24535378,1,24555410
24535383,1,24555418
24535401,1,24555437
24535396,1,24555431
24534281,1,24554134
24534267,1,24555434
24535400,1,24555436
24535387,1,24555422
24535410,1,24555446
25307734,1,25327157
24695029,1,24715251
24695027,1,24715247
24694232,1,24715248
24695026,1,24715246
24694233,1,24715249
24694236,1,24714055
24694225,1,24715236
24695033,1,24715256
24870186,1,24890377
24870188,1,24890380
24868119,1,24888136
25140954,1,25160478
25004345,1,25023686
25140213,1,25160482
25002545,1,25023684
24868122,1,24888138
25140953,1,25161201
24870185,1,24890378
24868123,1,24888139
25140952,1,25161199
25140955,1,25161202
25306787,1,25328053
25307735,1,25327158
25306789,1,25328056
25306784,1,25328052
25306780,1,25328048
25306779,1,25328047
25306798,1,25328066
25306797,1,25328065
25306793,1,25328061
25447663,1,25468242
25448638,1,25468988
25448632,1,25468979
25448631,1,25468243
26024008,1,26045750
26024009,1,26045125
26024007,1,26045123
26023215,1,26045743
26024002,1,26045118
26024000,1,26045116
26024003,1,26045119
26024006,1,26045122
26023998,1,26045114
24870112,1,24890304
24115241,1,24134371
24264484,1,24284863
24264485,1,24284864
24868045,1,24888062
24870115,1,24890307
24868048,1,24888066
24870118,1,24890310
24870119,1,24888067
24870120,1,24890311
25447566,1,25468908
25446592,1,25468177
25446593,1,25468178
