victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,agency_data_year,ff_line_number,age_range_low_num,age_range_high_num
91038017,83457465,1,4,,,,5,25,F,1,2,R,,,25,0
91038028,83457473,1,8,,,,,,,,,,,,,
91526926,83886692,1,4,,,,5,41,M,1,2,N,,,41,0
91526928,83886692,2,4,,,,5,42,M,1,1,R,,,42,0
92412201,84661377,1,8,,,,,,,,,,,,,
92410630,84661375,1,4,,,,5,21,F,1,2,R,,,21,0
92931478,85116215,1,4,,,,5,37,F,1,2,R,,,37,0
92932504,85116218,1,8,,,,,,,,,,,,,
94470313,86471100,1,1,,,,,,,,,,,,,
94470941,86471112,1,8,,,,,,,,,,,,,
94470314,86471101,1,4,,,,5,23,F,1,2,R,,,23,0
99982564,91337123,1,1,,,,,,,,,,,,,
94470317,86471104,1,1,,,,,,,,,,,,,
95073574,87003508,1,4,,,,5,62,F,1,2,R,,,62,0
95074321,87004543,1,4,,,,5,53,F,1,2,R,,,53,0
95074324,87004547,1,8,,,,,,,,,,,,,
95555194,87430799,1,4,,,,5,27,F,1,2,R,,,27,0
97647112,89283567,1,4,,,,5,52,F,1,2,R,,,52,0
97647113,89283568,1,8,,,,,,,,,,,,,
92412671,84662904,1,8,,,,,,,,,,,,,
92412670,84661416,1,8,,,,,,,,,,,,,
91037344,83458061,1,4,,,,5,21,M,1,2,R,,,21,0
91038056,83457494,1,1,,,,,,,,,,,,,
92412674,84661419,1,4,,,,5,7,M,1,2,R,,,7,0
91037349,83458064,1,1,,,,,,,,,,,,,
91038055,83458063,1,1,,,,,,,,,,,,,
92932537,85116244,1,8,,,,,,,,,,,,,
92932539,85116246,1,8,,,,,,,,,,,,,
92932543,85116249,1,8,,,,,,,,,,,,,
91037357,83458072,1,8,,,,,,,,,,,,,
92412247,84662920,1,8,,,,,,,,,,,,,
91038053,83457491,1,1,,,,,,,,,,,,,
91038060,83457500,1,1,,,,,,,,,,,,,
91038076,83457515,1,1,,,,,,,,,,,,,
91037375,83458090,1,1,,,,,,,,,,,,,
91038107,83458537,1,4,,,,5,60,M,1,2,R,,,60,0
91037372,83458087,1,1,,,,,,,,,,,,,
91037390,83458104,1,1,,,,,,,,,,,,,
91527941,83887601,1,1,,,,,,,,,,,,,
91527942,83887601,2,1,,,,,,,,,,,,,
91037388,83458103,1,4,,,,5,46,M,1,2,R,,,46,0
91037376,83458091,1,4,,,,5,58,M,1,2,R,,,58,0
91038105,83458108,1,8,,,,,,,,,,,,,
92931503,85116247,1,8,,,,,,,,,,,,,
91527944,83886700,1,1,,,,,,,,,,,,,
91038097,83458530,1,4,,,,5,44,F,1,2,R,,,44,0
91038104,83458107,1,4,,,,5,45,M,1,2,R,,,45,0
91038089,83458524,2,4,,,,5,33,F,1,2,R,,,33,0
91038091,83458524,4,4,,,,5,40,F,1,2,R,,,40,0
91038088,83458524,1,4,,,,5,42,M,1,2,R,,,42,0
91038090,83458524,3,4,,,,5,36,F,1,2,R,,,36,0
91038102,83458101,1,4,,,,5,63,M,1,2,R,,,63,0
91038081,83458518,3,5,3,6,,4,,M,1,2,N,,,,
91037368,83458518,1,8,,,,,,,,,,,,,
91037369,83458518,2,5,3,6,,4,,M,1,2,N,,,,
91038086,83458522,1,4,,,,5,58,M,1,2,R,,,58,0
91526940,83886703,1,8,,,,,,,,,,,,,
91526937,83886701,1,4,,,,5,77,M,1,2,R,,,77,0
91526935,83887602,1,4,,,,5,60,M,1,2,R,,,60,0
91526938,83886702,1,1,,,,,,,,,,,,,
91526941,83886704,1,4,,,,5,46,F,1,2,R,,,46,0
92412692,84661433,2,4,,,,5,6,F,1,2,R,,,6,0
92412691,84661433,1,4,,,,5,32,F,1,2,R,,,32,0
91527940,83887600,1,4,,,,5,45,M,1,2,R,,,45,0
93980795,86039616,1,8,,,,,,,,,,,,,
92412249,84662922,1,4,,,,5,59,M,1,2,R,,,59,0
92412244,84662917,1,8,,,,,,,,,,,,,
92412687,84661429,1,1,,,,,,,,,,,,,
92412695,84661436,1,8,,,,,,,,,,,,,
92412290,84662956,1,4,,,,5,76,M,1,2,R,,,76,0
92412275,84661460,1,8,,,,,,,,,,,,,
92412266,84662935,1,1,,,,,,,,,,,,,
92412750,84661489,1,8,,,,,,,,,,,,,
92412276,84662942,1,4,,,,5,51,M,1,1,R,,,51,0
92412735,84661478,1,8,,,,,,,,,,,,,
92412707,84661450,1,4,,,,5,55,F,1,2,R,,,55,0
92932551,85116256,1,8,,,,,,,,,,,,,
92412270,84661456,1,8,,,,,,,,,,,,,
92412709,84661452,1,4,,,,5,40,M,1,2,R,,,40,0
92412273,84662940,1,8,,,,,,,,,,,,,
92412741,84661483,1,4,,,,5,46,F,1,2,N,,,46,0
92412696,84661437,1,4,,,,5,31,M,1,2,R,,,31,0
92412748,84661488,1,1,,,,,,,,,,,,,
92412251,84662924,1,8,,,,,,,,,,,,,
92412740,84661482,1,4,,,,5,31,M,1,2,N,,,31,0
92412753,84661492,1,4,,,,5,59,F,1,2,R,,,59,0
92412711,84661454,1,4,,,,5,31,M,1,2,R,,,31,0
95073594,87005529,1,8,,,,,,,,,,,,,
97646531,89283626,1,8,,,,,,,,,,,,,
97646526,89284565,1,4,,,,5,22,F,1,2,N,,,22,0
92931509,85116271,1,1,,,,,,,,,,,,,
92932581,85116280,1,4,,,,5,43,M,1,2,R,,,43,0
92932559,85116644,1,4,,,,5,60,F,1,2,R,,,60,0
92932574,85116275,1,4,,,,5,28,M,1,2,R,,,28,0
92931505,85116639,1,4,,,,5,16,F,1,2,R,,,16,0
92931510,85116272,1,4,,,,5,29,M,1,2,R,,,29,0
92932567,85116268,1,8,,,,,,,,,,,,,
92932563,85116263,1,1,,,,,,,,,,,,,
92932565,85116265,1,4,,,,5,52,F,1,2,R,,,52,0
92932580,85116279,1,1,,,,,,,,,,,,,
93506781,85621565,1,4,,,,5,32,M,1,2,R,,,32,0
92931504,85116250,1,4,,,,5,65,F,1,2,R,,,65,0
92932557,85116260,1,8,,,,,,,,,,,,,
92932542,85116248,2,4,,,,5,51,F,1,2,R,,,51,0
92932541,85116248,1,4,,,,5,58,F,1,2,R,,,58,0
92932568,85116269,1,4,,,,5,52,M,1,2,R,,,52,0
92932578,85116654,1,4,,,,5,30,F,1,2,R,,,30,0
93506359,85621050,1,4,,,,5,52,F,1,2,R,,,52,0
95074372,87005531,1,8,,,,,,,,,,,,,
95074366,87004581,1,8,,,,,,,,,,,,,
95073592,87005528,1,8,,,,,,,,,,,,,
95073593,87004582,1,4,,,,5,26,M,1,2,R,,,26,0
93506356,85621048,1,4,,,,5,28,M,1,2,R,,,28,0
93506358,85621048,2,4,,,,5,59,M,1,2,R,,,59,0
93506362,85621052,1,8,,,,,,,,,,,,,
93506780,85621049,1,4,,,,5,18,F,1,2,R,,,18,0
93506354,85621045,1,4,,,,5,37,M,1,2,R,,,37,0
93506782,85621567,1,4,,,,5,17,M,1,2,R,,,17,0
94470320,86471108,1,8,,,,,,,,,,,,,
93980796,86039617,1,8,,,,,,,,,,,,,
93506361,85621051,1,4,,,,5,63,M,1,2,R,,,63,0
94470945,86470471,1,4,,,,5,62,M,1,2,R,,,62,0
93981707,86038984,1,4,,,,5,62,M,1,2,R,,,62,0
93981708,86038985,1,8,,,,,,,,,,,,,
93506355,85621046,1,4,,,,5,74,F,1,2,R,,,74,0
93506779,85621564,1,4,,,,5,29,M,1,2,R,,,29,0
93506363,85621053,1,1,,,,,,,,,,,,,
94470935,86471105,1,8,,,,,,,,,,,,,
93506357,85621047,1,1,,,,,,,,,,,,,
93506366,85621056,1,8,,,,,,,,,,,,,
93506360,85621566,1,1,,,,,,,,,,,,,
94470318,86471107,1,4,,,,5,24,M,1,2,R,,,24,0
94470315,86471102,1,8,,,,,,,,,,,,,
95074364,87004579,1,8,,,,,,,,,,,,,
95074373,87004587,1,4,,,,5,81,M,1,2,R,,,81,0
97647191,89283631,1,8,,,,,,,,,,,,,
94470333,86471121,1,1,,,,,,,,,,,,,
94470316,86471103,1,4,,,,5,23,M,1,2,N,,,23,0
94470319,86471106,1,8,,,,,,,,,,,,,
95556044,87430303,1,8,,,,,,,,,,,,,
95074368,87004584,1,4,,,,5,88,F,1,2,R,,,88,0
94470936,86470467,1,1,,,,,,,,,,,,,
94470937,86470467,2,1,,,,,,,,,,,,,
95073600,87005536,1,3,,,,,,,,,,,,,
95074402,87004609,1,4,,,,5,30,F,1,2,R,,,30,0
95073603,87004604,1,4,,,,5,25,M,1,2,R,,,25,0
95074385,87004597,1,8,,,,,,,,,,,,,
95074406,87004613,1,1,,,,,,,,,,,,,
95074405,87004612,1,4,,,,5,46,M,1,2,R,,,46,0
95074403,87004610,1,8,,,,,,,,,,,,,
95074386,87004598,1,4,,,,5,66,M,1,2,R,,,66,0
95074399,87004608,1,4,,,,5,30,F,1,2,R,,,30,0
95074387,87004600,1,4,,,,5,38,M,1,2,R,,,38,0
95074381,87004594,1,4,,,,5,32,F,1,2,N,,,32,0
95074404,87004611,1,1,,,,,,,,,,,,,
95074382,87004595,1,1,,,,,,,,,,,,,
95073601,87005537,1,4,,,,5,25,M,1,2,R,,,25,0
97647176,89283619,1,8,,,,,,,,,,,,,
97646532,89284572,1,8,,,,,,,,,,,,,
95556040,87430300,1,4,,,,5,25,M,1,2,U,,,25,0
95074407,87004614,1,1,,,,,,,,,,,,,
95074417,87004622,2,4,,,,5,60,F,1,2,R,,,60,0
95074415,87004622,1,1,,,,,,,,,,,,,
95074428,87004632,1,4,,,,5,30,M,1,2,N,,,30,0
95074425,87004629,1,1,,,,,,,,,,,,,
95074419,87004624,1,4,,,,5,44,F,1,2,R,,,44,0
95074422,87004626,2,4,,,,5,46,M,1,3,N,,,46,0
95074421,87004626,1,4,,,,5,20,M,1,2,N,,,20,0
95074433,87005552,1,1,,,,,,,,,,,,,
95074418,87004623,1,4,,,,5,75,M,1,2,R,,,75,0
95073615,87004636,1,4,,,,5,47,F,1,2,R,,,47,0
95074424,87004628,1,1,,,,,,,,,,,,,
95074423,87004627,1,4,,,,5,21,F,1,2,N,,,21,0
95074410,87005543,1,1,,,,,,,,,,,,,
95556043,87430302,1,4,,,,5,41,M,1,2,R,,,41,0
95555222,87430825,1,1,,,,,,,,,,,,,
95555233,87430840,1,1,,,,,,,,,,,,,
95555237,87430845,1,4,,,,5,30,M,1,2,R,,,30,0
97647181,89284569,1,1,,,,,,,,,,,,,
95555223,87430827,1,1,,,,,,,,,,,,,
95555230,87430835,1,1,,,,,,,,,,,,,
95556042,87430301,1,4,,,,5,53,M,1,2,R,,,53,0
95555217,87430301,2,4,,,,5,57,F,1,2,R,,,57,0
97647174,89283617,1,4,,,,5,4,F,1,2,R,,,4,0
99982730,91336280,1,4,,,,5,59,M,1,2,R,,,59,0
97647250,89283686,1,1,,,,,,,,,,,,,
97646527,89283616,1,4,,,,5,66,M,1,2,R,,,66,0
97646558,89284594,1,4,,,,5,53,M,1,2,R,,,53,0
97646579,89284610,1,1,,,,,,,,,,,,,
97647219,89283656,1,4,,,,5,7,M,1,2,R,,,7,0
97646570,89284603,1,1,,,,,,,,,,,,,
97647211,89283648,1,8,,,,,,,,,,,,,
97647228,89283664,1,4,,,,5,30,M,1,2,R,,,30,0
97646543,89283646,1,4,,,,5,45,F,2,2,R,,,45,0
97646553,89284590,1,1,,,,,,,,,,,,,
97647208,89283645,1,1,,,,,,,,,,,,,
97647229,89283665,1,4,,,,5,46,F,1,2,R,,,46,0
97646544,89284580,1,5,2,11,,5,27,M,1,2,N,,,27,0
97647242,89283679,1,1,,,,,,,,,,,,,
97646551,89284587,1,1,,,,,,,,,,,,,
97646567,89284601,1,4,,,,5,44,M,1,2,R,,,44,0
97646556,89283660,1,4,,,,5,59,F,1,2,N,,,59,0
99982605,91336271,1,4,,,,5,32,F,1,2,R,,,32,0
99982717,91336270,1,4,,,,5,46,F,1,2,R,,,46,0
93506187,85614430,1,4,,,,5,56,M,1,2,R,,,56,0
93499623,85620896,1,8,,,,,,,,,,,,,
91037775,83457256,1,4,,,,5,15,M,1,2,R,,,15,0
91037782,83457266,1,4,,,,5,28,F,1,2,R,,,28,0
91037080,83457830,1,8,,,,,,,,,,,,,
93499621,85614432,1,4,,,,5,34,M,1,2,R,,,34,0
91527727,83886419,1,8,,,,,,,,,,,,,
93506191,85614437,1,4,,,,5,15,M,1,2,R,,,15,0
93506192,85620898,1,4,,,,5,16,M,1,1,U,,,16,0
93499629,85614442,1,4,,,,5,53,M,1,2,R,,,53,0
93506198,85620904,1,4,,,,5,71,M,1,2,R,,,71,0
93499642,85620906,1,1,,,,,,,,,,,,,
93506199,85614448,1,4,,,,5,35,F,1,2,R,,,35,0
93499637,85614447,1,4,,,,5,34,M,1,1,U,,,34,0
93499636,85614446,1,4,,,,5,59,M,1,2,R,,,59,0
95554971,87430622,1,4,,,,5,40,F,1,1,U,,,40,0
95554970,87430621,1,4,,,,5,35,F,1,2,R,,,35,0
93980555,86038394,1,4,,,,5,35,F,1,2,R,,,35,0
95554964,87430616,1,4,,,,5,56,M,1,2,R,,,56,0
95555852,87430150,1,4,,,,5,22,F,1,2,R,,,22,0
