offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
94072359,83457465,1,5,27,M,1,,,27,0
94072366,83457473,1,5,24,M,1,,,24,0
94571285,83886692,2,5,41,M,1,,,41,0
94571283,83886692,1,5,42,M,1,,,42,0
95466918,84661377,2,5,27,M,1,,,27,0
95466917,84661377,1,5,38,M,1,,,38,0
95465950,84661375,1,5,26,M,1,,,26,0
95992431,85116215,1,5,19,F,1,,,19,0
95991635,85116218,1,5,21,M,1,,,21,0
97552526,86471100,0,,,,,,,,
97552546,86471112,1,5,23,M,1,,,23,0
97552530,86471101,1,5,17,F,1,,,17,0
103150979,91337123,1,5,44,M,1,,,44,0
97552534,86471104,2,5,35,F,1,,,35,0
97552533,86471104,1,5,31,F,1,,,31,0
98163370,87003508,0,,,,,,,,
98163371,87004543,0,,,,,,,,
98162494,87004547,1,5,48,F,1,,,48,0
98654320,87430799,1,5,26,M,1,,,26,0
100782863,89283567,0,,,,,,,,
100782861,89283568,1,5,17,M,0,,,17,0
95465996,84662904,1,5,50,M,1,,,50,0
95466960,84661416,1,5,37,M,1,,,37,0
94072391,83458061,0,,,,,,,,
94072399,83457494,0,,,,,,,,
95466000,84661419,1,5,10,M,1,,,10,0
94072401,83458064,1,5,31,M,1,,,31,0
94072397,83458063,1,5,33,F,1,,,33,0
95991676,85116244,1,5,54,F,1,,,54,0
95991677,85116246,1,5,53,F,1,,,53,0
95991680,85116249,1,5,34,M,2,,,34,0
94072407,83458072,1,5,55,M,1,,,55,0
95466980,84662920,1,5,59,M,1,,,59,0
94072396,83457491,1,5,38,F,1,,,38,0
94072404,83457500,0,,,,,,,,
94073119,83457515,1,5,31,M,1,,,31,0
94073129,83458090,1,5,25,F,1,,,25,0
94072458,83458537,0,,,,,,,,
94073124,83458087,1,5,17,M,1,,,17,0
94073138,83458104,0,,,,,,,,
94570574,83887601,1,5,28,M,1,,,28,0
94570575,83887601,2,5,45,M,1,,,45,0
94072454,83458103,0,,,,,,,,
94072435,83458091,0,,,,,,,,
94073142,83458108,1,5,11,M,1,,,11,0
95991679,85116247,1,5,25,M,1,,,25,0
94571296,83886700,1,5,80,M,1,,,80,0
94073133,83458530,0,,,,,,,,
94072456,83458107,0,,,,,,,,
94072436,83458524,0,,,,,,,,
94072452,83458101,0,,,,,,,,
94072427,83458518,1,5,27,F,1,,,27,0
94073127,83458522,0,,,,,,,,
94571301,83886703,2,5,34,F,1,,,34,0
94570582,83886703,1,5,30,M,1,,,30,0
94570576,83886701,0,,,,,,,,
94570577,83887602,0,,,,,,,,
94571297,83886702,1,5,78,M,1,,,78,0
94570583,83886704,0,,,,,,,,
95466010,84661433,1,5,35,M,1,,,35,0
94570573,83887600,0,,,,,,,,
97057311,86039616,1,5,67,M,0,,,67,0
95466017,84662922,0,,,,,,,,
