victim_id,offense_id
91038017,91124963
91038028,91124972
91526928,91618994
91526926,91618994
92412201,92509421
92410630,92508047
92931478,93031329
92932504,93031330
92932504,93031331
94470313,94576413
94470941,94576424
94470314,94576417
99982564,100101587
94470317,94575769
95073574,95178131
95074321,95177237
95074324,95177238
95555194,95657729
97647112,97745908
97647113,97746612
92412671,92509457
92412670,92509456
91037344,91124993
91038056,91125000
92412674,92508095
91037349,91125241
91038055,91124999
92932537,93031377
92932539,93031378
92932543,93031380
91037357,91125246
91037357,91125247
92412247,92509477
91038053,91124997
91038060,91125005
91038076,91125254
91037375,91125264
91038107,91125056
91037372,91125032
91037390,91125275
91527942,91619004
91527941,91619004
91037388,91125053
91037376,91125038
91038105,91125279
92931503,93032141
91527944,91619112
91038097,91125269
91038104,91125054
91038090,91125039
91038088,91125039
91038091,91125039
91038089,91125039
91038102,91125273
91037369,91125027
91037368,91125257
91037368,91125256
91038081,91125255
91038086,91125263
91526940,91619114
91526937,91619006
91526935,91619005
91526938,91619008
91526941,91619117
92412691,92510105
92412692,92510105
91527940,91619003
93980795,94086456
92412249,92509478
92412244,92510109
92412244,92510108
92412687,92508104
92412695,92510113
92412695,92510114
92412290,92509520
92412275,92509496
92412266,92510132
92412750,92509525
92412750,92509524
92412276,92509497
92412735,92510160
92412707,92510130
92932551,93031386
92412270,92509492
92412270,92509491
92412709,92510135
92412273,92509493
92412741,92510166
92412696,92510116
92412748,92510173
92412251,92510117
92412740,92510165
92412753,92510176
92412711,92510139
95073594,95177284
97646531,97746661
97646526,97745966
92931509,93031402
92932581,93031416
92932559,93032151
92932574,93032156
92931505,93032143
92931510,93031403
92932567,93031398
92932563,93031392
92932565,93031395
92932580,93032159
92932580,93032160
93506781,93613109
92931504,93031381
92932557,93031390
92932541,93031379
92932542,93031379
92932568,93031399
92932578,93031414
93506359,93613111
95074372,95177286
95074366,95177278
95073592,95177281
95073593,95177279
93506358,93613107
93506356,93613107
93506362,93612360
93506780,93613110
93506354,93612358
93506782,93613114
94470320,94576421
93980796,94087375
93980796,94087374
93506361,93613113
94470945,94575778
93981707,94086457
93981708,94086458
93506355,93613106
93506779,93612359
93506363,93612362
94470935,94576419
93506357,93613108
93506366,93613119
93506360,93613112
94470318,94575770
94470315,94576416
94470315,94575768
95074364,95177276
95074373,95177287
97647191,97745984
94470333,94575787
94470316,94576418
94470319,94575771
95556044,95658289
95074368,95177280
95074368,95177282
94470937,94576420
94470936,94576420
95073600,95177295
95074402,95177317
95073603,95178162
95074385,95178157
95074385,95178158
95074406,95177321
95074405,95177319
95074403,95178164
95074386,95177303
95074399,95178166
95074387,95177306
95074381,95177299
95074404,95178167
95074382,95177300
95073601,95177302
97647176,97746656
97646532,97746667
95556040,95658280
95074407,95177322
95074415,95177330
95074417,95177330
95074428,95178177
95074425,95177337
95074419,95177332
95074421,95177335
95074422,95177335
95074433,95177345
95074418,95177331
95073615,95178179
95074424,95178175
95074423,95177336
95074410,95177323
95556043,95657743
95555222,95657745
95555233,95657752
95555237,95658304
97647181,97745979
95555223,95657747
95555230,95658296
95555217,95658282
95556042,95658282
97647174,97745969
99982730,100100973
97647250,97746709
97646527,97745968
97646558,97746016
97646579,97746044
97647219,97746008
97646570,97746704
97647211,97745999
97647228,97746694
97647228,97746695
97646543,97746674
97646553,97746011
97647208,97746673
97647229,97746698
97646544,97746676
97647242,97746707
97647242,97746706
97646551,97746004
97646567,97746700
97646556,97746689
99982605,100101628
99982717,100100957
93506187,93611925
93499623,93611928
93499623,93611926
91037775,91124720
91037782,91124729
91037080,91123974
93499621,93611929
91527727,91618788
91527727,91618789
93506191,93612174
93506192,93612176
93499629,93611935
93506198,93611938
93499642,93612187
93506199,93612182
93499637,93611940
93499636,93611939
95554971,95657566
95554970,95657038
93980555,94086246
95554964,95657033
95555852,95657040
95554966,95657035
95555853,95657039
95554973,95657567
95554972,95657041
95074010,95175886
95555854,95657568
95555855,95657569
95555856,95657569
98479757,98578606
98479759,98578609
98479759,98578610
97646665,97745504
98479756,98578607
95555015,95657085
91037085,91124732
91037089,91123986
91527746,91617982
91527733,91617974
91526812,91617979
91527743,91618809
91526808,91617975
91526808,91618801
91527742,91618808
95073398,95175935
96874502,96968988
95073393,95175930
95073394,95175931
96874501,96968987
95073408,95175945
95074073,95176969
95073414,95175953
95074069,95176964
95074069,95176966
95073407,95175944
95073424,95176981
96874503,96969311
96874784,96969307
96874788,96969312
100309297,100430827
99982458,100101488
100309284,100430815
100309284,100430817
98479855,98578703
90592909,90677578
90591932,90678138
90592924,90678151
91037960,91125152
91037275,91124908
91527864,91618047
91037954,91124890
93506680,93612239
93506714,93612015
93506272,93612019
93506255,93611989
93506677,93612231
93506247,93612237
93506713,93612016
93980758,94087328
93981678,94087335
93980754,94087326
93981658,94087312
93981662,94086404
93981659,94087314
93980770,94086433
93981683,94087340
93981679,94086430
93980734,94086399
93980743,94087315
93980738,94087313
93980736,94087310
93980778,94086442
93980778,94087349
93980775,94087348
93981692,94086447
93980782,94086447
93981686,94086437
93980791,94087365
93506251,93612242
93981702,94086453
93981695,94087355
93981699,94087359
93980788,94087362
94470907,94575732
94470280,94576386
94470915,94576394
94470288,94575733
94470294,94575746
94470282,94576387
94470905,94575723
94470904,94575723
94470908,94575728
94470302,94575756
94470302,94575754
94470304,94576401
97647074,97746578
97646448,97746576
97646450,97746580
95073522,95176086
97646442,97745861
97647066,97745862
95555120,95658188
97647088,97745882
97646449,97746577
97646464,97745879
97646465,97746588
96875727,96970231
96875011,96969554
97646479,97746603
97647095,97745892
97646481,97745892
97647098,97745892
91526919,91618988
91526918,91618092
91038108,91125280
91038124,91125071
91038096,91125267
91037422,91125312
91038100,91125047
91038045,91125231
91038045,91125232
91037386,91125272
91038129,91125318
91038128,91125317
91037450,91125086
91037441,91125338
91038059,91125003
91037394,91125284
91037360,91125011
91038113,91125058
91038113,91125059
90591995,90678222
91038052,91124994
91038054,91125235
91038054,91124994
91037366,91125024
91037387,91125051
91527929,91618104
91527928,91618102
91038078,91125028
91037345,91125236
91038101,91125049
91037423,91125314
91037446,91125348
91037461,91125360
90591997,90678224
91038044,91124988
91037382,91125044
91038112,91125282
90593002,90677666
90591996,90678223
91037414,91125303
91037443,91125341
91038166,91125104
91037401,91125292
91037354,91125004
91037403,91125065
91038160,91125376
91038067,91125250
91038136,91125333
91037452,91125351
91038095,91125043
