victim_id,offender_id,relationship_id,nibrs_victim_offender_id
91526928,94571285,1,27648864
91526928,94571283,1,27648863
91526926,94571285,1,27648862
91526926,94571283,1,27648076
92410630,95465950,3,27913447
92931478,95992431,17,28073227
94470314,97552530,19,28553100
95555194,98654320,21,28891606
92412674,95466000,9,27912585
91037369,94072427,24,27496825
91038081,94072427,24,27496090
92412691,95466010,26,27912587
92412692,95466010,5,27912588
92412740,95467025,24,27912602
92931505,95991683,19,28073234
92932578,95991718,17,28073237
93506358,96578176,18,28252917
93506356,96578176,20,28252916
95074402,98162567,22,28743416
95073603,98163404,1,28744080
95073615,98162597,21,28743418
95074423,98162586,12,28743417
97647174,100783766,5,29525975
97647219,100783814,4,29526967
97646544,100782913,24,29525979
91037775,94070846,1,27496763
91037782,94072104,3,27496021
93506191,96576663,18,28248934
93499637,96578023,3,28252892
95555852,98654015,1,28890343
95554973,98654139,1,28890344
95554973,98654140,1,28890345
97646665,100782537,1,29526860
91527746,94571181,3,27648829
91527743,94570387,3,27648034
91527742,94570386,3,27648033
96874501,100005550,24,29299194
95073414,98163200,24,28744026
95073424,98162258,24,28743336
96874784,100006508,1,29299616
99982458,103149689,18,30238858
98479855,101630218,5,29780479
90592924,93616752,16,27349623
91527864,94571233,3,27648063
93506272,96576752,3,28252904
93981683,97056443,24,28399830
93980743,97056408,1,28399824
93980738,97056405,21,28399288
93981686,97057295,3,28399831
93506251,96578078,3,28248946
93981702,97057308,18,28399834
94470304,97552516,16,28553596
97646450,100783657,1,29525960
95073522,98162386,21,28744060
97646449,100783656,1,29526936
97647095,100783687,24,29525966
97646481,100783687,24,29526942
97647098,100783687,24,29526943
91526918,94571276,3,27648855
91038059,94072402,3,27496821
91038052,94072388,24,27496819
91038054,94072388,24,27496820
91527928,94571288,3,27648078
91038078,94073120,1,27496824
91037345,94072394,14,27496086
91037461,94072507,24,27496103
91037382,94072445,3,27496091
91038112,94072460,24,27496832
91037401,94072466,17,27496095
91037403,94072470,9,27496096
91038160,94073229,3,27496116
91527939,94571295,3,27648866
91038311,94073470,5,27496876
91038709,94072651,24,27496146
91038705,94073468,1,27496145
91038725,94073493,1,27496151
91038740,94073510,19,27496157
91037518,94072546,1,27496126
91037574,94073336,1,27496135
91037565,94072580,1,27496132
91037565,94073322,1,27496133
91526936,94570578,1,27648867
91038294,94072637,4,27496867
91038312,94072652,24,27496878
91038230,94073335,24,27496134
91038219,94073311,24,27496130
91038282,94072635,1,27496866
91038231,94073337,24,27496858
91038188,94072545,1,27496849
91527009,94571360,15,27648892
91957102,95006222,14,27779157
91526989,94571337,1,27648880
91526944,94570598,3,27648872
91528034,94570692,24,27648108
91957781,95005909,1,27779472
91526957,94570619,3,27648875
91527002,94570693,16,27648891
91527002,94571353,16,27648890
91528035,94570693,16,27648110
91528035,94571353,3,27648109
91526973,94571326,24,27648098
91527965,94570596,24,27648089
91527963,94570596,1,27648088
91528013,94571336,1,27648103
91528014,94570667,16,27648879
91526998,94571351,1,27648883
92412214,95466937,10,27913453
91528036,94570695,24,27648111
91526974,94570646,24,27648876
91528019,94570674,16,27648105
91526992,94570674,1,27648106
93506822,96578239,1,28252932
92412213,95466935,24,27913452
91957907,95006345,1,27779176
91957140,95005963,15,27779164
91957994,95006440,1,27779522
91957918,95006363,24,27779177
91957232,95006422,16,27779187
91957232,95006421,3,27779512
91957974,95006421,16,27779510
91957974,95006422,16,27779511
91957173,95005999,19,27779171
91957943,95006031,24,27779503
91957238,95007063,24,27779190
91957229,95007049,24,27779186
91957219,95006030,24,27779179
92412221,95466941,3,27913457
91957868,95005993,13,27779169
91957949,95006037,24,27779506
91957980,95006425,1,27779515
91957189,95006335,15,27779174
92932476,95991602,10,28073223
92412798,95468078,24,27912637
92412342,95468094,24,27912642
92412343,95468094,24,27913487
92412297,95467089,16,27912610
92412297,95467091,16,27912611
92412757,95467091,16,27912609
92412757,95467089,21,27912608
92412340,95467138,1,27913486
92412770,95467109,3,27912625
92412724,95467057,1,27912597
92412780,95467115,3,27912628
92412702,95466989,13,27912591
92412796,95467130,24,27912636
92412794,95467130,24,27912635
92412778,95467117,3,27912627
94470919,97553351,18,28553595
93506412,96576858,1,28252937
93980825,97057339,19,28399839
93980876,97056557,1,28399331
93981805,97056576,1,28399336
93980838,97057360,21,28399317
93980906,97056594,18,28399341
93981808,97057403,19,28399854
93980854,97056535,19,28399323
93981779,97056546,3,28399330
93980855,97056534,24,28399841
93980872,97056555,21,28399847
100309377,103476938,24,30338704
100309378,103476938,24,30338295
100309381,103476938,24,30338705
93980937,97056623,17,28399354
93980954,97056640,4,28399360
93981855,97057453,21,28399867
93981838,97057436,3,28399859
93981845,97057444,23,28399863
93981853,97057451,5,28399866
93981860,97057458,9,28399870
93981869,97057469,17,28399872
93981879,97057481,13,28399874
93981843,97057441,21,28399861
93981859,97057457,21,28399869
93981850,97056635,5,28399864
93981865,97057464,15,28399871
93981852,97057449,19,28399865
93980950,97056636,17,28399358
93980950,97056637,17,28399359
94470926,97553357,24,28553098
94470352,97553403,24,28553605
94470353,97553404,3,28553606
94470369,97553418,24,28553608
94470974,97552576,16,28553109
94470974,97552575,1,28553108
94470371,97552575,16,28553110
94470371,97552576,16,28553609
94470944,97553370,3,28553102
94470330,97553376,1,28553103
94470981,97552586,24,28553611
95074384,98162554,15,28743411
95074383,98162554,15,28743410
94470321,97552540,16,28553597
94470350,97553399,16,28553604
94470350,97553398,19,28553603
94470962,97553399,16,28553105
94470962,97553398,16,28553104
94470421,97552613,3,28553117
94470409,97552607,16,28553618
95074398,98163407,24,28743413
95074398,98163406,16,28744081
95074400,98163406,24,28743414
95074400,98163407,16,28743415
94470426,97553473,1,28553621
94470428,97553473,1,28553623
94470427,97553473,1,28553622
94471011,97552616,3,28553118
94470442,97553495,3,28553624
94470492,97553550,3,28553629
94471000,97552606,3,28553114
94471004,97553457,21,28553116
95074378,98162549,24,28743409
94471032,97552636,17,28553119
94470413,97552610,16,28553115
94470455,97552626,19,28553625
94471036,97552640,18,28553120
97646485,100783703,24,29525968
97647108,100783703,24,29525969
97646484,100783703,24,29525967
95073620,98162616,16,28743421
95074541,98162693,17,28744460
95074511,98162675,16,28744437
95074511,98162673,16,28744435
95074513,98162675,16,28744441
95074513,98162673,16,28744439
95074459,98163424,14,28743420
95074473,98162630,3,28744424
95073626,98162625,24,28743423
95074486,98162643,18,28744426
95074545,98162696,24,28744461
95555240,98654354,1,28891617
95073622,98163429,3,28744085
95073629,98163435,1,28744086
95074440,98162605,14,28743419
95073639,98163449,26,28744090
95555328,98655342,1,28891645
95555328,98654424,16,28891646
95556105,98655326,21,28891638
95555252,98654359,3,28891620
97647164,100783753,1,29526955
98481103,101630329,1,29778820
98481103,101629802,1,29780497
98481103,101630328,1,29780496
95555326,98655339,17,28890416
95555326,98655340,16,28890417
95556121,98655339,16,28890414
95556121,98655340,5,28890415
95555316,98654408,19,28891639
95556116,98654418,24,28890413
95555295,98655307,16,28891636
95555295,98655308,24,28891637
95555325,98655337,18,28891643
95555297,98655310,18,28890409
97646517,100782893,3,29525972
97646568,100782935,24,29525980
97646605,100783886,16,29525986
97647264,100782950,9,29525981
97646611,100782976,16,29526984
97646619,100782981,16,29525988
97647271,100782961,16,29525984
97647271,100783870,3,29525983
97647273,100782961,3,29526981
97647273,100783870,16,29525985
97647290,100782979,3,29526987
97646612,100782977,21,29525987
90592940,93617821,1,27350761
91957757,95006182,3,27779461
91957763,95006184,3,27779463
92412151,95466856,1,27912422
93506768,96576805,5,28248961
93981671,97056423,26,28399300
94470279,97552502,5,28553593
96875787,100005849,3,29299235
96875788,100005850,3,29299236
96875107,100005878,1,29299244
96875822,100005877,3,29299243
91526948,94570606,1,27648873
91527967,94570606,1,27648090
90591991,93617874,17,27349633
90592002,93616821,3,27349638
90591992,93616810,21,27349634
90591999,93616816,21,27349637
91038103,94073136,5,27496831
90593011,93616826,3,27349641
90593011,93616827,25,27350776
90592006,93616827,3,27350775
90592006,93616826,25,27350774
90592007,93616834,17,27349643
90592007,93616833,25,27349642
90593019,93616833,5,27349644
90593019,93616834,25,27349645
90591994,93616811,24,27349635
90591998,93616815,21,27349636
96875881,100005939,18,29299260
91038142,94073198,21,27496836
91037393,94072462,3,27496093
91037463,94073215,3,27496106
91038161,94072513,25,27496840
91038161,94072515,15,27496841
91037477,94072513,21,27496842
91037477,94072515,25,27496843
91038196,94072561,21,27496853
91037430,94072485,25,27496100
91037430,94072484,11,27496099
91037429,94072484,25,27496834
91037429,94072485,10,27496835
91038167,94072517,1,27496120
91038167,94072518,25,27496121
91037478,94072517,25,27496117
91037478,94072518,1,27496118
91528017,94570671,1,27648104
91528058,94570714,3,27648117
91528052,94571367,1,27648115
95555259,98655266,1,28891622
96875882,100005940,24,29299261
92412766,95468048,24,27912613
92412317,95468060,3,27913480
91957933,95006383,3,27779501
91957930,95006381,1,27779500
91958014,95006455,19,27779527
91957233,95006424,1,27779514
91957223,95006036,3,27779182
91957223,95006035,25,27779181
91957224,95006036,25,27779184
91957224,95006035,3,27779183
91957956,95006405,3,27779507
91957240,95007066,21,27779191
92412303,95467039,21,27913476
91957207,95006020,3,27779178
91958010,95006453,5,27779526
92932520,95992443,5,28073231
92931494,95992443,21,28073538
92412381,95467185,3,27913512
92412381,95467184,25,27913508
92412383,95467185,25,27913514
92412383,95467184,3,27913513
92412366,95468123,24,27913496
92412377,95467180,25,27912652
92412377,95467182,17,27912653
92412380,95467180,5,27913507
92412380,95467182,25,27913511
92412805,95467136,3,27912638
92412349,95468109,21,27913489
92412809,95467139,3,27912640
92412842,95467168,14,27912650
92412376,95467181,21,27913503
92932547,95992452,24,28073235
92412368,95468124,21,27913498
96875880,100005938,1,29299259
92931518,95991724,15,28073239
92931518,95991722,25,28073238
92932585,95991722,5,28073240
92932585,95991724,25,28073241
92931529,95992477,17,28073543
92932620,95992477,19,28073258
92931534,95992484,1,28073262
92932642,95991790,3,28073263
92932589,95991732,3,28073243
92932607,95991749,25,28073251
92932607,95991751,24,28073253
92932611,95991749,24,28073255
92932611,95991751,25,28073256
92932621,95991769,17,28073259
92932608,95991752,3,28073254
92932608,95991750,25,28073252
92932610,95991750,3,28073542
92932610,95991752,25,28073257
92931537,95991782,1,28073547
92932624,95991771,21,28073260
92931541,95992488,3,28073548
93506816,96578228,24,28248975
93506814,96578225,1,28252925
93506814,96578226,1,28252926
