arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
25140219,86471136,1,A00000154088,2016-08-19 00:00:00,1,N,4,5,38,M,2,2,R,,,,38,0
25140223,86471150,1,A00000154133,2016-08-20 00:00:00,3,N,47,5,21,F,1,2,R,,,,21,0
25140225,86471153,1,A00000154161,2016-08-22 00:00:00,2,N,51,5,33,F,1,1,R,,,,33,0
25140972,86471156,1,A00000154116,2016-08-20 00:00:00,1,N,27,5,27,F,1,2,N,,,,27,0
25140224,86471156,2,A00000154118,2016-08-20 00:00:00,1,N,27,5,46,M,2,2,R,,,,46,0
25140965,86470478,1,A00000154109,2016-08-20 00:00:00,2,N,51,5,29,F,1,1,R,,,,29,0
25140973,86471165,1,A00000154233,2016-08-24 00:00:00,1,N,40,5,18,M,1,1,R,,,,18,0
25447670,87004596,1,A00000154678,2016-11-14 00:00:00,2,N,34,5,28,F,2,1,N,,,,28,0
25140220,86471138,1,A00000154338,2016-08-16 00:00:00,2,N,28,5,27,F,1,2,R,,,,27,0
25140957,86471109,1,A00000153747,2016-08-03 00:00:00,2,N,51,5,23,F,1,2,N,,,,23,0
26023978,89283559,1,A00000153900,2016-08-11 00:00:00,3,N,2,5,19,M,2,2,N,,,,19,0
25804222,87430810,1,A00000155230,2016-12-05 00:00:00,2,N,10,5,30,M,1,2,R,,,,30,0
25140977,86471205,1,A00000154574,2016-09-06 00:00:00,2,N,51,5,17,F,1,2,R,H,,,17,0
25140240,86471210,1,A00000154669,2016-09-10 00:00:00,1,N,22,5,46,M,1,2,R,,,,46,0
25140235,86471195,1,A00000154472,2016-09-12 00:00:00,2,N,48,5,24,F,1,2,R,,,,24,0
25306783,87005539,1,A00000155811,2016-09-27 00:00:00,2,N,49,5,27,M,1,2,R,,,,27,0
25140239,86471209,1,A00000154615,2016-09-08 00:00:00,1,N,44,5,37,M,1,2,R,,,,37,0
25140979,86471533,1,A00000154679,2016-09-19 00:00:00,1,N,51,5,22,M,1,2,R,,,,22,0
25140982,86471548,1,A00000154890,2016-09-19 00:00:00,2,N,16,5,14,M,1,2,R,R,,,14,0
25140976,86471520,1,A00000154469,2016-09-02 00:00:00,1,N,51,5,28,M,1,2,N,,,,28,0
25140981,86471547,1,A00000154874,2016-09-26 00:00:00,1,N,22,5,19,M,1,2,R,,,,19,0
25140983,86471549,1,A00000154935,2016-09-21 00:00:00,1,N,22,5,49,M,1,2,R,,,,49,0
25306777,87004590,1,A00000154919,2016-09-05 00:00:00,2,M,16,5,17,M,1,2,R,R,,,17,0
25306778,87004590,2,A00000155655,2016-09-05 00:00:00,2,M,35,5,19,M,2,2,N,,,,19,0
