agency_id,incident_id,nibrs_month_id,incident_number,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,ddocname,orig_format,ff_line_number,did
16607,83458090,7289283,I00000432638,,2017-11-06 00:00:00,2016-02-09 00:00:00,,7,6,,0,C,2016_02_PA0363900_I00000432638_INC,F,,2456041
16607,83458537,7289283,I00000433119,,2017-11-06 00:00:00,2016-02-20 00:00:00,,19,6,,0,C,2016_02_PA0363900_I00000433119_INC,F,,2456089
16607,83458087,7289283,I00000432752,,2017-11-06 00:00:00,2016-02-10 00:00:00,,17,6,,0,C,2016_02_PA0363900_I00000432752_INC,F,,2456042
16607,83458104,7289283,I00000433089,,2017-11-06 00:00:00,2016-02-19 00:00:00,,20,6,,0,C,2016_02_PA0363900_I00000433089_INC,F,,2456086
16607,83887601,7289283,I00000433271,,2017-11-06 00:00:00,2016-02-25 00:00:00,,14,6,,0,C,2016_02_PA0363900_I00000433271_INC,F,,3484999
16607,83458103,7289283,I00000433095,,2017-11-06 00:00:00,2016-02-19 00:00:00,,20,6,,0,C,2016_02_PA0363900_I00000433095_INC,F,,2455406
16607,83458091,7289283,I00000433042,,2017-11-06 00:00:00,2016-02-19 00:00:00,,20,6,,0,C,2016_02_PA0363900_I00000433042_INC,F,,2455364
16607,83458108,7289283,I00000433264,,2017-11-06 00:00:00,2016-02-25 00:00:00,,12,2,2016-02-25 00:00:00,0,C,2016_02_PA0363900_I00000433264_INC,F,,2456087
16607,85116247,7289283,I00000438012,,2017-11-06 00:00:00,2016-02-06 00:00:00,,16,6,,0,C,2016_02_PA0363900_I00000438012_INC,F,,6178530
16607,83886700,7289283,I00000433293,,2017-11-06 00:00:00,2016-02-24 00:00:00,,19,4,2016-03-01 00:00:00,0,C,2016_02_PA0363900_I00000433293_INC,F,,3483769
16607,83458530,7289283,I00000433047,,2017-11-06 00:00:00,2016-02-19 00:00:00,,20,6,,0,C,2016_02_PA0363900_I00000433047_INC,F,,2456051
