suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
5,102144116,6430,1,7813152
5,102811675,1000,1,7913549
5,102144747,2430,1,7813157
5,101515822,117160,1,7730829
5,104701081,1350,1,8186401
5,102813584,1000,1,7912446
5,103410637,300,1,8000479
5,102813565,2420,1,7913552
5,102145211,4150,1,7813170
5,97544575,5100,1,7183888
5,97193852,1200,1,7133188
5,98339773,5000,1,7308338
5,96795284,297000,1,7074165
16,96795284,10000,1,7074164
5,96795301,1000,9,7074167
4,96795085,26000,9,7074622
1,96795085,300,1,7074623
1,96795088,3200,1,7074624
13,96795068,1000,9,7074617
5,104701027,1000,1,8186394
8,99190366,100,1,7423829
5,99190366,8000,1,7423828
5,98803957,30400,1,7372829
2,102813491,2000,1,7913529
5,102144700,1400,1,7813138
5,101515755,295300,1,7730811
5,97918063,25300,1,7243767
1,97193880,7200,1,7133192
5,97544594,400,1,7184421
5,99190374,100,1,7424802
5,100062474,100,1,7538164
5,101515763,5500,1,7730816
5,104701242,9100,1,8185681
5,97544612,17100,1,7183893
4,97544610,1000,1,7184423
5,97545806,2100,1,7184425
5,97918076,1300,1,7243770
5,97544611,1000,1,7184424
5,101516557,9400,1,7729968
4,104701241,7300,1,8185680
2,97918096,16000,1,7244923
5,97918096,164000,1,7244924
5,99189975,4200,1,7423836
5,101515780,1400,1,7730819
4,98338828,1000,9,7307422
5,102144690,1000,1,7811944
4,99189991,200,1,7424809
16,99189980,2000,9,7424807
12,99581420,25400,1,7476806
5,100062473,83000,1,7538412
8,104701025,2000,9,8186393
4,99190410,1000,1,7424812
5,98809920,116000,1,7372849
7,98809920,10000,1,7372848
5,100454351,1000,1,7593208
5,99190019,100,1,7424818
2,98809903,,,7372845
5,99189997,1000,1,7423838
5,100061841,1300,1,7538411
4,101515770,1100,1,7729967
5,104701258,200,1,8185685
5,100061872,14300,1,7538418
16,99190025,5000,9,7423842
4,99190027,3000,9,7423844
4,100454364,1000,9,7593212
4,102813495,1420,1,7913530
5,100454372,1000,9,7591911
5,99581491,3400,1,7476815
5,100061884,1300,1,7538170
4,100453898,1300,1,7591912
5,100061905,4000,1,7538425
5,100062575,1000,1,7538179
12,100061903,2000,9,7538422
5,101515810,4100,1,7730828
5,101516596,1300,1,7729975
5,102144112,7300,1,7813148
5,100453935,4000,1,7591919
12,100453935,5000,9,7591918
4,101516623,14300,1,7729984
5,101516623,3500,1,7729983
5,104292035,5500,1,8127699
5,104292034,17400,1,8126683
13,104025790,1000,9,8091103
4,103410632,27000,9,8001294
5,102813509,1100,1,7913533
13,101516661,1000,9,7730834
5,96795185,1000,9,7074155
5,102813510,1000,3,7913534
5,99190263,1000,9,7424788
16,102144718,8000,9,7811952
15,102144718,15000,9,7811953
5,99581079,1000,9,7477308
5,100062457,1000,1,7538161
5,100454283,4000,1,7591902
5,100453847,1000,1,7591905
5,100454302,1000,9,7593196
5,96435265,100,1,7023462
4,101515701,100,3,7730802
7,103762842,2000,9,8056483
5,103762842,7000,3,8055940
5,102811668,130,1,7913548
8,98803929,1000,9,7372826
5,98803929,1000,9,7372825
5,99581114,1480,1,7476816
5,101515751,5110,1,7730810
5,104701046,8110,1,8186397
5,100454209,1350,1,7593186
5,102813562,31000,1,7913551
5,102144079,400,1,7811948
16,99581127,3000,1,7476818
5,100062497,4000,1,7538416
5,104701029,1000,1,8186395
5,101515808,9300,1,7730827
5,101515820,5000,1,7729978
5,96434418,1000,9,7022691
5,96435229,1000,9,7023460
4,97193799,2000,9,7132168
5,97193795,1000,3,7132167
8,97545706,,,7183883
8,97544521,1000,9,7184405
15,97918031,82000,9,7243755
5,98339756,1000,1,7308336
5,98803924,1000,9,7371936
15,99581085,5000,9,7476804
15,99581404,5000,9,7476802
8,100062432,3000,9,7538152
5,100062432,1000,3,7538151
2,100062437,1000,9,7538155
7,100062437,1000,9,7538154
5,100061804,1000,3,7538408
5,99581415,1000,9,7476803
5,101515623,1000,9,7730797
11,101516391,1000,9,7729947
5,101515632,1000,9,7730799
4,103410577,1000,9,8000469
5,96434462,2000,1,7022693
4,96434453,1000,1,7022692
4,96434500,4000,9,7022701
5,96795237,1000,9,7074158
5,96795069,1000,9,7074618
4,98338781,199000,9,7307410
