property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
99581549,63,1,,96461114
99581148,8,17,2016-08-02 00:00:00,96460707
99581543,8,17,,96460709
99581158,8,20,,96461126
99581158,20,300,,96460716
99581158,63,6,,96460717
99581153,4,300,,96461116
99581557,20,20,,96461128
99581149,16,20,,96460708
99581545,20,80,,96461112
99581545,7,50,,96461110
99581152,38,300,,96461108
99581565,60,623,,96461137
102145232,61,712,,99784273
102144812,16,50,,99783770
102145228,38,350,,99784267
102145227,38,100,,99784268
100454272,10,,,97596009
102145243,30,100,,99784290
102145242,63,20,,99783777
101515812,16,10,,98973101
101516598,10,,,98973770
102144832,63,21,,99783790
102144834,20,18118,,99783793
102145251,20,7240,2016-12-23 00:00:00,99783792
97193934,20,2150,,93381464
96795390,38,50,,92861465
96795406,63,20,,92861487
96795144,29,99,,92862292
96796184,26,1360,,92862331
96795384,63,80,,92861455
96795340,10,,,92861386
96795340,11,1,,92861387
96795386,57,500,,92861458
96796191,16,100,,92862341
96796216,20,200,,92861509
96796216,63,50,,92861511
96796205,62,375,,92862361
96795160,10,,,92862302
96795355,36,601,,92861411
96795394,63,300,,92862304
96434542,16,415,,92383238
96795134,9,0,,92861434
96795388,15,3500,,92861460
97193939,61,560,,93381473
96795385,7,300,,92861457
96796186,19,7,,92862335
96796214,37,200,,92862371
96434544,63,100,,92383239
96795338,6,80,,92861385
96796208,25,100,,92862364
96795440,13,360,,92861528
96795125,20,307,,92862272
96795359,26,600,,92861419
96795359,61,299,,92861421
96795359,7,240,,92862279
96795418,63,200,,92861501
96796218,20,1100,,92862376
96795381,17,3000,,92861452
96795157,20,174,,92861464
96795368,42,12,,92861435
98804083,7,180,,95475577
99190429,20,267,,95957783
96796383,3,300,,92862590
96796414,63,20,,92862633
96796437,3,50,,92862657
96796451,3,100,,92862674
96796492,11,1,,92862726
96795467,63,110,,92862457
96796364,37,1,,92862573
96796395,63,300,,92862609
96796429,63,40,,92862649
96796443,3,200,,92862665
96796266,61,120,,92862434
96796266,20,25,,92862433
96796367,63,400,,92862577
96796404,3,100,,92862618
96796431,6,40,,92862653
96796447,31,100,,92862667
96795543,3,300,,92861649
96795461,11,1,,92861554
96796405,63,50,,92862623
96796440,63,10,,92862660
96795525,20,30,,92861630
96795528,3,1,,92861638
96795533,63,50,,92862662
96795547,20,502,,92861654
96796323,4,50,,92862511
96796323,63,50,,92862516
96796298,3,4000,,92862477
96795501,11,1,,92861599
96795513,5,500,,92861612
96796274,63,1,,92862443
96796363,29,1,,92862571
96795544,63,100,,92861651
96795481,3,4000,2016-02-15 00:00:00,92861574
96795482,3,4000,,92861575
96795506,3,500,,92861605
96795518,3,200,,92861621
96795531,3,1,,92861640
96795548,63,500,,92861655
96795555,20,1,,92861668
96795462,63,0,,92861556
100062681,6,50,,97086261
102813615,13,550,,100649500
97193957,3,424,,93381487
97193958,25,200,,93380631
97193986,61,150,,93380652
97193954,3,43,,93381486
97193971,63,55,,93381501
97193980,63,53,,93381514
97194774,6,1000,,93380654
97194783,46,30,,93381547
97194010,4,150,,93380665
97194016,63,1,,93381564
97194773,38,200,,93381525
97194794,63,130,,93380672
97194030,25,50,,93381578
97194760,17,1129,,93380642
97194806,10,,,93380683
97194784,11,2,,93380660
97544643,63,0,,93833433
97193974,17,200,,93381506
97193974,20,460,,93381507
97193974,63,104,,93381508
97194793,16,1100,,93380671
97193961,11,1,,93381488
97193961,10,,,93380637
97194005,11,1,,93381553
97194005,10,,,93381552
97194752,38,40,,93380626
97193976,20,5400,,93381510
97194031,16,349,,93381579
97194771,63,700,,93380650
97194762,13,300,,93380644
97194761,13,300,2016-03-07 00:00:00,93381502
97194029,63,100,,93380682
97194753,3,500,,93380628
97194008,45,505,,93381556
97194775,3,100,,93380655
97194020,20,200,,93381568
98809989,20,12004,,95475598
97544816,54,40,,93833652
97544732,7,300,,93833544
97544732,27,60,,93833545
97544838,27,20,2016-04-30 00:00:00,93833674
97544838,26,130,2016-04-30 00:00:00,93833671
97544840,26,130,,93833681
97544840,27,20,,93833682
97544698,63,1000,,93833505
97544703,3,200,,93833511
97545912,7,300,,93832953
97544704,25,100,,93833512
97544742,3,2000,,93832941
97544805,54,150,,93833638
97544820,4,100,,93833656
97545944,40,400,,93833626
97545918,10,,,93833597
97545918,11,1,,93833599
97544692,20,293,,93833499
97545953,25,66,,93833651
97544741,20,6185,,93833554
97545904,9,0,,93832940
97545917,7,400,,93832957
97545917,26,298,,93832958
97545924,3,500,,93832970
97544690,20,5,,93833496
97544690,63,40,,93833497
97544797,36,1250,,93833625
97544696,13,1610,,93833504
97544814,20,7,,93833648
97544814,63,50,,93833649
97545879,35,100,,93832910
97544844,63,300,,93833684
97544752,3,100,,93833563
99190013,8,33,,95957790
98810003,11,1,,95475616
100061979,9,0,,97085076
97920237,20,700,,94316021
97919614,13,450,,94317686
97920285,10,,,94316072
97920302,63,700,,94316087
97919602,63,600,,94317674
97919626,4,199,,94317703
97919644,36,14605,,94317724
97919641,64,100,,94317721
97920287,11,20,,94316074
97920287,10,,,94316073
97919627,63,140,,94317704
97920259,11,1,,94317711
97920259,10,,,94317710
97919649,20,17,,94317730
97920229,20,800,,94316014
97919660,63,130,,94317751
97919598,63,10,,94317672
97919598,20,100,,94317671
97919613,10,,,94317685
97920206,13,200,,94315984
97920206,63,1,,94315986
98339859,63,50,,94865588
97920207,45,1,,94315987
97920252,63,50,,94316036
97920269,3,3000,,94317725
98810020,11,1,,95475635
97919599,61,299,,94315989
97920271,63,300,,94316060
97920263,63,50,,94316048
97920289,38,35,,94316077
97919631,16,15,,94316041
97919615,20,7000,,94316008
97920297,20,3500,,94316084
99190018,3,200,,95957797
98339844,11,1,,94865572
99190452,25,20,,95958823
99190452,20,30,,95958822
99190447,20,380,,95958817
98810017,20,82,,95475632
99581575,10,,,96461148
98810010,63,99,,95475626
98810011,20,99,,95475627
99190441,11,1,,95957796
99190437,20,340,,95958799
99190437,25,70,,95958800
99190453,10,,,95958825
99581162,11,1,,96460721
99581165,11,1,,96461150
100062679,17,500,2016-05-24 00:00:00,97086259
100062680,17,500,,97086260
99190028,3,100,,95957812
99190462,3,12000,2016-06-02 00:00:00,95958834
99190526,20,50,,95958917
99190525,63,50,,95958916
99190492,3,20,,95958875
99190511,11,1,,95957866
99190511,10,,,95958894
99190470,26,350,,95958842
99190500,63,30,,95957856
99190534,3,300,,95957887
99190085,20,100,,95957885
99190031,61,250,,95957814
99190483,11,1,,95957829
99190483,10,,,95957827
99190059,11,1,,95957851
99190059,10,,,95957849
99190068,16,150,,95957865
99190068,26,600,,95958895
99190068,63,180,,95958896
99190083,25,130,,95958913
99190033,8,15,,95957819
99190033,7,50,,95957818
99190476,6,50,,95958850
99190041,20,1500,,95957824
99190049,63,25,,95957836
99190499,63,1900,,95957854
99190071,3,1000,,95957870
99190463,3,800,,95958835
99190072,20,15,,95957872
99190072,63,80,,95957873
99190537,19,3,,95958929
99190464,3,600,,95958836
99190038,3,4500,,95958851
99190533,3,500,,95958925
99190484,11,1,,95958864
99190523,10,,,95958912
99190089,19,142,,95957890
99190035,3,5000,,95957821
99190048,8,10,,95958871
99190036,10,,,95958849
99190490,4,110,,95958873
99190501,63,2,,95958880
99190513,63,500,,95957871
99190528,20,120,,95958918
99190459,63,20,,95958831
99190491,63,80,,95958874
99190475,63,1,,95958848
100062682,36,1500,,97086262
104293589,20,159,,102561000
99190556,4,150,,95958950
99190558,20,30,,95958952
99190569,20,6,,95958967
99190574,3,1,,95958972
99190587,19,5500,,95958990
99190545,63,20,,95958938
99190554,7,200,,95958948
99190559,3,200,,95958954
99190561,17,300,,95957912
99190561,20,30,,95958958
99190561,25,60,,95958959
99190571,38,4000,,95958969
99190586,20,1172,,95958989
99190104,17,150,,95957906
99190107,63,575,,95957909
99190108,20,22,,95958951
99190110,10,,,95957910
99190110,11,1,,95957911
99190111,63,60,,95957913
99190113,4,350,,95957915
99190116,63,3532,,95957918
99190123,3,600,,95957924
99190124,4,100,,95957925
99190096,63,112,,95957896
99190106,20,250,,95957908
99190112,9,0,,95957914
99190121,3,338,,95957922
99190129,20,245,,95957929
99190105,20,100,,95957907
99190122,8,26,,95957923
99190557,63,1,,95958953
99190562,11,1,,95958960
99190114,3,1,,95957916
99190128,63,5,,95957928
99190128,45,80,,95957927
99190549,20,20,,95958942
99190555,16,340,,95958949
99190564,63,25,,95958962
99190570,26,300,,95958968
99190575,3,300,,95958973
99190581,63,20,,95958981
99581566,63,100,,96461138
99581163,10,,,96461147
99190099,63,162,,95957902
99190099,58,90,,95957901
99190099,38,130,,95957900
99190099,20,190,,95957899
100062683,38,50,,97086263
99581577,4,125,,96461149
99581576,4,125,2016-07-29 00:00:00,96460728
100062690,13,600,,97086270
99581570,17,200,,96460723
99581570,25,208,,96461144
99581570,20,180,,96461143
99581570,63,4,,96461145
100062675,63,20,,97086255
99581641,25,20,,96461223
99581641,8,7,,96460791
99581645,50,10,,96461226
99581596,63,10,,96461172
99581610,29,10,,96461189
99581622,63,165,,96461204
99581625,17,1654,,96461205
99582205,10,,,96460781
99582191,26,400,,96460763
99582197,63,400,,96460771
99581642,62,100,,96461224
99581588,20,10,,96461165
99582223,20,60,,96461231
99581173,63,55,,96461157
99582181,38,201,,96460752
99582181,20,10,,96460751
99582209,4,50,,96461211
99582186,20,24,,96460755
99582218,63,10,,96461227
99582218,20,100,,96460797
99581637,54,165,,96461219
99582185,17,250,,96461181
99582185,7,423,,96461180
99581599,63,600,,96461178
99581614,30,10,,96461193
99581628,20,6,,96461208
99581628,17,40,,96461207
99582182,4,40,,96460753
99581617,4,150,2016-08-16 00:00:00,96461196
99581630,16,15,,96461212
99582195,3,1,,96460768
99581631,20,898,,96460785
99582212,13,255,,96460788
99581590,20,50,,96461166
99581598,63,320,,96461174
99582183,20,320,,96461175
100062701,17,7100,,97086282
100061982,63,300,,97086278
99582198,24,20,,96461201
99581624,38,800,,96460777
102145258,20,150,,99783795
104701365,8,2,,103090610
100454332,63,680,,97596086
100454332,49,175,,97596085
100454332,13,750,,97596083
100454332,45,1,,97596084
99581664,3,300,,96461247
99582239,63,1,,96460814
99582243,63,70,,96460818
99581681,63,1,,96461267
99582251,3,1,,96460825
99581708,3,1,,96461299
99581716,63,500,,96461309
99581722,25,21,,96461315
99582264,31,40,,96460840
100454335,11,1,,97596089
100454335,10,,,97596088
99581674,10,,,96461258
99581677,16,100,,96461262
99581677,20,350,,96461263
99581693,3,1,,96461283
99581703,46,1,,96461294
99581734,63,6,,96461331
99581746,38,120,,96461341
99581753,16,35,,96461349
99581662,61,120,,96461243
100062716,7,700,,97086298
