offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
88817584,78834982,1,5,25,M,1,,,,
88817564,78834047,1,5,20,M,1,,,,
88817586,78834984,1,5,48,M,1,,,,
88817574,78834974,0,,,,,,,,
88817576,78834976,0,,,,,,,,
88817579,78834977,3,5,7,M,1,,,,
88817577,78834977,1,5,8,M,1,,,,
88817578,78834977,2,5,11,M,1,,,,
88817585,78834983,1,5,19,M,1,,,,
88817572,78834972,1,5,29,F,1,,,,
88817573,78834973,1,5,33,M,1,,,,
88817575,78834975,1,5,30,F,1,,,,
88817580,78834978,0,,,,,,,,
88817581,78834979,1,5,19,M,1,,,,
88817582,78834980,1,5,35,M,1,,,,
88817583,78834981,1,5,22,F,1,,,,
88817561,78834044,1,5,45,M,1,,,,
88817562,78834045,0,,,,,,,,
88817563,78834046,0,,,,,,,,
88817569,78834969,1,5,41,M,1,,,,
88817570,78834970,1,5,19,M,1,,,,
88817571,78834971,1,5,29,M,1,,,,
88817565,78834048,0,,,,,,,,
88817566,78834049,1,5,31,M,1,,,,
88817567,78834050,1,5,29,M,1,,,,
88817568,78834051,1,5,20,M,1,,,,
88817560,78834043,1,5,35,F,1,,,,
88817595,78834993,1,5,27,M,1,,,,
88817596,78834994,0,,,,,,,,
88817597,78834995,1,5,20,F,1,,,,
88817598,78834996,1,5,25,M,1,,,,
88817599,78834997,1,5,55,F,1,,,,
88817600,78834997,2,5,25,F,1,,,,
88817601,78834998,0,,,,,,,,
88817602,78834999,1,5,30,M,1,,,,
88817603,78834999,2,5,30,M,2,,,,
88817604,78834999,3,5,24,F,1,,,,
88817605,78834999,4,5,25,F,1,,,,
88817606,78835000,1,5,68,M,1,,,,
88817607,78835001,0,,,,,,,,
88817631,78835024,0,,,,,,,,
88817632,78835025,0,,,,,,,,
88817633,78835026,0,,,,,,,,
88817634,78835027,1,5,22,M,1,,,,
88817635,78835028,0,,,,,,,,
88817636,78835029,1,5,22,M,1,,,,
88817637,78835030,1,5,17,F,1,,,,
88817638,78835030,2,5,16,F,1,,,,
88817639,78835031,1,5,35,M,1,,,,
88817640,78835032,1,5,48,F,1,,,,
88817641,78835034,1,5,24,M,1,,,,
88817642,78835035,0,,,,,,,,
88817697,78835087,1,5,52,F,1,,,,
88819241,78835088,0,,,,,,,,
88819242,78835089,1,5,15,M,1,,,,
88819243,78835090,0,,,,,,,,
88819244,78835091,0,,,,,,,,
88819245,78835092,1,5,30,F,1,,,,
88819247,78835094,0,,,,,,,,
88819251,78835098,1,5,22,M,1,,,,
88819252,78835099,1,5,48,M,1,,,,
88819253,78835100,1,5,52,M,1,,,,
88819254,78835101,1,5,50,M,1,,,,
88817608,78835002,1,5,36,F,1,,,,
88817609,78835003,1,5,36,M,1,,,,
88817611,78835005,1,5,27,M,1,,,,
88817612,78835006,1,5,24,M,1,,,,
88817613,78835006,2,5,24,F,1,,,,
88817614,78835007,1,5,21,M,1,,,,
88817615,78835008,0,,,,,,,,
88817643,78835036,0,,,,,,,,
88817644,78835037,0,,,,,,,,
88817645,78835038,1,4,,M,1,,,,
88817646,78835039,0,,,,,,,,
88817684,78835075,0,,,,,,,,
88817689,78835080,1,5,67,M,1,,,,
88817690,78835081,1,5,67,M,1,,,,
88817691,78835082,0,,,,,,,,
88817692,78835083,1,5,16,M,1,,,,
88817693,78835083,2,5,16,M,1,,,,
88817694,78835084,0,,,,,,,,
88817695,78835085,0,,,,,,,,
88817696,78835086,0,,,,,,,,
88819250,78835097,1,5,34,M,1,,,,
88817688,78835079,1,5,43,M,1,,,,
88817655,78835048,0,,,,,,,,
88817657,78835050,1,5,59,F,1,,,,
88817658,78835051,1,5,27,M,1,,,,
88817659,78835052,0,,,,,,,,
88817660,78835053,0,,,,,,,,
88817661,78835054,1,4,,M,1,,,,
88817662,78835055,0,,,,,,,,
88817663,78835056,1,5,21,M,1,,,,
88817664,78835057,1,5,26,M,1,,,,
88819246,78835093,1,5,37,M,2,,,,
88819248,78835095,1,5,28,M,1,,,,
88817665,78835058,1,5,43,F,1,,,,
88817666,78835058,2,5,55,M,1,,,,
88817667,78835059,0,,,,,,,,
88817668,78835060,1,5,24,M,1,,,,
88817674,78835065,1,5,23,M,1,,,,
88817616,78835009,1,5,19,M,1,,,,
88817617,78835010,1,5,20,M,2,,,,
88817618,78835011,0,,,,,,,,
88817619,78835012,1,5,31,M,1,,,,
88817620,78835013,1,5,20,F,1,,,,
88817624,78835017,1,5,23,M,1,,,,
88817653,78835046,0,,,,,,,,
88817647,78835040,0,,,,,,,,
88817621,78835014,1,5,30,M,1,,,,
88817622,78835015,1,5,57,M,1,,,,
88817623,78835016,0,,,,,,,,
88817625,78835018,0,,,,,,,,
88817626,78835019,0,,,,,,,,
88817627,78835020,1,5,57,M,1,,,,
88817628,78835021,0,,,,,,,,
88817629,78835022,1,5,17,M,1,,,,
88817630,78835023,0,,,,,,,,
88817648,78835041,1,5,38,M,1,,,,
88817649,78835042,1,5,18,M,1,,,,
88817650,78835043,1,5,38,M,1,,,,
88817651,78835044,1,5,51,M,1,,,,
88817652,78835045,1,5,40,M,1,,,,
88817654,78835047,1,5,70,M,1,,,,
88817656,78835049,1,5,48,M,2,,,,
88817678,78835069,0,,,,,,,,
88819249,78835096,1,5,44,F,1,,,,
88817669,78835061,0,,,,,,,,
88817670,78835062,1,5,51,M,1,,,,
88817671,78835063,1,5,45,M,1,,,,
