arrestee_id,weapon_id,nibrs_arrestee_weapon_id
22620585,1,22634720
22620592,1,22634727
22620590,1,22634725
22620591,1,22634726
22620588,1,22634723
22620589,1,22634724
22620586,1,22634721
22620587,1,22634722
22620584,1,22634719
22621522,1,22634541
22621523,1,22634542
22621524,1,22634543
22621525,1,22634544
22621526,1,22634545
22621527,1,22634546
22621528,1,22634547
22621538,1,23873364
22621539,1,22634557
22621540,1,22634558
22621541,1,22634751
22621542,1,22634752
22621543,1,22634753
22621544,1,22634754
22621573,1,22634783
22621574,1,22634784
22621575,1,22634785
22621580,1,22634790
22621581,1,22634791
22621582,1,22634792
22621583,1,22634793
22621529,1,22634548
22621530,1,22634549
22621569,1,22634779
22621570,1,22634780
22621572,1,22634782
22621571,1,22634781
22621579,1,22634789
22621568,1,22634778
22621551,1,22634761
22621552,1,22634762
22621553,1,22634763
22621576,1,22634786
22621577,1,22634787
22621554,1,22634764
22621555,1,22634765
22621556,1,22634766
22621561,1,22634771
22621531,1,22634550
22621532,1,22634551
22621533,1,22634552
22621534,1,22634553
22621535,1,22634554
22621536,1,22634555
22621537,1,22634556
22621545,1,22634755
22621546,1,22634756
22621547,1,22634757
22621548,1,22634758
22621549,1,22634759
22621550,1,22634760
22621578,1,22634788
22621557,1,22634767
22621558,1,22634768
22621559,1,22634769
22621560,1,22634770
22621562,1,22634772
22621563,1,22634773
22621564,1,22634774
22621565,1,22634775
22621566,1,22634776
22621567,1,22634777
22620593,1,22634728
22620594,1,22634729
22620595,1,22634730
22620596,1,22634731
22621521,1,22634540
22606419,1,22620228
22606422,1,22620231
22606423,1,22620232
22606424,1,22620233
22606418,1,22620227
22606425,1,22620234
22606426,1,22620235
22606435,1,22620244
22606430,1,22620239
22606431,1,22620240
22606432,1,22620241
22606429,1,22620238
22606420,1,22620229
22606421,1,22620230
22606427,1,22620236
22606428,1,22620237
22606433,1,22620242
22606434,1,22620243
22606442,1,22620251
22606443,1,22620252
22606444,1,22620253
22606445,1,22620254
22606446,1,22620255
22606447,1,22620256
22607385,1,22619812
22607386,1,22620009
22607387,1,22620010
22606436,1,22620245
22606437,1,22620246
22606438,1,22620247
22606439,1,22620248
22606440,1,22620249
22606441,1,22620250
22607380,1,22619808
22607381,1,22619809
22607382,1,22619810
22607384,1,22619811
22607383,1,23882322
22607370,1,22619798
22607371,1,22619799
22607372,1,22619800
22607373,1,22619801
22607374,1,22619802
22607375,1,22619803
22607376,1,22619804
22607377,1,22619805
22607378,1,22619806
22607379,1,22619807
22607388,1,22620011
22607401,1,22620024
22607402,1,22620025
22607403,1,22620026
22607398,1,22620021
22607389,1,22620012
22607400,1,22620023
22607399,1,22620022
22607395,1,22620018
22607396,1,22620019
22607397,1,22620020
23872694,1,23891777
22607392,1,22620015
22607391,1,22620014
22607393,1,22620016
22607390,1,22620013
22617247,1,22630111
22617248,1,22630112
22617246,1,22630110
22617241,1,22630105
22617242,1,22630106
22617243,1,22630107
22617244,1,22630108
22617245,1,22630109
22617265,1,22630321
22617266,1,22630322
22617267,1,22630323
22617268,1,22630324
22617269,1,22630325
22617275,1,22630331
22617272,1,22630328
22617273,1,22630329
22617274,1,22630330
22617257,1,22630120
22617258,1,22630121
22617259,1,22630315
22617260,1,22630316
22617261,1,22630317
22617262,1,22630318
22617263,1,22630319
22617264,1,22630320
22617280,1,22630336
22617281,1,22630337
22617282,1,22630338
22617279,1,22630335
22617270,1,22630326
22617271,1,22630327
22617249,1,22630113
22617250,1,22630114
22617251,1,22630115
22617252,1,22630116
22617253,1,22630117
22617276,1,22630332
22617277,1,22630333
22617283,1,22630339
22617284,1,22630340
22617254,1,23872601
22617255,1,22630118
22617256,1,22630119
22617278,1,22630334
22618277,1,22629124
22618282,1,22629129
22618252,1,22629099
22618253,1,22629100
22618254,1,22629101
22618287,1,22629134
22618274,1,22629121
22618275,1,22629122
22618276,1,22629123
22618257,1,22629104
22618258,1,22629105
22618259,1,22629106
22618260,1,22629107
22618261,1,22629108
22618262,1,22629109
22618263,1,22629110
22618264,1,22629111
22618265,1,22629112
22618266,1,22629113
22618267,1,22629114
22618268,1,22629115
22618270,1,22629117
22618278,1,22629125
22618280,1,22629127
22618281,1,22629128
22618279,1,22629126
22618283,1,22629130
22618284,1,22629131
22618285,1,22629132
22618286,1,22629133
22618289,1,22629136
22618290,1,22629137
22618291,1,22629138
22618292,1,22629139
22618293,1,22629140
22618294,1,22629141
22618295,1,22629142
22618296,1,22629143
22618297,1,22629144
22618298,1,22629145
22618299,1,22629146
22618300,1,22629147
22618301,1,22629148
22618302,1,22629149
22618303,1,22629150
22618318,1,22629872
23974008,1,23994082
22619350,1,22633895
22619352,1,22633897
22619353,1,22633898
22619355,1,22633900
22619356,1,22633901
22619357,1,22633902
22619359,1,22633904
22619360,1,22633905
22619364,1,22633908
22619365,1,22633909
24264593,1,24284973
24868133,1,24888151
22618346,1,22629900
22618347,1,22629901
22618349,1,22629903
22618338,1,22629892
22618339,1,22629893
22618340,1,22629894
22618341,1,22629895
22618342,1,22629896
22618343,1,22629897
22618351,1,22629905
22618352,1,22629906
22618353,1,22629907
22618354,1,22629908
22618355,1,22629909
22618356,1,22629910
22618357,1,22629911
22618358,1,22629912
23974981,1,23993232
23974983,1,23993233
22618206,1,22629634
22618216,1,22629644
22618217,1,22629645
22618218,1,22629646
22618219,1,22629647
22618220,1,22629648
22618221,1,22629649
22618222,1,22629650
22618223,1,22629651
22618233,1,22629661
22618207,1,22629635
22618208,1,22629636
22618209,1,22629637
22618210,1,22629638
22618211,1,22629639
22618212,1,22629640
22618213,1,22629641
22618214,1,22629642
22618215,1,22629643
22617285,1,22630341
22618350,1,22629904
22618337,1,22629891
22619340,1,22633885
22618304,1,22629151
22618306,1,22629153
22618307,1,23872586
22618308,1,22629154
22618310,1,22629156
22618311,1,22629157
22618312,1,22629866
22618313,1,22629867
22618314,1,22629868
22618315,1,22629869
22618316,1,22629870
22618317,1,22629871
24265524,1,24285758
24116126,1,24135426
22618319,1,22629873
