suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
4,92424508,2,9,6618791
5,92424539,9,1,6618794
17,92399899,2,9,6613418
5,92408206,1,9,6614659
5,92431878,7,9,6619085
5,92431881,7.2,1,6619086
4,97919535,170,1,7244927
4,96435387,2000,1,7023475
16,92395539,30,9,6612773
4,92401555,5,9,6613815
7,92418503,5,9,6614264
5,92412878,1,1,6614673
5,92414530,111.2,1,6613784
5,92414564,9.2,1,6613787
5,92416915,1,2,6613796
16,92416938,1,1,6613798
14,92416942,1,9,6613799
5,92408961,1,1,6614227
4,92408214,3,9,6614660
5,92408218,1,1,6614661
5,92431842,1,1,6619081
5,92431872,1,1,6619083
5,92431874,1.4,1,6619084
5,92431896,1.27,1,6619089
5,92395565,3,1,6612775
16,92395591,22,9,6612777
1,92395594,3,1,6612778
4,92399229,14,1,6612790
16,92387718,2,9,6613432
16,92387737,7,9,6613433
5,92416973,29.2,1,6613801
5,96190634,1000,1,6988241
5,99581088,1000,1,7476807
5,92399175,1,9,6612715
5,92399177,1,3,6612716
5,92423095,3,1,6618507
5,92418519,0.1,9,6614267
4,92418541,0.1,1,6614270
5,92418550,1,1,6614271
5,92423152,1,1,6618599
4,92414536,1,3,6937433
16,92414536,15,9,6613786
8,92408921,1,1,6614224
5,96795103,1000,1,7074168
5,92408559,1,1,6613751
5,92402259,2,1,6614638
4,92402283,1.2,1,6614639
5,92427843,1,1,6618532
4,92427850,1,9,6618534
8,92401494,7,9,6620451
1,92401495,11.3,1,6620452
4,92395574,0,,6612776
16,92418516,1.34,1,6614266
5,92394848,10,1,6613261
13,92394894,1,1,6613264
4,92394906,0.42,1,6613266
5,92414256,6,1,6614881
5,92414261,1.2,1,6614882
5,101516506,3400,1,7730804
5,96189444,5000,9,6989221
5,97194676,1000,1,7133187
5,96795323,1470,1,7074169
8,92386842,50,9,6612605
4,92405754,3,9,6614464
5,92431716,1.4,1,6618839
5,92424873,1.5,1,6619482
4,96795020,250,1,7074606
2,96795100,1100,1,7074626
16,99189932,1000,1,7423826
5,92399113,1,3,6612714
5,92387710,18,1,6613373
5,92387711,5,1,6613374
1,92387714,1,3,6613375
5,92416026,10,1,6614164
5,92415203,1,9,6614608
5,92415208,1,1,6614609
5,92399679,8.5,1,6613208
7,92402373,10,5,6614796
5,92402378,5,1,6614797
5,92423072,30,1,6618503
5,92423085,5,1,6618504
5,92423097,1,1,6618508
5,92425440,2.1,1,6618523
5,92422240,1,1,6619022
4,92403108,3,9,6614194
5,92417593,1,1,6614618
5,92417598,1,1,6614619
5,92417609,1,1,6614620
4,92417661,1,9,6614626
17,92427869,6,9,6618540
8,92424625,19.5,9,6619032
4,92396536,3.12,1,6612566
5,92396561,75.3,1,6612570
5,92396579,1,1,6612572
5,92415223,2,1,6614611
5,92400755,28,1,6613053
5,96795235,9500,1,7074157
5,92417657,7.5,1,6614625
5,92427854,3,1,6618536
8,92427860,4,1,6618537
5,92427868,1.2,1,6618539
5,92399759,1,1,6613286
5,92391561,0,,6613594
7,92414348,0,,6613607
7,92414349,4,9,6613608
5,92403278,3,1,6614449
16,92403290,6,1,6614450
1,92403291,1,1,6614451
5,92405740,12,1,6614461
8,92405741,5,9,6614462
5,92431722,0.1,1,6618840
5,92424867,1.2,1,6619481
4,92424883,1,1,6619483
5,99190350,1000,1,7424798
5,92400610,3,1,6612938
8,92392419,55,9,6613246
7,92394857,3,9,6613262
4,92394874,1,1,6613263
5,92423657,2,1,6619444
2,96795225,101000,1,7074599
4,92386834,0,,6612604
5,92400588,0,,6612935
5,92400869,1,1,6613214
4,92406837,1,9,6614388
4,92406846,3,9,6614389
5,92404824,1,1,6614809
5,92404826,1,1,6614810
5,92430859,1,9,6619295
16,92430860,5.15,1,6619296
5,92428716,2.32,1,6620160
5,92428719,4.11,1,6620161
2,92428722,7,1,6938070
1,92428722,2,3,6620162
5,92428724,1,9,6620163
5,96795025,1430,1,7074607
16,92398988,1,9,6612578
5,92398993,1,1,6612579
5,92398997,1,3,6612580
5,92399008,1,1,6612582
5,92401301,1,1,6613564
10,92410252,1,5,6614406
5,92410253,11,1,6614407
5,92386873,1,9,6612606
5,92391800,30,1,6612623
5,92399776,1,1,6613287
5,92399787,5,1,6613288
5,92391590,1,9,6613595
5,92411982,1,1,6613602
5,92411983,1,1,6613603
5,92412002,14,1,6613604
5,92412009,12,1,6613605
5,92414406,0,,6613614
5,96795231,1000,3,7074600
5,96795297,1400,1,7074619
1,96189343,1000,1,6989205
5,96189351,1000,1,6989208
5,96189354,3000,1,6989210
5,96189393,2490,1,6988223
1,96189349,1000,9,6989206
5,100454261,1200,1,7593188
5,96189446,1000,9,6989222
16,92400857,1,9,6613213
7,92398821,3,9,6937418
5,92398821,19.5,3,6613554
4,92411044,1,1,6613967
16,92411046,40,9,6613968
5,92406858,3.2,1,6614390
9,92406859,362,9,6937490
4,92406859,6,9,6614391
5,92407948,2.1,1,6614393
5,92407959,7.28,1,6614394
4,92404812,0.3,1,6614808
4,92430857,5,9,6619293
5,92430858,4,1,6619294
5,92396515,1.42,1,6612565
5,92401309,1,1,6613565
4,92410255,4,9,6614408
5,92417979,1.3,1,6613632
5,92417984,1,1,6613633
8,92418025,10,9,6613639
12,92413549,1,1,6614060
5,92415980,1.3,1,6614075
5,92410293,0.2,1,6614475
5,92407286,0,,6614955
5,92408465,1,1,6614964
5,92399089,1,9,6612647
4,92407346,6,1,6613672
5,96434536,3000,1,7023477
11,96435338,1000,1,7023471
16,96434527,1000,9,7022707
5,92399746,0,,6613283
5,92431714,2.5,1,6618838
5,96435276,200,1,7023464
5,97544558,2500,1,7184412
5,96435304,1000,1,7023466
5,96435303,1140,1,7022694
5,96794988,2000,1,7074159
5,92391786,3,1,6612621
4,92399726,1,9,6613281
5,92411973,1.3,1,6613599
5,92411975,1,1,6613600
16,92405737,12,9,6614460
3,92431700,1.5,1,6618837
5,92431725,1,1,6618841
5,92424836,1,1,6619479
5,92424839,3,1,6619480
5,92417970,3,1,6613629
12,92415990,1,1,6614076
15,92404903,8,9,6614946
5,92407332,6.5,1,6614961
5,92430889,11.4,1,6619541
5,92417564,5,1,6614500
16,92411938,2,9,6614983
5,92422181,6.4,1,6618927
5,92422191,1,1,6618929
17,92422194,5,1,6618930
4,92387113,19,9,6612872
5,92404830,1,1,6614811
4,92424009,0.1,1,6620103
4,98339772,1000,9,7307414
5,92387130,2,1,6612873
5,92399683,10,1,6613210
4,92400854,7,9,6613212
5,92398825,9.2,1,6613556
16,92411049,1.36,1,6613969
11,92411063,8.3,1,6613970
5,92411078,1,10,6613971
4,92406829,3,9,6614387
1,92404807,1,1,6614807
5,92404861,1,3,6614813
5,92423965,1,1,6620100
4,92423984,0,,6620101
4,92423985,4.5,1,6620102
4,92428730,2,1,6620164
5,92396554,5.47,1,6612569
5,92398973,0,,6612576
5,92398976,1,3,6612577
5,92399002,3,1,6612581
5,92417117,1,1,6613995
4,92406000,1,9,6614815
2,92407238,1,1,6614832
4,96435309,140,1,7023467
5,92417973,2,1,6613631
2,92418014,1,1,6613635
5,92415998,1,1,6614077
5,92416000,35.4,1,6614078
5,92408036,1,1,6614469
5,92408038,0.1,1,6614470
5,92408039,1.5,1,6614471
5,92399051,1,1,6612643
4,92399054,4,9,6612644
5,92399056,4,9,6612645
5,92399069,1,3,6612646
5,92399108,25.34,1,6612648
5,92414337,1,1,6615003
5,92424564,1.5,1,6618937
5,92424569,1,1,6618938
4,92424575,10,9,6618939
5,92424576,1,9,6618940
4,92424577,1,9,6618941
5,92393917,1.4,1,6613458
5,92403156,2.18,1,6614284
5,96795333,2200,1,7074171
5,92402302,1,1,6614702
5,97545723,1000,9,7184407
5,97544560,1000,1,7184413
5,92392709,1,9,6613455
5,92417739,0.3,1,6614691
5,92418019,0,,6613637
12,92418022,1,1,6613638
5,92413551,1,1,6614061
5,92415953,1,1,6614073
8,92430876,50,9,6619540
5,92396476,8.4,1,6612511
5,92396483,5,1,6612512
5,92387041,1,1,6612801
16,92387050,5,9,6612803
4,92400837,1,11,6613125
5,92398769,1,1,6613480
4,92398770,1,1,6613481
8,92399958,1,9,6613485
5,92414627,1,3,6613892
5,92424605,3.35,1,6618943
8,98338784,20000,9,7307413
5,100453828,1000,1,7593190
5,98809829,1000,1,7372831
8,98809832,1000,1,7372832
5,92423088,1,1,6618505
8,92422278,1.5,1,6619023
4,100453833,5000,9,7593191
5,92418004,1,1,6613634
5,92418027,0,,6613640
8,92418028,0,,6613641
5,92415970,1,1,6614074
5,92404888,8,1,6614943
5,92404891,1,9,6614944
4,92400772,1,1,6613054
5,92408550,1.5,1,6613750
5,92407806,1,1,6614221
5,92417618,1,1,6614623
5,92417620,1,1,6614624
4,92402225,5,9,6614635
11,92402227,1,10,6614636
5,92427865,0,,6618538
4,92404892,4,9,6614945
5,92407324,8.4,1,6614960
4,92407343,2.3,1,6613671
5,92414279,1,1,6614996
5,92414313,1,1,6615000
5,92414315,1,1,6615001
11,92422199,4,1,6618931
5,100453860,1000,1,7591907
5,92400602,1,1,6612936
4,97918146,1000,1,7244929
5,92392703,1,9,6613454
5,92393913,2,1,6613457
5,92406379,3.33,1,6613836
5,92406384,3.1,1,6613837
5,92403151,1.17,1,6614283
2,92417711,2,9,6614686
4,92417713,1,9,6614688
5,92396465,1,9,6612510
5,92387095,1,1,6612805
8,92400824,1,9,6613124
5,92414629,1,1,6613893
5,92414633,1.2,1,6613894
5,96795250,5200,1,7074603
5,92393927,3,1,6613460
1,92393931,3,9,6613461
5,92393934,1,1,6613462
5,92415255,1,1,6614679
5,92417733,9.1,1,6614690
5,92399961,1,3,6613486
5,92402361,1,1,6614706
5,97545845,250,1,7183902
5,97193878,14200,1,7132177
5,92399729,1,1,6613282
5,92399752,1,1,6613284
5,92399756,1,1,6613285
5,92411976,1.5,1,6613601
4,92414351,1,1,6613609
5,92405765,13,9,6614465
2,92406944,1,1,6614466
4,92406946,0,,6614467
5,92399701,1,9,6613211
5,92402384,3,1,6614798
8,92404847,1,9,6937532
4,92404847,1,9,6614812
16,92430863,2,9,6619297
12,92430866,1,1,6619298
8,92430867,7,9,6619299
5,92399014,0,,6612583
5,92410259,20,1,6614410
5,92410260,3,1,6614411
12,98804012,1000,1,7371951
5,99189956,3410,1,7423832
16,92393919,1,1,6613459
4,92406392,1,1,6613838
5,92406397,1,1,6613839
5,92403144,1,1,6614282
5,92417720,2,1,6614689
4,99189888,1000,9,7423813
5,92387044,1,1,6612802
5,92399953,1,1,6613483
4,92399956,1,3,6613484
5,92402335,1,1,6614703
13,92402337,1,9,6614704
5,92402349,1,1,6614705
8,92405989,55,9,6614714
5,92405990,1,9,6614715
4,92405993,1,9,6614716
5,99189905,2500,3,7424791
5,92418016,1,1,6613636
5,92418030,0,,6613642
4,92413554,1,1,6614062
13,92415943,0,,6614072
5,92404880,1,3,6937546
4,92404880,5,3,6614942
5,92417578,4,1,6614501
5,92417581,3.2,1,6614502
5,92414287,7,1,6614997
5,92414290,30,1,6614998
5,92414295,1.1,1,6614999
5,92414317,6,1,6615002
4,92414341,2,9,6615004
5,92414342,1,1,6615005
16,92422187,1,9,6618928
5,92422202,210,1,6618932
5,92422207,1,1,6618933
5,92422208,1,1,6618934
8,92424592,1,9,6618942
5,92425725,2,1,6618944
7,99190373,280,1,7424801
5,92393943,1,1,6613463
16,92396460,0,,6612509
5,92387064,0,,6612804
4,97918059,13200,1,7243765
5,92414590,1,9,6613890
4,92414604,1,9,6613891
4,96435314,1000,1,7022698
5,100454250,1000,1,7593187
4,98809853,1000,9,7371943
5,98338780,5100,1,7307409
5,97918126,3000,1,7243777
5,100453816,1430,1,7591899
