nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
6843810,15892,11,2015,U,,,N,F,,C,2015_11_PA0060500_NIBRS,
6891845,15892,3,2015,U,,,N,F,,C,2015_03_PA0060500_NIBRS,
6923903,15892,2,2015,U,,,N,F,,C,2015_02_PA0060500_NIBRS,
6947860,15892,9,2015,U,,,N,F,,C,2015_09_PA0060500_NIBRS,
7010650,15892,8,2015,U,,,N,F,,C,2015_08_PA0060500_NIBRS,
7037811,15892,4,2015,U,,,N,F,,C,2015_04_PA0060500_NIBRS,
6798897,15893,2,2015,U,,,N,F,,C,2015_02_PA0060600_NIBRS,
6796923,15893,4,2015,U,,,N,F,,C,2015_04_PA0060600_NIBRS,
6905252,15893,12,2015,U,,,N,F,,C,2015_12_PA0060600_NIBRS,
6920653,15893,10,2015,U,,,N,F,,C,2015_10_PA0060600_NIBRS,
6990050,15893,8,2015,U,,,N,F,,C,2015_08_PA0060600_NIBRS,
7014511,15893,7,2015,U,,,N,F,,C,2015_07_PA0060600_NIBRS,
6960787,15893,5,2015,U,,,N,F,,C,2015_05_PA0060600_NIBRS,
6974012,15893,11,2015,U,,,N,F,,C,2015_11_PA0060600_NIBRS,
7020569,15893,3,2015,U,,,N,F,,C,2015_03_PA0060600_NIBRS,
7034784,15893,9,2015,U,,,N,F,,C,2015_09_PA0060600_NIBRS,
7030827,15893,6,2015,U,,,N,F,,C,2015_06_PA0060600_NIBRS,
7030439,15893,1,2015,U,,,N,F,,C,2015_01_PA0060600_NIBRS,
6787164,23086,4,2015,U,,,N,F,,C,2015_04_PA0365800_NIBRS,
6812324,23086,11,2015,U,,,N,F,,C,2015_11_PA0365800_NIBRS,
6856616,23086,8,2015,U,,,N,F,,C,2015_08_PA0365800_NIBRS,
6836159,23086,12,2015,U,,,N,F,,C,2015_12_PA0365800_NIBRS,
6824716,23086,7,2015,U,,,N,F,,C,2015_07_PA0365800_NIBRS,
6898524,23086,3,2015,U,,,N,F,,C,2015_03_PA0365800_NIBRS,
6893456,23086,2,2015,U,,,N,F,,C,2015_02_PA0365800_NIBRS,
6923718,23086,5,2015,U,,,N,F,,C,2015_05_PA0365800_NIBRS,
7004748,23086,10,2015,U,,,N,F,,C,2015_10_PA0365800_NIBRS,
6954361,23086,6,2015,U,,,N,F,,C,2015_06_PA0365800_NIBRS,
7037703,23086,1,2015,U,,,N,F,,C,2015_01_PA0365800_NIBRS,
7050172,23086,9,2015,U,,,N,F,,C,2015_09_PA0365800_NIBRS,
6787736,16620,5,2015,U,,,N,F,,C,2015_05_PA036BF00_NIBRS,
6791428,16620,2,2015,U,,,N,F,,C,2015_02_PA036BF00_NIBRS,
6866623,16620,11,2015,U,,,N,F,,C,2015_11_PA036BF00_NIBRS,
6869050,16620,7,2015,U,,,N,F,,C,2015_07_PA036BF00_NIBRS,
6918839,16620,1,2015,U,,,N,F,,C,2015_01_PA036BF00_NIBRS,
6948301,16620,10,2015,U,,,N,F,,C,2015_10_PA036BF00_NIBRS,
6929093,16620,9,2015,U,,,N,F,,C,2015_09_PA036BF00_NIBRS,
6987371,16620,12,2015,U,,,N,F,,C,2015_12_PA036BF00_NIBRS,
6959154,16620,3,2015,U,,,N,F,,C,2015_03_PA036BF00_NIBRS,
7031872,16620,6,2015,U,,,N,F,,C,2015_06_PA036BF00_NIBRS,
7030047,16620,4,2015,U,,,N,F,,C,2015_04_PA036BF00_NIBRS,
7055532,16620,8,2015,U,,,N,F,,C,2015_08_PA036BF00_NIBRS,
6811577,15894,9,2015,U,,,N,F,,C,2015_09_PA0060700_NIBRS,
6882229,15894,3,2015,U,,,N,F,,C,2015_03_PA0060700_NIBRS,
6858208,15894,12,2015,U,,,N,F,,C,2015_12_PA0060700_NIBRS,
6860732,15894,8,2015,U,,,N,F,,C,2015_08_PA0060700_NIBRS,
6887598,15894,11,2015,U,,,N,F,,C,2015_11_PA0060700_NIBRS,
6850853,15894,4,2015,U,,,N,F,,C,2015_04_PA0060700_NIBRS,
6845701,15894,7,2015,U,,,N,F,,C,2015_07_PA0060700_NIBRS,
6917679,15894,1,2015,U,,,N,F,,C,2015_01_PA0060700_NIBRS,
6913931,15894,10,2015,U,,,N,F,,C,2015_10_PA0060700_NIBRS,
7003010,15894,2,2015,U,,,N,F,,C,2015_02_PA0060700_NIBRS,
7003931,15894,6,2015,U,,,N,F,,C,2015_06_PA0060700_NIBRS,
7029930,15894,5,2015,U,,,N,F,,C,2015_05_PA0060700_NIBRS,
6816609,16655,1,2015,U,,,N,F,,C,2015_01_PA0381200_NIBRS,
6807341,16655,6,2015,U,,,N,F,,C,2015_06_PA0381200_NIBRS,
6850028,16655,8,2015,U,,,N,F,,C,2015_08_PA0381200_NIBRS,
6831974,16655,3,2015,U,,,N,F,,C,2015_03_PA0381200_NIBRS,
6843615,16655,10,2015,U,,,N,F,,C,2015_10_PA0381200_NIBRS,
6855921,16655,12,2015,U,,,N,F,,C,2015_12_PA0381200_NIBRS,
6916296,16655,2,2015,U,,,N,F,,C,2015_02_PA0381200_NIBRS,
6937555,16655,9,2015,U,,,N,F,,C,2015_09_PA0381200_NIBRS,
