arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
22620585,78834047,1,A00000143063,2015-05-05 00:00:00,3,N,35,5,20,M,1,2,R,,,,,
22620592,78834983,1,A00000148939,2015-12-30 00:00:00,1,N,16,5,19,M,1,2,R,,,,,
22620590,78834973,1,A00000145057,2015-07-26 00:00:00,3,N,44,5,33,M,1,2,R,,,,,
22620591,78834981,1,A00000148087,2015-11-24 00:00:00,1,N,16,5,22,F,1,2,R,,,,,
22620588,78834969,1,A00000144330,2015-06-27 00:00:00,3,N,51,5,41,M,1,1,R,,,,,
22620589,78834970,1,A00000144383,2015-06-30 00:00:00,3,N,52,5,19,M,1,2,R,,,,,
22620586,78834049,1,A00000144146,2015-06-19 00:00:00,3,N,51,5,31,M,1,2,R,,,,,
22620587,78834050,1,A00000144152,2015-06-20 00:00:00,2,N,51,5,29,M,1,2,R,,,,,
22620584,78834043,1,A00000141352,2015-02-18 00:00:00,2,N,35,5,35,F,1,2,R,,,,,
22621522,78834993,1,A00000141030,2015-02-05 00:00:00,1,N,16,5,27,M,1,2,R,,,,,
22621523,78834995,1,A00000141440,2015-02-15 00:00:00,2,N,16,5,20,F,1,2,R,,,,,
22621524,78834996,1,A00000141457,2015-02-19 00:00:00,2,N,51,5,25,M,1,2,N,,,,,
22621525,78834999,1,A00000141702,2015-02-25 00:00:00,2,N,48,5,30,M,1,2,R,,,,,
22621526,78834999,2,A00000141703,2015-02-25 00:00:00,2,N,48,5,30,M,2,2,R,,,,,
22621527,78834999,3,A00000141704,2015-02-25 00:00:00,2,N,48,5,24,F,1,2,R,,,,,
22621528,78834999,4,A00000141705,2015-02-25 00:00:00,2,N,48,5,25,F,1,2,R,,,,,
22621538,78835027,1,A00000144215,2015-06-10 00:00:00,2,N,5,5,22,M,1,2,N,,,,,
