agency_id,incident_id,nibrs_month_id,incident_number,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,ddocname,orig_format,ff_line_number,did
16599,78834982,6878846,I00000430130,,,2015-05-01 00:00:00,,12,2,2015-12-12 00:00:00,0,C,2015_05_PA0363100_I00000430130_INC,,,
16599,78834047,6878846,I00000417855,,,2015-05-05 00:00:00,,18,6,,0,C,2015_05_PA0363100_I00000417855_INC,,,
16599,78834984,6885080,I00000444618,,,2015-01-01 00:00:00,,12,6,,0,C,2015_01_PA0363100_I00000444618_INC,,,
16599,78834974,6824990,I00000422968,,,2015-08-02 00:00:00,,9,6,,0,C,2015_08_PA0363100_I00000422968_INC,,,
16599,78834976,6824990,I00000423375,,,2015-08-09 00:00:00,,21,6,,0,C,2015_08_PA0363100_I00000423375_INC,,,
16599,78834977,6824990,I00000423651,,,2015-08-14 00:00:00,,15,2,2015-08-14 00:00:00,0,C,2015_08_PA0363100_I00000423651_INC,,,
16599,78834983,6845473,I00000430996,,,2015-12-30 00:00:00,,14,6,,0,C,2015_12_PA0363100_I00000430996_INC,,,
16599,78834972,6849623,I00000421244,,,2015-07-04 00:00:00,,21,6,,0,C,2015_07_PA0363100_I00000421244_INC,,,
16599,78834973,6849623,I00000422534,,,2015-07-26 00:00:00,,8,6,,0,C,2015_07_PA0363100_I00000422534_INC,,,
16599,78834975,6849623,I00000423034,,,2015-07-03 00:00:00,,17,6,,0,C,2015_07_PA0363100_I00000423034_INC,,,
16599,78834978,6926604,I00000425235,,,2015-09-07 00:00:00,,12,6,,0,C,2015_09_PA0363100_I00000425235_INC,,,
16599,78834979,6926604,I00000425686,,,2015-09-14 00:00:00,,12,6,,0,C,2015_09_PA0363100_I00000425686_INC,,,
16599,78834980,6934261,I00000428292,,,2015-11-06 00:00:00,,17,2,2015-11-07 00:00:00,0,C,2015_11_PA0363100_I00000428292_INC,,,
16599,78834981,6934261,I00000429248,,,2015-11-24 00:00:00,,21,6,,0,C,2015_11_PA0363100_I00000429248_INC,,,
16599,78834044,7044996,I00000414736,,,2015-03-08 00:00:00,,12,4,2015-03-09 00:00:00,0,C,2015_03_PA0363100_I00000414736_INC,,,
16599,78834045,7044996,I00000415205,,,2015-03-16 00:00:00,,21,6,,0,C,2015_03_PA0363100_I00000415205_INC,,,
16599,78834046,7044996,I00000415848,,,2015-03-27 00:00:00,,17,6,,0,C,2015_03_PA0363100_I00000415848_INC,,,
16599,78834969,7048439,I00000420799,,,2015-06-27 00:00:00,,22,6,,0,C,2015_06_PA0363100_I00000420799_INC,,,
16599,78834970,7048439,I00000420920,,,2015-06-30 00:00:00,,12,6,,0,C,2015_06_PA0363100_I00000420920_INC,,,
16599,78834971,7048439,I00000421185,,,2015-06-23 00:00:00,,17,4,2015-08-21 00:00:00,0,C,2015_06_PA0363100_I00000421185_INC,,,
16599,78834048,7048439,I00000420319,,,2015-06-18 00:00:00,,19,6,,0,C,2015_06_PA0363100_I00000420319_INC,,,
16599,78834049,7048439,I00000420348,,,2015-06-19 00:00:00,,18,6,,0,C,2015_06_PA0363100_I00000420348_INC,,,
16599,78834050,7048439,I00000420368,,,2015-06-20 00:00:00,,9,6,,0,C,2015_06_PA0363100_I00000420368_INC,,,
16599,78834051,7048439,I00000420634,,,2015-06-24 00:00:00,,19,6,,0,C,2015_06_PA0363100_I00000420634_INC,,,
16599,78834043,7040671,I00000413920,,,2015-02-18 00:00:00,,13,6,,0,C,2015_02_PA0363100_I00000413920_INC,,,
16607,78834993,6794600,I00000413274,,,2015-02-05 00:00:00,,1,6,,0,C,2015_02_PA0363900_I00000413274_INC,,,
16607,78834994,6794600,I00000413499,,,2015-02-08 00:00:00,,17,6,,0,C,2015_02_PA0363900_I00000413499_INC,,,
16607,78834995,6794600,I00000413774,,,2015-02-15 00:00:00,,6,6,,0,C,2015_02_PA0363900_I00000413774_INC,,,
16607,78834996,6794600,I00000413966,,,2015-02-19 00:00:00,,11,6,,0,C,2015_02_PA0363900_I00000413966_INC,,,
16607,78834997,6794600,I00000414025,,,2015-02-20 00:00:00,,17,6,,0,C,2015_02_PA0363900_I00000414025_INC,,,
16607,78834998,6794600,I00000414192,,,2015-02-14 00:00:00,,12,6,,0,C,2015_02_PA0363900_I00000414192_INC,,,
16607,78834999,6794600,I00000414243,,,2015-02-25 00:00:00,,18,6,,0,C,2015_02_PA0363900_I00000414243_INC,,,
16607,78835000,6794600,I00000414373,,,2015-02-28 00:00:00,,11,2,2015-02-28 00:00:00,0,C,2015_02_PA0363900_I00000414373_INC,,,
16607,78835001,6794600,I00000414432,,,2015-02-28 00:00:00,,15,6,,0,C,2015_02_PA0363900_I00000414432_INC,,,
16607,78835024,6804458,I00000419380,,,2015-06-03 00:00:00,,8,6,,0,C,2015_06_PA0363900_I00000419380_INC,,,
16607,78835025,6804458,I00000419473,,,2015-06-04 00:00:00,,12,6,,0,C,2015_06_PA0363900_I00000419473_INC,,,
16607,78835026,6804458,I00000419762,,,2015-06-09 00:00:00,,14,6,,0,C,2015_06_PA0363900_I00000419762_INC,,,
16607,78835027,6804458,I00000419786,,,2015-06-09 00:00:00,,22,6,,0,C,2015_06_PA0363900_I00000419786_INC,,,
16607,78835028,6804458,I00000420103,,,2015-06-12 00:00:00,,21,6,,0,C,2015_06_PA0363900_I00000420103_INC,,,
16607,78835029,6804458,I00000420112,,,2015-06-15 00:00:00,,22,6,,0,C,2015_06_PA0363900_I00000420112_INC,,,
16607,78835030,6804458,I00000420169,,,2015-06-16 00:00:00,,20,6,,0,C,2015_06_PA0363900_I00000420169_INC,,,
16607,78835031,6804458,I00000420531,,,2015-06-18 00:00:00,,19,6,,0,C,2015_06_PA0363900_I00000420531_INC,,,
16607,78835032,6804458,I00000420559,,,2015-06-23 00:00:00,,17,6,,0,C,2015_06_PA0363900_I00000420559_INC,,,
16607,78835034,6804458,I00000420998,,,2015-06-30 00:00:00,,10,6,,0,C,2015_06_PA0363900_I00000420998_INC,,,
16607,78835035,6804458,I00000421132,,,2015-06-30 00:00:00,,20,6,,0,C,2015_06_PA0363900_I00000421132_INC,,,
16607,78835087,6795549,I00000430749,,,2015-12-23 00:00:00,,23,6,,0,C,2015_12_PA0363900_I00000430749_INC,,,
16607,78835088,6795549,I00000430761,,,2015-12-23 00:00:00,,21,6,,0,C,2015_12_PA0363900_I00000430761_INC,,,
16607,78835089,6795549,I00000430794,,,2015-12-22 00:00:00,,17,6,,0,C,2015_12_PA0363900_I00000430794_INC,,,
16607,78835090,6795549,I00000430803,,,2015-12-25 00:00:00,,22,6,,0,C,2015_12_PA0363900_I00000430803_INC,,,
16607,78835091,6795549,I00000430916,,,2015-12-26 00:00:00,,8,6,,0,C,2015_12_PA0363900_I00000430916_INC,,,
16607,78835092,6795549,I00000431042,,,2015-12-30 00:00:00,,12,6,,0,C,2015_12_PA0363900_I00000431042_INC,,,
16607,78835094,6795549,I00000432331,,,2015-12-24 00:00:00,,9,6,,0,C,2015_12_PA0363900_I00000432331_INC,,,
16607,78835098,6795549,I00000435605,,,2015-12-11 00:00:00,,16,6,,0,C,2015_12_PA0363900_I00000435605_INC,,,
16607,78835099,6795549,I00000435801,,,2015-12-15 00:00:00,,13,6,,0,C,2015_12_PA0363900_I00000435801_INC,,,
16607,78835100,6795549,I00000436209,,,2015-12-18 00:00:00,,16,6,,0,C,2015_12_PA0363900_I00000436209_INC,,,
16607,78835101,6795549,I00000436770,,,2015-12-27 00:00:00,,16,6,,0,C,2015_12_PA0363900_I00000436770_INC,,,
16607,78835002,6795709,I00000414563,,,2015-03-03 00:00:00,,10,6,,0,C,2015_03_PA0363900_I00000414563_INC,,,
16607,78835003,6795709,I00000414936,,,2015-03-12 00:00:00,,6,6,,0,C,2015_03_PA0363900_I00000414936_INC,,,
16607,78835005,6795709,I00000415643,,,2015-03-21 00:00:00,,22,6,,0,C,2015_03_PA0363900_I00000415643_INC,,,
16607,78835006,6795709,I00000415789,,,2015-03-28 00:00:00,,14,6,,0,C,2015_03_PA0363900_I00000415789_INC,,,
16607,78835007,6795709,I00000415872,,,2015-03-30 00:00:00,,5,4,2015-04-08 00:00:00,0,C,2015_03_PA0363900_I00000415872_INC,,,
