offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
86896784,78802351,51,C,13,,,
86898246,78802352,40,C,13,,,
86898249,78802358,44,C,5,,,
86896785,78802359,16,C,40,,,
86896865,78802360,39,C,41,,,
86896788,78802373,51,C,20,,,
86896869,78802374,35,C,13,,,
86896870,78802375,3,C,20,,,
86902373,78802376,5,C,20,,,
86893057,78802377,23,C,12,,,
86896871,78802378,16,C,13,,,
86896872,78802378,35,C,13,,,
86896873,78802379,45,C,20,,,
86896789,78802380,35,C,13,,,
86898250,78802381,51,C,40,,,
86896795,78802404,5,C,36,,,
86896796,78802406,51,C,41,,,
86898252,78802407,51,C,20,,,
86898253,78802408,49,C,20,0,N,
86901644,78802409,51,C,20,,,
86896797,78802410,51,C,20,,,
86893061,78802411,7,C,18,,,
86896615,78802412,7,C,18,,,
86901645,78802413,47,C,20,,,
86902377,78802414,47,C,20,,,
86896798,78802415,14,C,27,,,
86902378,78802416,23,C,46,,,
86893051,78802362,44,C,20,,,
86896611,78802363,16,C,13,,,
86896612,78802363,35,C,13,,,
86902371,78802364,16,C,13,,,
86902372,78802364,35,C,13,,,
86893052,78802365,16,C,13,,,
86893053,78802365,35,C,13,,,
86896786,78802366,45,C,24,,,
86896866,78802367,56,C,20,,,
86893054,78802369,47,C,4,,,
86896787,78802368,14,C,20,,,
86893055,78802370,16,C,13,,,
86893056,78802370,35,C,13,,,
86896867,78802371,35,C,13,,,
86896868,78802372,14,C,18,,,
86893059,78802395,5,C,12,,,
86896614,78802397,5,C,20,,,
86896877,78802398,16,C,13,,,
86896878,78802399,35,C,13,,,
86896794,78802400,47,C,20,,,
86901641,78802401,51,C,20,,,
86901642,78802402,47,C,29,,,
86901643,78802402,41,C,29,,,
86893060,78802403,51,C,20,,,
86898251,78802405,47,C,20,,,
86896874,78802382,51,C,20,,,
86901639,78802383,51,C,13,,,
86901640,78802384,51,C,13,,,
86896790,78802385,23,C,46,,,
86896791,78802386,35,C,13,,,
86902374,78802387,51,C,20,,,
86896875,78802388,45,C,34,,,
86896876,78802389,23,C,7,,,
86902375,78802390,23,C,12,,,
86896613,78802391,51,C,20,,,
86902376,78802392,5,C,20,,,
86893058,78802393,45,C,3,,,
86896792,78802394,45,C,20,,,
86896793,78802396,8,C,20,,,
86901646,78802420,45,C,20,,,
86902379,78802418,45,C,20,,,
86898254,78802419,5,C,41,,,
86896799,78802417,51,C,41,,,
86893064,78802427,14,C,18,,,
86896806,78802437,49,C,20,0,F,
86899023,78802438,51,C,20,,,
86896617,78802439,11,C,20,,,
86896618,78802439,2,C,20,,,
86896807,78802440,16,C,13,,,
86896808,78802440,35,C,13,,,
86899022,78802432,51,C,20,,,
86896616,78802431,46,C,20,,,
86896879,78802421,23,C,12,,,
86901647,78802434,51,C,20,,,
86896805,78802436,28,C,13,,,
86896801,78802423,5,C,4,,,
86893066,78802433,39,C,13,,,
86896880,78802435,44,C,13,,,
86896804,78802428,5,C,20,,,
86899020,78802429,11,C,20,,,
86899021,78802429,2,C,20,,,
86898257,78802429,47,C,20,,,
86893065,78802430,35,C,13,,,
90375296,82808695,16,C,13,,,
90375297,82808695,35,C,13,,,
86893062,78802424,16,C,20,,,
86893063,78802424,35,C,20,,,
86896802,78802425,16,C,20,,,
86896803,78802425,35,C,20,,,
86896800,78802422,51,C,13,,,
86940449,78826180,16,C,20,,,
86940448,78826179,16,C,23,,,
86938090,78826175,29,C,20,,,
86938091,78826175,16,C,20,,,
86934185,78826176,51,C,20,,,
86939283,78826177,35,C,20,,,
86938092,78826178,35,C,20,,,
86942029,78826206,45,C,20,,,
86938098,78826207,23,C,8,,,
86939285,78826208,23,C,8,,,
86939286,78826209,5,C,29,,,
86940923,78826210,51,C,41,,,
86942030,78826211,47,C,20,,,
86942031,78826211,28,C,20,,,
86940457,78826213,14,C,20,,,
86939287,78826214,14,C,20,,,
86934192,78826215,14,C,20,,,
86940924,78826216,45,C,20,,,
86940925,78826216,28,C,20,,,
86942032,78826217,14,C,18,,,
86939288,78826218,23,C,24,,,
86942034,78826220,14,C,20,,,
86942035,78826220,5,C,20,,,
86940459,78826223,36,C,4,,,
86936230,78826226,45,C,24,,,
86940467,78826245,16,C,41,,,
86940468,78826245,35,C,41,,,
86940930,78826243,14,C,13,,,
86942040,78826244,14,C,13,,,
86936233,78826233,41,C,7,,,
86940927,78826238,5,C,20,,,
86940465,78826240,23,C,8,,,
86940466,78826240,35,C,8,,,
86940928,78826241,14,C,7,,,
86940929,78826241,28,C,7,,,
86936235,78826242,51,C,13,,,
86940456,78826212,45,C,20,,,
86939289,78826234,41,C,23,,,
86940920,78826195,23,C,8,,,
86940921,78826196,5,C,20,,,
86934190,78826197,23,C,43,,,
86936228,78826198,8,C,25,,,
86940922,78826199,23,C,8,,,
86940454,78826200,45,C,20,,,
86939284,78826201,23,C,8,,,
86934191,78826202,14,C,24,,,
86940455,78826203,5,C,13,,,
86938097,78826204,39,C,41,,,
86936229,78826205,23,C,8,,,
86934197,78826263,51,C,3,,,
86936240,78826264,23,C,8,,,
86942046,78826265,45,C,2,,,
86936238,78826256,23,C,24,,,
86938101,78826257,49,C,25,0,N,
86938102,78826258,2,A,20,,,
86942045,78826259,45,C,20,,,
86936239,78826260,45,C,12,,,
86934195,78826261,23,C,7,,,
86934196,78826262,49,C,20,0,N,
86942033,78826219,49,C,20,0,N,
86940926,78826221,49,C,4,0,N,
86940458,78826222,36,C,20,,,
86942036,78826224,21,C,20,,,
86940460,78826225,16,C,13,,,
86940461,78826225,35,C,13,,,
86942037,78826227,47,C,20,,,
86936231,78826228,23,C,5,,,
86940462,78826229,47,C,25,,,
86936232,78826230,45,C,7,,,
86942038,78826231,45,C,7,,,
86942039,78826232,14,C,20,,,
86940463,78826235,41,C,11,,,
86938099,78826236,45,C,24,,,
86940464,78826237,14,C,20,,,
86936234,78826239,14,C,13,,,
86934194,78826253,14,C,21,,,
86942042,78826254,45,C,25,,,
86942043,78826254,28,C,25,,,
86942044,78826255,13,C,46,,,
86938100,78826250,45,C,20,,,
86940450,78826181,23,C,7,,,
86940451,78826182,23,C,46,,,
86936225,78826183,47,C,20,,,
86940918,78826184,45,C,20,,,
86940452,78826185,35,C,20,,,
86938093,78826186,16,C,20,,,
86938094,78826186,35,C,20,,,
86938095,78826187,45,C,18,,,
86940453,78826188,51,C,20,,,
86936226,78826189,45,C,20,,,
86936227,78826189,28,C,20,,,
86942041,78826246,23,C,7,,,
86934193,78826247,2,C,30,,,
86940470,78826266,51,C,14,,,
86936241,78826267,47,C,20,,,
86934198,78826268,5,C,20,,,
86938103,78826269,45,C,20,,,
86940919,78826190,16,C,41,,,
86942028,78826191,7,C,20,,,
86938096,78826192,51,C,41,,,
86934186,78826193,51,C,20,,,
86934187,78826193,45,C,20,,,
86934188,78826193,5,C,20,,,
86934189,78826194,23,C,7,,,
86939290,78826248,49,C,20,0,F,
86936236,78826249,45,C,20,,,
86936237,78826251,23,C,7,,,
86940469,78826252,51,C,20,,,
86936282,78828326,45,C,20,,,
86936283,78828327,23,C,7,,,
86943848,78828328,51,C,20,,,
86936285,78828333,51,C,25,,,
86941708,78827344,5,C,20,,,
86938118,78827346,16,C,20,,,
86942813,78827347,49,A,20,0,N,
86940494,78827348,35,C,13,,,
86943840,78827349,45,C,20,,,
86943841,78827350,2,C,21,,,
86939310,78827351,5,C,18,,,
86936266,78827352,7,C,20,,,
86943842,78827353,51,C,20,,,
86938119,78827355,51,C,13,,,
86939311,78827356,51,C,3,,,
86943851,78828345,45,C,18,,,
86938124,78827400,16,C,20,,,
86938125,78827400,35,C,20,,,
86938126,78827401,43,C,20,,,
86942817,78827402,5,C,20,,,
86938127,78827403,45,C,20,,,
86938128,78827404,45,C,6,,,
86936281,78827405,45,C,20,,,
86940065,78827406,5,C,20,,,
86940066,78827407,5,C,5,,,
86936267,78827358,2,C,20,,,
86936268,78827359,45,C,20,,,
86936269,78827359,41,C,20,,,
86936270,78827360,45,C,18,,,
86941711,78827361,5,C,20,,,
86936271,78827362,21,C,20,,,
86936272,78827363,49,C,20,0,N,
86940495,78827364,51,C,20,,,
86940496,78827364,16,C,20,,,
86941712,78827365,51,C,46,,,
86936273,78827366,5,C,20,,,
86936274,78827367,45,C,20,,,
86940497,78827368,51,C,20,,,
86938120,78827369,5,C,4,,,
86942814,78827370,16,C,18,,,
86942815,78827370,35,C,18,,,
86936275,78827371,45,C,13,,,
86941713,78827373,45,C,20,,,
86943844,78827374,51,C,20,,,
86943845,78827375,5,C,38,,,
86942816,78827377,45,C,38,,,
86941714,78827378,16,C,20,,,
86941715,78827378,35,C,20,,,
86938121,78827379,45,C,13,,,
86936276,78827380,5,C,18,,,
86936277,78827381,35,C,20,,,
86940061,78827382,47,C,11,,,
86941716,78827383,45,C,20,,,
86936278,78827384,51,C,20,,,
86938122,78827385,5,C,4,,,
86943846,78827386,45,C,3,,,
86938123,78827387,49,C,20,0,N,
86940062,78827388,16,C,13,,,
86940063,78827388,35,C,13,,,
86940500,78827389,2,C,20,,,
86936279,78827390,47,C,20,,,
86940501,78827392,27,C,20,,,
86940502,78827392,51,C,20,,,
86940503,78827392,35,C,20,,,
86940064,78827393,3,C,20,,,
86940504,78827394,5,C,20,,,
86940505,78827395,49,C,20,0,N,
86943847,78827397,2,A,20,,,
86940507,78827398,5,C,13,,,
86936280,78827399,51,C,20,,,
86942818,78828329,27,C,20,,,
86936284,78828330,5,C,18,,,
86942819,78828331,40,C,14,,,
86942820,78828331,49,C,14,1,F,
86942821,78828331,28,C,14,,,
86943849,78828332,5,C,18,,,
86942822,78828334,5,C,18,,,
86941720,78828335,49,C,20,0,N,
86940508,78828336,5,C,13,,,
86943850,78828337,51,C,20,,,
86938129,78828338,27,C,13,,,
86936286,78828339,51,C,38,,,
86938130,78828340,5,C,5,,,
86936287,78828341,45,C,24,,,
86938131,78828342,30,C,13,,,
86941721,78828343,51,C,20,,,
86938132,78828344,51,C,20,,,
86936288,78828346,51,C,42,,,
86938133,78828348,45,C,20,,,
86943852,78828349,14,C,13,,,
86942823,78828350,45,C,42,,,
86940067,78828351,51,C,25,,,
86940068,78828352,51,C,20,,,
86942824,78828353,51,C,20,,,
86936290,78828354,45,C,20,,,
86940509,78828355,46,C,20,,,
86941722,78828356,45,C,25,,,
86941723,78828356,11,C,25,,,
86941724,78828356,41,C,25,,,
86940510,78828357,16,C,38,,,
86940511,78828357,35,C,38,,,
86938134,78828358,51,C,20,,,
86941725,78828359,51,C,20,,,
86942825,78828360,5,C,20,,,
86940512,78828361,21,C,20,,,
86940513,78828362,45,C,41,,,
86942826,78828363,36,C,20,,,
86941726,78828364,2,C,21,,,
86940514,78828365,56,C,20,,,
86941727,78828366,51,C,13,,,
86941728,78828367,47,C,20,,,
86938135,78828368,5,C,20,,,
86942827,78828369,51,C,21,,,
86936291,78828370,35,C,20,,,
86936292,78828371,51,C,25,,,
86940515,78828372,2,C,20,,,
86940516,78828372,28,C,20,,,
86938136,78828373,44,C,20,,,
86936293,78828374,5,C,38,,,
86938137,78828375,5,C,13,,,
86942828,78828376,41,C,25,,,
86940517,78828377,45,C,20,,,
86938138,78828378,14,C,20,,,
86940069,78828379,5,C,36,,,
86940518,78828380,45,C,20,,,
86940519,78828381,5,C,20,,,
86936294,78828382,45,C,7,,,
86942835,78828418,5,C,20,,,
86949694,78829613,51,C,18,,,
93613127,85621063,23,C,46,,,
90678207,83068596,35,C,20,,,
90678206,83068596,16,C,20,,,
86943855,78828431,46,C,11,,,
86937066,78828467,5,C,20,,,
86942847,78828468,5,C,20,,,
86940125,78830586,47,C,20,,,
86950441,78830587,45,C,20,,,
86949256,78830588,49,C,24,0,N,
86949257,78830588,5,C,24,,,
86943907,78830589,49,C,20,0,N,
86942878,78830590,51,C,7,,,
86943908,78830592,45,C,20,,,
86942879,78830594,21,C,20,,,
86945027,78830596,51,C,20,,,
86945028,78830597,49,C,20,0,N,
86942880,78830598,49,C,20,0,N,
86945029,78830599,45,C,20,,,
86940126,78830600,51,C,7,,,
86938941,78830601,2,C,18,,,
86940127,78830603,14,C,13,,,
86943909,78830604,51,C,20,,,
86950443,78830606,5,C,13,,,
86943910,78830607,51,C,20,,,
86942881,78830608,44,C,25,,,
86938942,78830609,45,C,20,,,
86938943,78830610,45,C,20,,,
86938944,78830610,5,C,20,,,
86942882,78830611,45,A,18,,,
86950444,78830612,49,C,20,0,N,
86942883,78830613,14,C,18,,,
86945031,78830614,14,C,20,,,
86938945,78830615,41,C,20,,,
86949259,78830616,21,C,20,,,
86940128,78830617,45,C,20,,,
86943911,78830618,5,C,20,,,
86945032,78830619,45,C,20,,,
86938946,78830620,47,C,20,,,
86950445,78830622,51,C,20,,,
86940129,78830623,45,C,20,,,
86938948,78830624,5,C,20,,,
86949260,78830625,44,C,20,,,
86949261,78830626,51,C,13,,,
86938949,78830627,46,C,20,,,
86938950,78830628,14,C,20,,,
86950446,78830629,2,C,25,,,
86940130,78830631,49,C,20,0,N,
86945033,78830633,16,C,13,,,
86945034,78830633,35,C,13,,,
86943912,78830634,47,C,20,,,
86940131,78830635,47,C,20,,,
86940132,78830636,11,C,21,,,
86940133,78830636,2,A,21,,,
86945035,78830637,45,C,12,,,
86945036,78830637,41,C,12,,,
86945037,78830637,46,C,12,,,
86945038,78830639,11,C,20,,,
86945039,78830639,2,C,20,,,
86945040,78830644,45,C,20,,,
86938952,78830645,45,C,20,,,
86942884,78830646,2,C,25,,,
95177264,87004570,45,C,20,,,
91124969,83457471,35,C,20,,,
93613149,85621075,45,C,20,,,
86949221,78829449,41,C,2,,,
86942854,78829450,49,A,20,0,N,
86949668,78829451,5,C,20,,,
86949222,78829452,47,C,20,,,
86940088,78829453,35,C,13,,,
86943869,78829456,39,C,24,,,
86940091,78829457,8,C,20,,,
86943870,78829458,51,C,20,,,
86942855,78829459,45,C,20,,,
86937078,78829460,44,C,13,,,
86942857,78829463,51,C,20,,,
92508069,84662888,49,C,20,,N,
86940083,78828506,51,C,20,,,
86949663,78828507,51,C,18,,,
86949664,78828507,35,C,18,,,
86942853,78828508,14,C,20,,,
86949218,78828509,47,C,20,,,
86949219,78828510,45,C,20,,,
86943863,78828511,16,C,20,,,
86943864,78828511,35,C,20,,,
86940084,78828512,45,C,38,,,
86949665,78828513,5,C,13,,,
86940085,78828514,5,C,20,,,
86937076,78828515,49,C,25,0,N,
86943913,78830641,5,C,18,,,
86943865,78829439,2,C,20,,,
86940086,78829440,49,C,18,0,N,
86937077,78829441,5,C,13,,,
86949666,78829442,49,C,20,0,N,
86949220,78829443,45,C,20,,,
86943866,78829444,5,C,20,,,
86940087,78829445,45,C,20,,,
86943867,78829446,2,C,24,,,
86943871,78829464,45,C,20,,,
86938154,78829465,49,C,20,0,N,
86949669,78829466,3,C,20,,,
86940092,78829467,40,C,13,,,
86938155,78829468,41,C,20,,,
86943872,78829470,51,C,20,,,
86949224,78829471,51,C,20,,,
86943873,78829472,51,C,20,,,
86949670,78829473,51,C,18,,,
86949671,78829474,2,C,20,,,
86937080,78829475,5,C,20,,,
86949225,78829476,5,C,5,,,
86937081,78829477,49,A,20,0,F,
86942858,78829478,41,C,20,,,
86938156,78829479,47,C,20,,,
