suspect_using_id,offense_id
4,86945916
4,86950547
4,86950548
4,86950121
4,86950366
4,86954342
4,86950550
4,86950367
4,86950368
4,86951544
4,86951545
4,86950365
4,86954341
4,86945915
4,86950119
4,86950120
4,86954343
4,86954344
4,86950546
4,86951542
4,86954424
4,86951543
4,86954427
4,86954426
4,86950118
4,86954425
4,86950549
4,86950117
4,86950363
4,86950364
4,86950545
4,86951548
4,86951549
4,86950122
4,86951550
4,86950552
4,86950123
4,86954345
4,86954346
4,86950369
4,86950124
4,86954350
4,86950126
4,86945927
4,86950376
4,86945928
4,86945929
4,86951553
4,86950127
4,86954433
4,86954434
4,86954351
4,86954356
4,86950381
4,86958125
4,86958126
4,86950382
4,86954440
4,86945943
4,86954358
4,86951561
4,86950383
4,86951326
4,86950553
3,86945922
3,86945923
4,86954430
4,86950555
4,86950556
4,86954431
4,86945924
4,86950128
4,86954435
4,86951554
4,86950129
4,86950380
4,86945940
4,86958123
4,86945941
4,86951560
4,86951324
4,86958124
4,86945942
4,86958127
4,86951323
4,86950559
4,86950377
4,86945933
4,86951557
4,86958112
4,86958113
4,86958114
4,86945934
4,86954438
4,86954439
4,86954441
4,86951325
4,86950378
4,86954353
3,86958115
3,86958116
4,86958118
4,86958119
4,86951551
4,86950370
3,86950371
4,86945925
3,86954347
3,86954348
4,86954349
4,86950557
4,86951555
4,86954352
4,86945926
4,86951552
4,86950372
4,86950373
4,86954432
4,86950125
4,86950374
1,86950558
4,86950375
4,86954436
3,86945930
3,86945931
4,86950130
4,86945932
4,86950131
4,86951556
4,86954437
4,86958121
4,86954357
4,86958117
4,86951558
4,86950560
4,86945935
4,86951321
4,86958120
4,86950379
4,86958122
4,86945936
4,86951559
3,86945937
4,86954354
4,86954355
3,86945938
3,86945939
3,86951322
4,86951546
4,86945917
4,86950551
4,86954428
3,86945918
3,86945919
4,86951547
1,86945920
1,86945921
4,86954429
4,86950554
3,86896781
4,86902369
4,86896861
4,86895847
3,86901637
4,86902370
4,86896783
4,86896863
4,86898245
4,86896864
4,86896609
4,86896610
4,86896862
4,86896782
4,86898243
4,86898247
4,86893050
4,86898248
4,86893049
4,86898244
4,86895848
4,86898242
4,86896860
4,86901638
4,86896784
4,86898246
4,86898249
4,86896785
4,86896865
4,86896788
4,86896869
4,86896870
4,86902373
4,86893057
4,86896871
4,86896872
4,86896873
4,86896789
4,86898250
4,86896795
4,86896796
4,86898252
4,86898253
4,86901644
4,86896797
4,86893061
4,86896615
4,86901645
4,86902377
4,86896798
4,86902378
4,86893051
4,86896611
4,86896612
4,86902371
4,86902372
4,86893052
4,86893053
4,86896786
4,86896866
4,86893054
4,86896787
4,86893055
4,86893056
4,86896867
4,86896868
4,86893059
4,86896614
4,86896877
4,86896878
