victim_id,offender_id,relationship_id,nibrs_victim_offender_id
85874499,88802905,15,26946576
85874499,88802904,15,25723185
85874499,88802906,15,27170077
85885323,88813861,1,25721249
85877668,88804935,24,25644762
85874497,88802905,15,26946578
85874497,88802904,15,25723187
85874497,88802906,15,27170078
85879898,88808392,3,26607115
91527919,94571279,3,27648073
85874498,88802905,15,26946577
85874498,88802904,15,25723186
85874434,88802842,16,26650841
85878771,88806641,26,25876781
85876714,88804879,19,26607086
85877759,88806528,16,26650881
85878855,88806733,1,26938424
85878855,88806732,1,26028699
85877683,88806463,17,26650866
85878834,88806712,9,25683030
85868014,88795674,5,25686785
85884093,88811997,16,25684828
85864772,88793587,24,25834292
85870196,88799127,3,25962032
85862668,88790184,3,25991326
85891778,88819500,16,26627815
85862686,88791752,1,25834278
85891769,88819488,3,25958593
85862691,88791758,24,26966709
85862691,88791757,24,25834280
85891791,88819515,6,26627818
85862692,88791758,24,26966708
85862692,88791757,24,25834279
85891787,88819510,1,26627817
85857392,88786291,18,27133683
85857392,88786290,18,26648584
85891794,88819517,3,26627819
85870274,88799189,3,26630078
85891765,88819484,16,25958592
85862678,88791745,17,25834277
85870270,88799185,14,26630076
85852060,88780827,5,25958439
85891770,88819490,15,26990727
85891770,88819489,4,25958594
85891754,88819473,15,25958588
85891759,88819478,3,25958590
85870272,88799187,5,26630077
85852058,88780825,4,25958438
85860552,88788326,1,25894604
85860577,88789909,1,26648633
85891760,88819479,1,25958591
85891780,88819502,1,26627816
85891756,88819475,16,25958589
85862677,88791744,24,25834276
91957146,95006282,1,27779484
91957853,95006282,1,27779483
85870139,88797520,15,25686811
85887404,88815694,24,25721279
85875500,88803021,24,25644752
85883071,88810348,24,25832718
85872412,88801077,17,25723158
85872401,88801064,3,26630112
85891814,88821089,1,26958709
85891814,88821088,1,25793730
85867975,88795633,3,26608257
85864744,88792006,3,26608238
85890635,88819278,1,25723287
85890615,88819256,16,26952682
85890615,88819255,18,25757489
85872404,88801066,3,26630113
85891813,88821089,1,26958710
85891813,88821088,1,25793731
85890633,88819276,3,25757493
85891803,88819525,1,26627820
85864778,88793593,24,25834295
85890654,88819293,26,25723295
85862743,88791810,1,26966710
85862743,88791809,1,25937275
