agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
17622,SC016FC00,SC016FC00,Forestry Commission: Darlington County,Forestry Commission: Darlington County,6,Other State Agency,,,,,45,SC,2422,Darlington,45031,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,2004,,2016,2013,2015,0,9D,"MSA counties under 10,000",L,Y,N,12,12,7,,,,2016,2,0,29221,34.332185,-79.962115
23242,SC0260900,SC0260900,15th Circuit Drug Enforcement Unit,15th Circuit Drug Enforcement Unit,5,Other,,,,,45,SC,2432,Horry,45051,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,2013,,2016,2013,,0,7,"Cities under 2,500",L,Y,N,12,12,4,,,,2016,3,1,     ,33.909269,-78.976675
17808,SC032FC00,SC032FC00,Forestry Commission: Lexington County,Forestry Commission: Lexington County,6,Other State Agency,,,,,45,SC,2438,Lexington,45063,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,2004,,2016,2013,2015,0,9D,"MSA counties under 10,000",L,Y,N,12,12,7,,,,2016,4,0,29221,33.892556,-81.272851
17546,SC009SP00,SC009SP00,Highway Patrol: Calhoun County,Highway Patrol: Calhoun County,4,State Police,,,,,45,SC,2415,Calhoun,45017,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2015,0,9D,"MSA counties under 10,000",L,Y,N,12,12,8,,,,2016,10,0,29135,33.67478,-80.780347
17846,SC036NR00,SC036NR00,Department of Natural Resources: Newberry County,Department of Natural Resources: Newberry County,6,Other State Agency,,,,,45,SC,2442,Newberry,45071,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1999,,2016,2013,2014,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,7,,,,2016,4,0,29201,34.28973,-81.600053
17454,SC0020100,SC0020100,Aiken Police Department,Aiken,1,City,,,9638,Aiken,45,SC,2408,Aiken,45003,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1991,30415,4,"Cities from 25,000 thru 49,999",L,Y,N,12,12,10,,,,2016,86,28,29801,33.550013,-81.632983
17976,SC0460400,SC0460400,York Police Department,York,1,City,,,9848,York,45,SC,2452,York,45091,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1991,8107,6,"Cities from 2,500 thru 9,999",L,Y,N,12,12,10,,,,2016,32,7,29745,34.97019,-81.183188
17956,SC0442600,SC0442600,State Transport Police: Union County,State Transport Police: Union County,6,Other State Agency,,,,,45,SC,2450,Union,45087,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1998,,2016,2013,2015,0,9D,"MSA counties under 10,000",L,Y,N,12,12,7,,,,2001,3,0,29016,34.690429,-81.615891
17509,SC0060200,SC0060200,Williston Police Department,Williston,1,City,,,9844,Williston,45,SC,2412,Barnwell,45011,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1996,3033,6,"Cities from 2,500 thru 9,999",L,N,N,12,12,10,,,,2016,10,1,29853,33.260602,-81.434102
17883,SC0390500,SC0390500,Pickens Police Department,Pickens,1,City,,,9792,Pickens,45,SC,2445,Pickens,45077,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1971,,2016,2013,1991,3155,6,"Cities from 2,500 thru 9,999",L,Y,N,12,12,10,,,,2016,13,0,29671,34.88538,-82.723376
