victim_id,offender_id,relationship_id,nibrs_victim_offender_id
92252306,95302521,15,27858569
92252306,95302514,15,27858568
92250936,95302070,1,27858439
92253811,95304086,17,27858718
92251917,95302145,3,27857530
92252143,95302379,1,27858523
92252315,95302533,3,27858571
92251752,95300983,16,27857414
92252081,95302331,3,27858508
92252221,95302458,3,27858544
92252223,95302458,1,27858545
92252333,95302547,16,27858578
92252333,95302548,25,27857686
92252332,95302548,16,27858577
92252332,95302547,25,27858576
92250566,95300791,1,27857350
92253895,95304171,1,27858753
92741601,95794577,17,28004789
92253794,95304061,21,27858713
92253983,95304266,19,27858777
92251719,95300944,1,27857495
92251719,95301932,3,27857408
92251719,95301930,1,27857407
92253909,95304183,19,27858757
92741396,95794204,1,28004422
93800480,96875782,1,28344414
93800484,96875782,1,28344415
93261065,96325991,24,28170461
93261063,96325991,1,28170460
92741863,95795153,3,28005438
92742391,95795469,15,28004851
92742617,95796068,3,28004923
92741315,95794133,1,28004596
92741737,95794189,1,28004634
92741918,95794354,16,28004701
92741918,95794356,3,28004702
92741914,95794356,16,28004699
92741914,95794354,3,28004698
92742203,95794648,1,28004800
92742202,95794648,1,28005490
92742660,95795332,5,28005492
92741854,95794303,16,28004678
92742320,95794775,21,28005511
92742320,95794774,16,28004829
92742323,95794775,16,28004831
92742323,95794774,21,28004830
92742934,95796053,16,28005587
92742026,95794482,3,28004733
93260733,96325660,18,28169347
92741474,95795151,3,28005439
92742712,95795372,16,28005502
92742714,95795372,16,28005503
92741494,95794349,9,28004694
92743757,95795734,16,28004973
92741984,95794432,16,28005460
92742255,95794709,16,28004815
92742254,95794709,16,28005500
92742708,95794709,16,28004813
93260905,96326685,1,28169566
92741711,95794175,1,28004614
92741711,95794177,1,28004615
92742563,95795585,1,28004915
92742562,95795585,1,28004914
92743753,95796193,1,28004971
92743753,95795730,1,28004972
93260782,96326547,16,28169525
92743668,95796107,1,28005594
92743668,95795656,1,28005595
93260028,96326264,16,28169280
93260028,96325456,16,28169426
93260026,96325456,16,28169278
93260026,96326264,16,28169277
92741551,95794466,1,28004732
92743023,95796194,8,28004970
92743029,95796196,1,28005611
92743029,95796195,1,28005610
92743029,95796200,1,28005615
92743029,95796198,1,28005613
92743029,95796201,1,28005616
92743029,95796199,1,28005614
92743029,95796197,1,28005612
92741272,95794051,19,28004370
92740579,95793042,1,28004566
92740579,95793041,21,28004369
92740618,95793042,21,28004381
92740618,95793041,1,28004379
92740565,95793926,3,28004562
92741802,95794260,16,28005437
92741802,95794259,16,28004655
92742967,95796114,1,28005596
92741343,95794153,14,28004604
92742341,95795427,1,28004835
92742343,95795427,1,28004837
92742599,95796050,1,28004920
92743710,95796155,21,28004961
92742782,95794824,1,28005526
92742780,95795460,16,28005524
93260151,96326381,16,28169468
93261215,96327018,21,28169684
92741981,95794434,1,28004723
93261623,96327572,1,28170611
92742933,95795619,1,28005586
95687396,98788981,1,28930221
100764934,103936873,3,30480305
100764331,103936873,5,30480306
93260781,96326546,3,28169362
93261462,96328313,3,28170564
93260738,96326513,18,28169348
93260534,96325921,3,28170445
93261513,96327447,16,28170580
93261590,96328516,21,28169810
93260594,96326001,21,28169643
93261151,96327074,3,28170486
93261946,96328225,1,28169744
93261020,96325946,16,28170451
93261186,96326975,3,28170496
93261186,96326976,1,28170497
93262681,96327644,19,28170630
93262946,96327892,1,28169942
93261686,96326955,21,28169670
93261019,96326808,16,28169622
93262045,96328328,3,28169767
93262363,96327654,1,28169861
93262410,96327692,21,28170649
93260021,96326262,1,28169425
93261420,96327339,18,28170552
93260408,96326661,3,28169557
93261321,96328157,16,28169722
93260351,96326593,3,28169542
93262874,96328811,3,28170717
94100520,97177619,24,28435497
93798031,96873326,18,28343977
93797816,96873115,18,28343897
93261099,96326015,19,28170473
93260440,96325835,1,28169567
93261300,96328110,16,28170539
93262288,96328570,15,28169825
93798617,96873917,1,28344157
93261339,96328171,3,28169725
93262029,96328316,21,28169762
93262029,96328317,25,28169763
93262032,96328317,21,28170565
93262032,96328316,25,28169764
93260933,96325871,17,28169580
93260525,96325913,3,28169610
93262940,96327891,3,28170736
93261107,96326894,3,28170475
93261153,96327076,1,28170488
93262340,96328606,24,28169845
93262904,96327862,21,28170725
93262909,96327865,1,28170727
93260737,96325663,21,28169516
93261129,96326044,21,28170481
93262858,96328799,1,28169915
93261665,96327070,24,28169668
93262183,96328464,3,28169798
93262209,96327509,3,28169805
93262116,96328388,16,28169779
93262116,96327441,16,28169780
93261974,96328250,5,28169750
93262314,96328590,5,28169835
93262317,96328590,21,28169836
93261870,96328140,17,28169721
93262064,96328348,17,28169771
94102041,97179108,15,28435414
93261773,96327042,1,28169696
93262409,96327694,1,28170648
93262281,96328555,3,28169822
93262547,96328818,24,28169923
93262546,96328818,24,28169922
93261110,96326898,3,28170476
93261834,96328102,3,28169709
93260325,96326567,15,28169529
93262414,96328675,3,28169889
95685047,98786510,1,28929750
100761953,103934443,24,30479810
93796582,96871868,3,28343811
93796582,96871870,16,28343812
93796586,96871870,3,28343815
93796586,96871868,16,28343813
93798270,96873557,17,28344063
93798324,96872925,24,28344072
93799945,96875247,14,28344246
93796562,96872256,1,28343799
93796565,96872256,15,28343802
93798436,96873744,16,28344099
93800036,96875330,24,28344265
93800097,96875390,21,28344291
93800574,96875857,14,28345427
93800577,96875857,16,28345430
93800576,96875857,14,28345429
93798272,96873560,17,28344064
93796498,96871791,16,28343781
93798118,96873414,1,28344006
93800621,96875899,3,28345441
94100941,97176954,17,28435188
93800632,96875912,17,28345442
93798627,96873926,1,28344158
93797926,96873218,16,28343942
93800439,96875734,3,28344397
93798489,96874111,15,28344116
93797688,96871972,24,28343850
93800420,96875724,1,28344389
93796289,96871607,1,28343722
93798736,96872957,16,28343209
93801109,96876295,24,28344619
94100940,97176951,21,28435187
94102485,97180143,18,28435834
94102485,97179547,24,28435833
93800149,96875443,5,28344315
93800148,96875443,21,28344314
93798564,96873858,1,28344138
93798564,96874227,1,28344136
93798564,96873857,1,28344137
93797423,96872647,16,28343107
93797467,96873399,3,28343119
93801358,96876573,18,28344699
93801356,96876573,18,28344698
93797357,96872582,18,28343086
93798817,96873701,15,28343230
93798816,96873701,21,28344091
93799236,96874466,16,28343323
93800763,96874957,3,28344487
93800764,96874958,21,28344488
93796532,96871830,3,28343792
93797287,96873164,3,28343057
93799843,96875149,18,28344211
93799578,96874792,15,28344430
93801348,96876567,16,28344683
93801348,96876565,24,28344681
93801350,96876565,16,28344686
93801350,96876567,24,28344689
94102301,97179368,21,28436539
93800146,96875442,16,28344310
93800146,96875441,16,28344309
93800146,96875440,16,28344308
93800147,96875442,16,28344313
93800147,96875440,16,28344311
93800147,96875441,16,28344312
93800145,96875442,16,28344307
93800145,96875440,16,28344305
93800145,96875441,16,28344306
93800144,96875441,16,28344303
93800144,96875440,16,28344302
93800144,96875442,16,28344304
100762018,103934499,24,30480779
100762018,103934497,24,30479827
100762018,103934496,18,30479826
100762018,103934498,24,30480778
100762786,103934497,1,30479824
100762786,103934496,18,30479823
100762786,103934499,1,30480776
100762786,103934498,1,30479825
94101052,97178060,16,28435511
94103090,97180156,1,28436598
94102968,97179431,1,28436560
94100528,97177024,16,28435500
94102152,97179211,1,28435725
94103213,97179669,19,28436641
94102616,97179669,17,28435877
94101205,97177822,3,28435570
94101840,97177921,1,28435317
94102104,97179168,21,28435710
94100503,97176981,3,28435491
94102688,97178735,3,28436459
94102618,97179670,16,28435879
94102618,97179671,16,28435880
94102617,97179670,16,28435876
94102617,97179671,16,28435878
94101993,97179059,1,28435674
94103079,97180141,21,28435828
94103226,97180286,16,28436645
94103227,97180286,16,28436646
94100938,97176949,3,28435186
94101241,97177863,4,28435585
94102143,97178750,4,28436464
94101492,97178527,5,28435377
94102912,97179377,3,28435780
94102785,97179274,15,28436495
94102443,97179520,17,28435816
94103231,97180291,21,28436648
94102879,97178938,1,28436521
94102609,97179658,16,28435872
94102609,97179659,3,28435873
94102612,97179658,3,28435874
94102612,97179659,16,28435875
94101226,97177845,3,28435290
94100515,97176994,21,28435199
94102233,97179300,1,28435750
94101327,97178372,1,28435324
94101346,97178382,3,28435331
94102511,97180175,11,28436604
94102432,97179498,19,28435815
94102571,97179615,1,28435858
94101938,97178010,15,28435649
94101938,97178514,19,28435647
94102592,97179641,1,28436631
94102550,97179603,3,28435851
94101856,97178367,1,28435606
94101189,97177806,3,28435562
94100586,97178067,3,28435515
94102509,97179566,17,28435841
95683529,98784959,1,28929597
95683531,98784959,1,28928855
95684824,98786268,24,28929686
95684143,98784952,16,28929596
95688365,98790384,5,28931439
102070125,105265562,21,30907378
102135403,105333698,15,30927915
102135403,105333696,1,30928638
102135403,105334385,1,30928637
102136227,105333698,15,30928636
102136227,105333696,1,30928635
102136227,105334385,1,30928634
102069999,105265421,9,30907334
100763037,103935236,1,30479960
95684681,98786123,3,28929653
95686567,98788645,6,28929312
95686573,98788645,5,28929318
95686569,98788645,13,28929315
95686571,98788645,5,28929317
95686570,98788645,13,28929316
95685640,98787179,18,28929961
95685640,98788168,18,28929962
95683649,98786095,15,28928891
95684258,98786095,9,28929640
95685538,98787034,18,28929923
95684981,98786423,1,28929729
95684981,98786425,1,28929730
95684981,98786427,1,28929732
95686540,98788619,24,28930079
95684706,98785324,16,28928896
95684706,98786147,16,28928895
95684703,98786147,16,28929658
95684703,98785324,16,28929659
95685533,98787029,16,28929922
95684847,98786295,1,28929692
95684528,98785576,26,28929758
95686658,98788198,21,28929970
95686943,98788502,5,28930044
95685987,98786036,5,28929136
95685122,98786590,1,28929788
95685440,98786925,16,28929890
95685240,98786713,16,28929831
95686127,98788130,1,28929183
95686127,98788131,1,28929184
95685612,98788131,4,28929954
95685612,98788130,3,28929953
95684333,98785366,3,28928904
95684669,98786112,1,28929648
95684885,98786339,16,28929702
95685020,98786474,24,28929747
95685740,98785788,3,28929054
95685969,98786012,1,28929131
95684629,98785680,15,28929008
95686193,98787208,1,28929196
95685821,98785868,3,28929081
95685506,98786999,18,28929916
95684281,98786148,1,28928893
95686746,98787288,16,28929990
95686746,98788291,16,28929234
95683618,98786050,1,28929624
95685212,98785700,3,28929818
95685212,98785698,18,28929817
95685735,98785782,1,28929051
97150898,100283266,1,29378442
97150898,100283267,1,29378444
95684176,98785001,3,28929611
95684176,98785004,16,28928867
95684614,98786645,1,28929004
95684614,98785663,25,28929002
95685182,98786645,25,28929811
95685182,98785663,1,28929810
95686772,98788318,14,28929996
95685233,98786705,1,28929030
102069360,105266066,1,30907823
95687463,98789058,1,28930250
95687593,98789188,16,28930283
95688719,98789316,18,28930334
95688881,98789468,1,28930532
95687552,98788015,14,28930452
95687866,98789036,17,28930245
95687324,98788909,15,28930188
95687439,98789028,24,28930242
95687159,98788719,16,28930113
95687159,98788715,16,28929334
95688906,98789495,1,28930403
95687832,98789000,13,28930233
95687618,98789215,16,28930471
95688810,98789398,3,28930359
95688902,98789490,15,28930400
95686949,98788507,1,28930047
95687172,98788731,1,28930115
95687175,98788731,3,28930116
95687382,98788961,1,28930211
95687383,98788961,24,28930213
95688358,98789586,18,28930553
95688696,98789295,1,28930321
95688291,98790312,16,28930540
95686999,98787509,16,28930066
95686998,98787509,19,28930065
95687236,98788823,18,28930152
95687490,98789080,3,28930255
95688008,98789141,1,28930267
95689002,98790389,18,28931441
95688398,98789632,3,28931447
95687740,98788871,21,28930171
95688898,98790308,3,28930398
95687305,98788894,16,28930185
95687573,98789168,3,28930276
95688962,98789542,21,28930422
97149893,100281364,16,29377246
95688778,98789366,3,28930352
97149950,100282404,3,29377265
97149081,100281439,1,29377892
97149081,100281440,1,29377893
97149081,100282420,1,29377891
97149015,100281365,1,29377866
100762142,103934634,3,30479892
100762138,103935073,21,30479885
102135063,105333356,1,30927799
97149463,100281787,16,29377987
97149458,100281787,16,29377985
97149454,100281787,16,29377981
97149459,100281787,16,29377986
97151773,100284251,1,29378511
97150488,100282966,1,29378430
97151723,100284204,19,29378497
97149168,100281522,18,29377922
97149563,100281905,3,29378024
97150100,100282564,5,29377303
97150841,100283206,17,29378089
97149495,100282776,5,29378004
97149295,100281628,1,29377947
97151391,100283778,18,29378601
97149101,100282445,21,29377898
97149373,100281711,18,29377967
97149467,100281792,16,29377988
97149467,100281795,16,29377989
97149356,100281697,1,29377965
97149455,100281796,24,29377982
97151285,100284435,1,29378189
97152069,100284493,1,29378593
97152069,100284494,1,29378594
97152068,100284494,1,29378219
97152068,100284493,1,29378206
97151135,100283488,3,29378149
97149997,100282462,3,29377274
97149326,100281660,15,29377953
97150357,100282859,21,29377394
97150357,100282861,1,29377395
97149593,100282859,1,29377396
97149593,100282861,21,29378031
97150271,100281828,25,29377360
97150271,100281826,15,29378003
97149493,100281826,25,29378000
97149493,100281828,15,29378001
97150177,100281662,1,29377321
97149016,100281367,1,29377867
97149247,100282582,1,29377307
97150108,100282582,3,29377305
97149117,100281472,24,29377902
97149892,100282347,17,29377244
101376902,104555674,1,30673096
101377117,104555908,1,30673153
101377117,104555906,1,30673152
101376598,104554713,1,30672097
101373045,104551809,1,30672434
101373819,104550944,15,30671499
101373112,104550944,15,30672452
101376534,104555631,17,30672085
101378086,104557241,17,30672247
101377938,104557074,1,30672188
101377996,104556184,3,30672220
101378092,104557249,21,30672250
101377417,104556194,1,30673251
101377417,104556193,1,30673250
101377417,104556192,15,30673249
101376899,104555669,3,30673095
101377112,104555905,16,30673151
101378392,104557583,3,30672338
101378665,104556432,15,30673329
101378668,104556432,15,30672288
101377633,104556400,16,30673314
101378696,104557436,16,30673340
101377635,104556401,16,30673315
101377615,104556379,7,30673310
101378129,104557281,4,30672261
101378129,104557280,5,30672260
101378132,104557280,5,30672262
101378132,104557281,4,30672263
101374346,104552474,1,30671654
101377568,104557318,3,30673290
101378285,104557471,3,30672304
101378287,104557471,16,30672305
101377677,104554795,16,30673122
101378349,104556578,1,30672322
101378924,104556671,1,30672351
101377674,104554794,9,30672112
101377674,104554792,16,30672111
101377675,104554794,16,30672114
101377675,104554792,9,30672113
101377994,104556181,16,30672218
101377994,104557139,16,30672219
101377993,104556181,16,30672216
101377993,104557139,16,30672217
101378356,104557540,5,30672328
101378168,104557330,21,30672270
101378174,104557339,15,30672272
101377276,104555014,1,30673202
101377276,104555013,16,30673200
101377311,104557072,1,30672187
101378273,104556461,15,30672303
101378166,104557327,3,30672268
90790462,93819689,16,27409548
90790582,93819814,3,27409591
90790471,93819698,16,27409399
90790822,93819698,16,27409400
90790461,93819691,21,27409549
90790912,93820318,15,27409584
90790847,93819716,1,27409406
90791018,93820416,3,27410469
90790984,93820386,3,27410457
90790820,93820232,3,27409398
90790573,93820339,4,27410439
90790843,93820250,3,27409404
90790490,93820250,4,27409558
90790919,93819788,3,27410433
90790574,93819803,4,27409587
90790907,93820311,16,27410430
90790972,93819837,18,27409602
90790940,93820341,3,27409588
90790947,93819823,19,27410445
90790947,93819820,19,27410444
90790967,93819834,16,27410453
90790533,93819761,1,27409579
90790998,93819862,3,27409608
90790998,93819857,19,27410462
90790998,93820393,19,27410463
90790998,93820394,5,27409607
90790626,93819857,19,27409603
90790626,93819862,1,27409606
90790626,93820393,19,27409604
90790626,93820394,5,27409605
90790459,93819690,21,27409394
90790489,93820249,21,27409557
90790909,93820314,16,27410431
90790945,93819818,3,27410442
90790463,93820226,16,27409550
90790463,93819688,16,27409551
90790460,93820226,21,27409547
90790460,93819688,16,27409395
90790973,93819839,3,27410454
91367386,94410342,21,27597627
91367388,94410342,20,27597628
91366556,94409940,1,27596822
91366556,94409943,1,27596825
91366556,94409939,1,27596821
91366556,94409942,1,27596823
91366559,94409940,1,27596828
91366559,94409939,1,27596826
91366559,94409943,1,27596830
91366559,94409942,1,27596829
91367669,94411099,14,27596862
91366218,94409609,21,27596716
91366232,94408909,3,27597510
91367115,94409814,24,27596778
91366602,94410025,21,27596846
91366838,94408799,18,27597476
91367370,94411080,1,27597619
91367370,94410331,1,27597618
91367374,94410331,1,27597620
91367374,94411080,1,27597621
91367078,94410053,18,27596760
91367200,94409890,18,27597573
91366919,94409586,18,27596700
91366174,94409586,18,27596699
91366299,94409691,1,27596747
91366299,94408983,1,27596746
91366113,94409525,15,27596689
91367759,94411189,16,27596901
91367759,94411188,16,27596900
91367759,94411187,18,27596899
91366894,94409547,13,27597499
91366416,94409821,5,27596781
91366441,94410131,16,27596788
91366126,94408843,16,27597497
91366127,94408843,16,27597498
91366558,94409950,5,27596827
91366464,94410148,3,27596794
91367701,94411129,21,27596882
91366517,94410201,18,27597578
91367452,94411211,21,27597655
91367085,94410064,1,27596767
91366049,94408788,16,27597472
91366131,94409544,16,27596693
91366619,94410044,16,27596852
92248127,95298370,16,27856911
92246785,95296956,17,27856831
92247402,95298608,21,27856125
92248093,95298326,1,27856902
92248192,95298430,21,27856936
92247218,95298417,1,27856081
92247035,95298219,16,27856021
92247103,95299205,3,27856050
92248038,95299166,21,27856025
92247687,95296899,3,27856805
92248342,95298577,1,27856975
92247224,95299325,3,27856084
92247929,95299075,5,27856009
92247763,95296968,4,27856832
92247842,95298053,24,27856850
92248229,95298469,24,27856948
92248184,95299333,16,27856085
92248196,95298436,1,27856937
92248201,95298443,1,27856939
92247686,95296900,13,27856804
92248317,95298556,19,27856962
92247256,95298438,19,27856938
92248209,95298449,18,27856941
92248940,95300019,20,27856281
92248939,95300019,21,27857131
92249287,95300362,18,27856363
92248612,95298852,16,27857061
92248612,95298850,16,27857060
92248784,95298951,1,27857086
92248784,95298952,1,27857087
92249680,95299808,1,27857078
92249680,95299809,1,27857079
92248829,95299912,21,27856242
92248474,95298700,21,27857005
92247496,95299590,1,27856149
92247508,95298728,18,27856154
92247481,95299569,1,27857001
92247481,95299567,1,27857000
92247481,95299570,18,27856145
92248458,95299570,18,27856999
92248458,95299567,1,27856997
92248458,95299569,1,27856998
92248929,95300005,1,27856275
92248483,95298705,3,27857007
92247642,95298834,16,27857056
92249799,95299043,16,27857111
92249661,95298913,21,27857074
92248579,95299686,3,27857047
92248522,95298747,26,27857022
92248413,95299511,3,27856986
92249294,95300379,16,27857249
92250095,95301347,15,27857229
92250095,95301348,15,27857230
92250091,95301347,15,27857226
92250091,95301348,15,27857227
92249732,95299897,16,27856235
92249810,95300050,3,27857113
92249889,95301065,1,27857138
92249889,95301067,1,27857139
92249889,95301062,1,27857137
92249889,95301068,1,27857140
92249889,95301069,1,27857141
92248393,95298628,16,27856983
92249864,95300111,17,27857132
92741509,95795186,16,28004704
92250034,95300283,1,27857190
92250034,95300284,1,27856333
92250034,95300282,1,27857187
92250034,95300286,1,27857198
92250034,95300285,1,27857196
92250034,95301270,1,27857186
92250039,95300284,1,27857202
92250039,95300282,1,27857200
92250039,95300283,1,27857201
92250039,95301270,1,27857199
92250039,95300285,1,27857203
92250039,95300286,1,27856341
92741681,95794149,24,28004603
92742032,95794481,3,28005465
92741788,95795115,24,28004651
92742187,95794634,16,28004797
92742031,95794472,16,28004736
92742031,95794473,16,28004737
92742031,95794471,16,28004735
92741745,95794198,1,28004635
92741745,95794200,1,28004637
