suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
6,89396940,1,9,6410984
16,89412747,1,9,6411000
4,89416896,2,1,6411047
16,89416908,7,1,6411048
5,89416020,1,1,6411083
12,89422086,1,9,6411086
2,89417691,1,1,6411141
15,89421374,6,9,6411156
15,89390776,27,1,6411239
4,89384860,1,1,6411251
1,89381353,10,1,6411261
4,89377269,3,9,6316887
8,89390742,6,9,6317085
16,89390750,5,1,6317086
5,89407059,1,1,6312782
8,89407065,6,9,6312783
4,89407076,1,9,6312784
16,89399855,9,9,6312832
5,89401050,1,9,6312833
5,89401065,1,1,6312834
1,89401072,1,1,6312835
5,89407087,1,1,6312885
4,89407094,1,9,6312886
16,89407109,12,9,6312887
5,89407122,1.5,1,6312888
5,89407132,1,9,6312889
4,89399881,1,1,6312962
4,89399888,1,1,6312963
5,89399894,1,1,6312964
4,89399906,1,1,6312965
5,89399907,1,1,6312966
5,89399927,2.29,1,6312967
16,89401090,4,9,6312968
4,89401093,5.2,1,6312969
5,89401110,1,1,6312970
5,89401115,1,1,6312971
8,89390776,1,1,6317177
4,89390785,1,9,6317178
8,89390798,30,9,6317179
4,89390811,6,9,6317180
5,89390824,1,9,6317181
17,89393221,1,1,6317196
5,89393222,1.44,1,6317197
17,89393229,3,9,6317198
5,89393236,2,1,6317199
5,89382338,1,1,6317248
5,89382347,1,1,6317249
5,89382373,1,1,6317250
17,89382376,1,1,6317251
5,89390845,20,1,6317303
5,89390860,1,1,6317304
5,89393247,5,1,6317311
5,89393248,36,1,6317312
5,89393252,0.4,1,6317313
8,89393253,2,9,6317314
5,89384824,1,1,6317365
16,89384836,1,1,6317366
5,89384847,1,1,6317367
5,89384851,1,1,6317368
5,89384860,1,1,6317369
4,89384878,1,1,6317370
5,89384883,2.23,1,6317371
4,89370728,5,9,6304269
4,89370734,1,1,6304270
17,89408371,10,1,6313021
5,89408378,3,1,6313022
5,89408410,6,1,6313023
15,89408425,6,9,6313024
4,89408430,10,9,6313025
13,89396408,1,9,6313062
5,89399961,1,1,6313069
17,89407277,1,1,6313116
1,89408431,0.4,1,6313121
5,89408435,1.2,1,6313122
1,89408437,1,9,6313123
15,89408438,3,9,6313124
1,89408442,12,1,6313125
1,89408452,1.5,1,6313126
16,89408455,7,9,6313127
15,89408459,41,9,6313128
4,89381343,180,1,6317459
16,89381351,1,9,6317460
5,89384901,5,1,6317469
5,89389831,8.3,1,6317486
5,89389840,1,1,6317487
5,89389856,2,3,6317488
5,89392253,4.1,1,6317496
4,89392256,1,1,6317497
16,89392260,1,1,6317498
5,89392264,1,1,6317499
12,89381353,100,9,6317535
4,89381386,1,1,6317536
4,89381395,1,1,6317537
5,89381408,1,1,6317538
5,89381415,1,1,6317539
2,89382584,1,1,6317542
5,89389865,0.1,1,6317600
5,89389874,8,1,6317601
5,89389881,1,1,6317602
5,89389882,5,1,6317603
1,89389886,1,9,6317604
16,89389887,4,9,6317605
5,89389888,3.4,1,6317606
5,89389896,3,9,6317607
5,89392288,1,1,6317610
5,89392321,1,1,6317611
5,89392329,1,1,6317612
4,89381433,1,1,6317641
4,89381439,0.43,1,6317642
4,89381466,1,9,6317643
5,89383890,1,2,6317660
15,89383900,4,9,6317661
5,89383902,15,1,6317662
5,89383909,1,3,6317663
5,89392353,1,1,6317704
5,89392357,1,1,6317705
5,89392364,3.5,1,6317706
5,89392373,0.4,1,6317707
13,89367437,6.46,1,6304621
5,89367446,1,1,6304622
5,89367447,1,9,6304623
4,89367449,10,9,6304624
5,89400147,1,1,6313318
5,89400149,2.4,1,6313319
3,89400152,0.46,1,6313320
5,89400155,1,1,6313321
5,89397782,1.4,1,6313410
5,89397792,1,1,6313411
5,89397811,1.1,1,6313412
5,89397827,1,1,6313413
5,89400200,1,1,6313418
5,89400208,1,1,6313419
5,89400213,1,1,6313420
5,89400220,1,1,6313421
5,89400242,1,1,6313422
5,89406309,1,1,6313448
5,89406312,6.35,1,6313449
5,89407496,17,1,6313452
4,89395446,7,9,6313487
4,89395448,1,9,6313488
5,89395471,5,1,6313489
5,89395474,1,1,6313490
16,89395513,1,9,6313491
16,89397847,1,1,6313494
5,89397868,1,1,6313495
5,89400250,5,1,6313503
5,89400251,2,1,6313504
5,89383953,1,1,6317759
5,89383955,1,3,6317760
5,89383967,1,1,6317761
5,89381616,1,1,6317847
5,89381619,1,2,6317848
5,89381626,1,9,6317849
12,89367461,4,9,6304720
5,89367492,1,1,6304721
5,89367494,1,9,6304722
5,89406325,3,1,6313541
5,89406334,2,1,6313542
5,89406336,4,1,6313543
5,89406338,5,1,6313544
5,89406348,25,1,6313545
5,89406370,1,1,6313546
5,89406377,18,1,6313547
4,89406388,3,9,6313548
5,89412363,10,1,6313570
4,89412365,7,9,6313571
5,89412407,1,1,6313572
5,89412420,22,1,6313573
5,89395516,3,1,6313579
5,89395541,1,1,6313580
5,89395542,16,1,6313581
5,89395543,1,1,6313582
5,89395558,1,1,6313583
2,89395559,0.3,1,6313584
5,89395561,1,1,6313585
1,89395574,1,9,6313586
5,89405191,18,1,6313633
5,89405193,3.1,1,6313634
16,89406403,2,9,6313635
5,89406414,1,1,6313636
4,89412430,1,1,6313664
16,89412433,1,9,6313665
5,89412437,1,1,6313666
5,89412443,20,1,6313667
8,89412452,2,9,6313668
5,89412483,1,1,6313669
5,89396857,1.3,1,6313683
12,89399238,2.5,1,6313695
5,89399248,1,1,6313696
5,89399252,1,1,6313697
17,89405205,1.1,1,6313727
4,89405216,2.4,1,6313728
12,89405218,45,9,6313729
5,89405220,2.1,1,6313730
5,89405222,1,9,6313731
5,89412502,1,1,6313764
5,89412538,1,3,6313765
5,89412549,6,1,6313766
5,89412550,1,1,6313767
17,89412561,2,9,6313768
4,89396865,8,9,6313778
5,89396867,0.2,3,6313779
2,89396875,3,1,6313780
5,89396881,16,1,6313781
5,89396883,5,1,6313782
5,89396887,345,1,6313783
5,89396890,5,1,6313784
5,89396905,2.1,1,6313785
8,89396907,5,9,6313786
5,89396925,1,3,6313787
5,89396935,1,3,6313788
5,89399260,1,1,6313794
5,89399268,1,1,6313795
5,89399274,1,1,6313796
5,89402883,1,1,6313807
5,89402889,3,1,6313808
5,89412580,1,3,6313856
8,89412602,2,9,6313857
5,89412603,14.3,1,6313858
4,89412611,1,9,6313859
5,89412619,29.2,1,6313860
5,89412637,2,1,6313861
5,89412641,1,3,6313862
5,89413332,2,1,6313863
5,89413382,1,1,6313864
5,89413393,1,1,6313865
12,89395764,14,9,6313867
16,89395766,0,,6313868
5,89395791,1,1,6313869
16,89396940,1,9,6313870
5,89396953,1,1,6313871
5,89405404,1,1,6313920
5,89412647,3,10,6313947
4,89412665,1,9,6313948
15,89412668,1,9,6313949
5,89412679,1,9,6313950
5,89412688,1,1,6313951
5,89412695,0.2,1,6313952
5,89413440,10.2,1,6313960
6,89404267,5,9,6314018
5,89405420,1,1,6314019
4,89405425,1,1,6314020
5,89405434,1,1,6314021
5,89405455,1,1,6314022
8,89407974,20,9,6314032
5,89412747,27,1,6314046
5,89401953,1.5,1,6314084
4,89401968,1,9,6314085
4,89371598,1,11,6305295
5,89371612,1,1,6305296
5,89404311,1,1,6314101
1,89404351,1,1,6314102
5,89404356,1.5,1,6314103
8,89407995,1,9,6314112
5,89408025,1,1,6314113
5,89408029,1.4,1,6314114
5,89408051,2,1,6314115
5,89408053,1,9,6314116
5,89411673,1,1,6314127
5,89413596,2.4,1,6314136
5,89400820,1,1,6314159
4,89400822,1,9,6314160
4,89400824,1,9,6314161
5,89400832,1,1,6314162
5,89400838,1,1,6314163
5,89401995,2,1,6314164
5,89402043,2,1,6314165
5,89408085,2,1,6314188
5,89408087,0.1,1,6314189
5,89408088,0.2,1,6314190
5,89400861,1,1,6314244
4,89400870,1,9,6314245
5,89400873,1,1,6314246
5,89400882,1,1,6314247
4,89400895,5.3,1,6314248
5,89411768,1,1,6314307
5,89411775,23,1,6314308
5,89411780,2.2,1,6314309
16,89411784,1,9,6314310
5,89411791,1,1,6314311
5,89411795,0,,6314312
5,89411796,5,1,6314313
5,89411801,2.4,1,6314314
4,89411802,2,9,6314315
5,89411804,16.1,1,6314316
5,89370707,0,,6305639
4,89417854,1.5,1,6314487
