property_id,incident_id,prop_loss_id,stolen_count,recovered_count,ff_line_number
89408413,73090622,1,,,
89429483,73090623,1,,,
89429484,73090623,4,,,
89412569,73090624,7,,,
89422072,73090627,4,,,
89421421,73090628,4,,,
89422245,73090630,7,,,
89412575,73091455,3,,,
89412576,73091455,7,,,
89408414,73090633,7,,,
89422073,73090634,7,,,
89429485,73090635,6,,,
89429486,73090635,6,,,
89429487,73090636,7,,,
89408087,73090638,6,,,
89422246,73090639,7,,,
89408088,73090640,6,,,
89408089,73090640,6,,,
89422074,73090641,7,1,,
89422247,73090642,1,,,
89422248,73090643,7,,,
89422075,73090644,7,,,
89412570,73090645,7,,,
89408415,73090646,7,,,
89422249,73090647,7,,,
89404329,73091451,7,,,
89422076,73090648,7,,,
89422250,73090649,7,,,
89417679,73090650,7,,,
89422251,73090651,4,,,
89422077,73090658,7,,,
89417680,73090653,6,,,
89412571,73090654,7,,,
89422252,73090655,7,,,
89408416,73090656,7,,,
89412572,73090657,1,,,
89417681,73090661,7,,,
89404330,73091453,7,,,
89422078,73090663,7,,,
89412573,73090664,7,,,
89408417,73090665,7,1,,
89422256,73091444,7,,,
89404322,73090666,7,,,
89422079,73090667,7,,,
89412574,73090668,7,,,
89422253,73090669,7,,,
89422080,73090670,7,,,
89404323,73090671,7,,,
89404324,73090672,7,,,
89429488,73090673,1,,,
89417682,73090674,1,,,
89422254,73090675,4,,,
89404325,73090676,7,,,
89422255,73090677,7,,,
89429489,73091439,7,,,
89429490,73091440,7,,,
89408418,73091442,7,,,
89429491,73091445,7,,,
89417685,73091446,6,,,
89422081,73091447,6,,,
89404327,73091448,7,,,
89417683,73090678,7,,,
89404326,73090679,1,,,
89417684,73090680,7,,,
89422257,73091449,1,,,
89404328,73091450,7,,,
89429492,73091452,3,,,
89422258,73091454,4,,,
89422259,73091457,7,,,
89422082,73091456,6,,,
89412577,73091458,7,,,
89422083,73091462,1,,,
89429493,73091463,7,,,
89408419,73091464,7,,,
89408420,73091466,7,,,
89417686,73091467,7,,,
89422084,73091468,7,0,,
89422260,73091470,7,,,
89422085,73091469,6,,,
89404331,73091471,1,,,
89417687,73091472,7,,,
89422261,73091473,7,,,
89412578,73091474,7,,,
89408421,73091475,7,,,
89422262,73091476,4,,,
89417689,73091481,7,,,
89408422,73091477,7,,,
89417688,73091479,7,,,
89429494,73091480,7,,,
89408423,73091482,7,,,
89404332,73091483,7,,,
89422263,73091484,7,,,
89408424,73091485,7,,,
89417690,73091487,7,,,
89386617,73065835,7,,,
89386618,73065835,7,,,
89386619,73065837,6,,,
89367422,73065840,7,,,
89381608,73065841,6,,,
89370704,73065842,5,,,
89386620,73065843,7,,,
89370705,73065844,4,,,
89367423,73065845,7,,,
89386621,73065846,7,1,,
89367424,73065847,7,1,,
89395739,73065848,7,,,
89386622,73065849,4,,,
89389314,73065851,7,,,
89381609,73065852,7,,,
89383879,73065854,7,0,,
89395740,73065855,6,,,
89386623,73065856,4,,,
89395741,73065857,7,,,
89383880,73065858,4,,,
89395742,73065859,7,,,
89367425,73065860,7,,,
89389315,73065861,1,,,
89383881,73065862,6,,,
89389316,73065863,7,,,
89389317,73065863,7,,,
89395743,73065866,4,,,
89370706,73065868,7,,,
89367426,73065869,7,,,
89383882,73065870,7,,,
89389318,73065871,7,,,
89395744,73065872,7,,,
89386624,73065873,7,,,
89395745,73065876,7,,,
89370707,73065874,1,,,
89367427,73065877,7,,,
89367428,73065877,7,,,
89370708,73065879,6,,,
89395746,73065880,7,0,,
89386625,73065881,6,,,
89386626,73065882,6,,,
89386627,73065884,6,,,
89367429,73065888,4,,,
89389320,73065892,4,,,
89383884,73065893,7,0,,
89370709,73065885,4,,,
89395747,73065886,7,,,
89370710,73065887,7,,,
89370711,73065887,7,,,
89383883,73065889,7,,,
89370712,73065890,7,,,
89389319,73065891,7,,,
89370713,73065894,6,,,
89381610,73065896,6,,,
89381611,73065897,7,,,
89386628,73065898,4,,,
89370714,73065899,7,,,
89370715,73065900,7,,,
89367430,73065902,4,,,
89381612,73065903,4,,,
89383886,73065908,4,,,
89370716,73065909,2,,,
89389321,73065901,6,,,
89383885,73065904,4,,,
89389322,73065905,7,,,
89389323,73065905,7,,,
89381613,73065906,7,,,
89367431,73065907,4,,,
89389324,73065910,4,,,
89367432,73065911,4,,,
89370717,73065912,4,,,
89383887,73065913,4,,,
89381614,73065914,4,,,
89367433,73065916,7,,,
89386629,73065917,7,,,
89370718,73065918,7,,,
89381615,73065919,7,,,
89381616,73065920,6,,,
89381617,73065920,6,,,
89367435,73066678,7,,,
89389325,73066679,7,,,
89395749,73066680,7,,,
89367434,73065921,7,,,
89395748,73065922,7,,,
89367436,73066683,4,,,
89367437,73066685,6,,,
89367438,73066685,6,,,
89386630,73066687,7,,,
89395750,73066688,7,,,
89370719,73066690,7,,,
89381618,73066691,7,,,
89370720,73066692,7,,,
89381619,73066693,6,,,
89381620,73066693,6,,,
89367439,73066694,7,,,
89381621,73066695,3,,,
89383888,73066696,5,,,
89383889,73066696,7,,,
89386631,73066702,3,,,
89367440,73066699,3,,,
89367441,73066699,5,,,
89367442,73066699,7,,,
89395751,73066700,4,,,
89395752,73066701,7,,,
89416913,73080519,6,,,
89396904,73080520,6,,,
89411801,73080521,6,,,
89412454,73080530,8,,,
89411802,73080523,6,,,
89411803,73080523,6,,,
89412452,73080524,6,,,
89412453,73080525,6,,,
89411804,73080526,6,,,
89411805,73080526,6,,,
89396905,73080527,6,,,
89396906,73080527,6,,,
89395559,73080528,6,,,
89393252,73080529,6,,,
89396907,73080532,6,,,
89396908,73080532,6,,,
89393253,73080533,6,,,
89393254,73080534,6,,,
89390742,73080535,6,,,
89416914,73080537,7,,,
89393255,73080538,7,,,
89395560,73080539,7,,,
89393256,73080540,7,,,
89411806,73080542,7,,,
89396909,73080543,7,,,
89393257,73080544,7,,,
89393258,73080544,7,,,
89393259,73080544,7,,,
89396910,73080545,7,,,
89390743,73080546,7,,,
89416915,73080547,7,,,
89416916,73080548,4,,,
89390744,73080549,7,,,
89411807,73080550,4,,,
89401023,73080552,6,,,
89390754,73081380,7,0,,
89395561,73080551,6,,,
89395562,73080553,7,,,
89416917,73080554,7,,,
89412455,73080555,5,,,
89412456,73080555,7,,,
89395563,73080556,7,,,
89396911,73080557,4,,,
89412457,73080558,5,,,
89412458,73080558,7,,,
89390745,73080559,7,0,,
89396912,73080560,4,,,
89395564,73080561,7,,,
89395565,73080561,7,,,
89412472,73081381,4,,,
89401024,73080562,4,,,
89416918,73080563,4,,,
89396913,73080564,4,,,
89412459,73080565,4,,,
89401025,73080566,1,,,
89401026,73080566,7,,,
89396914,73080567,1,,,
89396915,73080567,7,,,
89401027,73080568,4,,,
89412460,73080569,7,0,,
89416919,73080570,4,,,
89416920,73080574,7,,,
89396916,73080573,7,,,
89396917,73080575,5,,,
89396918,73080575,7,,,
89395566,73080576,4,,,
89411808,73080577,7,,,
89416921,73080578,4,,,
89401031,73080584,7,,,
89412625,73081371,7,,,
89401028,73080579,7,,,
89401029,73080579,7,0,,
89401030,73080579,7,,,
89390746,73080580,7,,,
89411809,73080581,7,,,
89416922,73080582,7,,,
89412461,73080583,5,,,
89412462,73080583,7,,,
89396919,73080585,7,,,
89395567,73080586,7,,,
89416923,73080588,7,,,
89396920,73080589,3,,,
89395568,73080590,4,,,
89411810,73080592,7,,,
89390747,73080591,4,,,
89411811,73081341,4,,,
89412463,73081342,5,,,
89412464,73081342,7,,,
89412465,73081343,7,1,,
89416924,73081345,7,,,
89395569,73081347,7,,,
89416925,73081346,7,,,
89390748,73081348,7,,,
89390749,73081348,7,,,
89401032,73081349,7,0,,
89411812,73081351,7,,,
89401033,73081352,7,,,
89396921,73081353,6,,,
89401034,73081354,5,,,
89401035,73081354,5,,,
89401036,73081354,5,,,
89401037,73081354,5,,0,
89401038,73081354,5,,,
89401039,73081354,5,,,
89401040,73081354,7,,,
89401041,73081354,7,,,
89401042,73081354,7,,,
89401043,73081354,7,0,,
89401044,73081354,7,,,
89401045,73081354,7,,,
89412466,73081356,7,,,
89412467,73081356,7,,,
89412468,73081356,7,,,
89412469,73081356,7,,,
89416926,73081357,7,,,
89390750,73081358,6,,,
89390751,73081358,6,,,
89396922,73081359,1,,,
89396923,73081359,4,,,
89411813,73081360,4,,,
89416927,73081361,6,,,
89412470,73081362,7,,,
89411814,73081363,7,,,
89396924,73081364,4,,,
89401046,73081365,7,,,
89411815,73081367,7,,,
