nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
6464204,15887,1,2014,U,,,N,F,,C,2014_01_PA0060000_NIBRS,
6486654,15887,2,2014,U,,,N,F,,C,2014_02_PA0060000_NIBRS,
6509104,15887,3,2014,U,,,N,F,,C,2014_03_PA0060000_NIBRS,
6531554,15887,4,2014,U,,,N,F,,C,2014_04_PA0060000_NIBRS,
6554004,15887,5,2014,U,,,N,F,,C,2014_05_PA0060000_NIBRS,
6576454,15887,6,2014,U,,,N,F,,C,2014_06_PA0060000_NIBRS,
6598904,15887,7,2014,U,,,N,F,,C,2014_07_PA0060000_NIBRS,
6621354,15887,8,2014,U,,,N,F,,C,2014_08_PA0060000_NIBRS,
6643804,15887,9,2014,U,,,N,F,,C,2014_09_PA0060000_NIBRS,
6666254,15887,10,2014,U,,,N,F,,C,2014_10_PA0060000_NIBRS,
6688704,15887,11,2014,U,,,N,F,,C,2014_11_PA0060000_NIBRS,
6711154,15887,12,2014,U,,,N,F,,C,2014_12_PA0060000_NIBRS,
6464205,15888,1,2014,U,,,N,F,,C,2014_01_PA0060100_NIBRS,
6486655,15888,2,2014,U,,,N,F,,C,2014_02_PA0060100_NIBRS,
6509105,15888,3,2014,U,,,N,F,,C,2014_03_PA0060100_NIBRS,
6531555,15888,4,2014,U,,,N,F,,C,2014_04_PA0060100_NIBRS,
6554005,15888,5,2014,U,,,N,F,,C,2014_05_PA0060100_NIBRS,
6576455,15888,6,2014,U,,,N,F,,C,2014_06_PA0060100_NIBRS,
6598905,15888,7,2014,U,,,N,F,,C,2014_07_PA0060100_NIBRS,
6621355,15888,8,2014,U,,,N,F,,C,2014_08_PA0060100_NIBRS,
6643805,15888,9,2014,U,,,N,F,,C,2014_09_PA0060100_NIBRS,
6666255,15888,10,2014,U,,,N,F,,C,2014_10_PA0060100_NIBRS,
6688705,15888,11,2014,U,,,N,F,,C,2014_11_PA0060100_NIBRS,
6711155,15888,12,2014,U,,,N,F,,C,2014_12_PA0060100_NIBRS,
6464206,15889,1,2014,U,,,N,F,,C,2014_01_PA0060200_NIBRS,
