offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
84241848,73090622,49,C,7,0,F,
84241647,73090623,49,A,7,0,N,
84241648,73090623,5,C,7,,,
84235026,73090624,14,C,20,,,
84241649,73090625,51,C,20,,,
84241849,73090626,51,C,20,,,
84243716,73090627,5,C,20,,,
84242232,73090628,5,C,20,,,
84235027,73090629,51,C,20,,,
84242233,73090630,47,C,20,,,
84242234,73090631,51,C,20,,,
84242235,73090631,44,C,20,,,
84235035,73091455,45,C,20,,,
84235036,73091455,11,C,20,,,
84241850,73090633,47,C,20,,,
84243717,73090634,47,C,20,,,
84249559,73090635,35,C,20,,,
84241650,73090635,16,C,20,,,
84249560,73090636,49,C,20,0,N,
84249561,73090637,51,C,20,,,
84238869,73090638,16,C,20,,,
84242236,73090639,49,C,20,0,N,
84238870,73090640,16,C,41,,,
84238871,73090640,35,C,41,,,
84243718,73090641,21,C,20,,,
84242237,73090642,21,A,25,,,
84242238,73090643,45,C,2,,,
84243719,73090644,23,C,12,,,
84235028,73090645,23,C,24,,,
84241851,73090646,51,C,20,,,
84241852,73090646,45,C,20,,,
84242239,73090647,23,C,12,,,
84238032,73091451,45,C,20,,,
84243720,73090648,45,C,13,,,
84242240,73090649,23,C,8,,,
84238872,73090650,23,C,5,,,
84242241,73090651,5,C,20,,,
84238024,73090652,51,C,20,,,
84243721,73090658,46,C,20,,,
84238873,73090653,16,C,20,,,
84235029,73090654,47,C,12,,,
84242242,73090655,47,C,12,,,
84241853,73090656,2,C,36,,,
84235030,73090657,35,C,20,,,
84235032,73090660,51,C,20,,,
84238874,73090661,46,C,20,,,
84238033,73091453,45,C,20,,,
84238034,73091453,41,C,20,,,
84235031,73090659,51,C,20,,,
84249562,73090662,51,C,20,,,
84243722,73090663,2,C,20,,,
84235033,73090664,45,C,20,,,
84241854,73090665,21,C,10,,,
84242246,73091444,2,C,20,,,
84238025,73090666,45,C,20,,,
84243723,73090667,47,C,24,,,
84235034,73090668,23,C,8,,,
84242243,73090669,2,C,20,,,
84243724,73090670,23,C,8,,,
84238026,73090671,45,C,20,,,
