arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
20769554,73091567,1,A00000133830,2014-02-01 00:00:00,3,N,35,5,49,M,1,2,R,,,,,
20769531,73091514,1,A-2269,2014-09-25 00:00:00,3,C,35,5,24,M,1,2,N,,,,,
20769530,73091513,1,A-2268,2014-09-24 00:00:00,3,C,35,5,36,M,1,2,R,,,,,
20761867,73075886,1,A00000135112,2014-04-25 00:00:00,3,N,35,5,26,F,1,2,N,,,,,
20763901,73079581,2,A00000133398,2014-01-01 00:00:00,3,N,35,5,18,M,1,2,R,,,,,
20763900,73079581,1,A00000133397,2014-01-01 00:00:00,3,N,35,5,18,M,1,2,R,,,,,
20762872,73076020,1,A00000137991,2014-09-30 00:00:00,3,N,35,5,20,M,1,2,N,,,,,
20761844,73075092,1,A00000134709,2014-04-05 00:00:00,3,N,35,5,27,M,1,2,N,,,,,
20760718,73072277,1,A00000137652,2014-09-17 00:00:00,3,N,35,5,21,M,1,2,R,,,,,
20760648,73071342,2,A00000135615,2014-06-10 00:00:00,3,N,35,5,34,M,1,2,N,,,,,
20760647,73071342,1,A00000135613,2014-06-10 00:00:00,3,N,35,5,22,F,1,2,N,,,,,
20758439,73067591,1,14-000848,2014-04-06 00:00:00,1,C,29,5,62,M,1,2,R,,,,,
20766150,73085115,1,A00000139705,2014-12-08 00:00:00,2,N,27,5,17,M,1,1,R,R,,,,
20770518,73092470,1,A00000135192,2014-05-12 00:00:00,1,N,29,5,25,M,2,2,R,,,,,
20760707,73072264,1,A00000137395,2014-09-08 00:00:00,1,N,30,5,22,F,2,2,N,,,,,
20766098,73084191,1,A00000137548,2014-11-18 00:00:00,3,N,35,5,18,F,1,2,R,,,,,
20765051,73082305,1,A00000134668,2014-04-05 00:00:00,3,N,35,5,31,M,1,2,U,,,,,
20758547,73068511,1,A00000136867,2014-08-19 00:00:00,3,N,35,5,27,F,1,2,R,,,,,
20759529,73068610,1,A00000137699,2014-09-19 00:00:00,3,C,35,5,22,M,1,2,R,,,,,
20761771,73074121,1,A00000135769,2014-06-22 00:00:00,2,N,27,5,21,M,1,2,R,,,,,
20764049,73081344,1,A00000137814,2014-09-22 00:00:00,2,N,27,5,59,M,1,2,R,,,,,
20765120,73083264,1,A00000136960,2014-11-24 00:00:00,2,N,27,5,19,M,1,2,R,,,,,
20757463,73066700,1,A00000139567,2014-12-02 00:00:00,2,N,27,5,12,M,1,2,R,R,,,,
20760708,73072264,2,A00000137399,2014-09-08 00:00:00,1,N,30,5,20,M,1,3,R,,,,,
20761767,73074095,1,A00000135386,2014-05-24 00:00:00,3,N,32,5,25,M,1,2,N,,,,,
20769487,73091446,1,A00000136314,2014-07-26 00:00:00,3,N,34,5,17,M,1,2,N,H,,,,
20769479,73090657,2,A00000135185,2014-04-25 00:00:00,3,N,34,5,15,F,1,2,R,R,,,,
20769473,73090646,1,A00000134059,2014-02-18 00:00:00,3,N,34,5,32,M,1,2,R,,,,,
20760738,73072322,1,A00000138630,2014-10-23 00:00:00,3,N,34,5,26,M,1,2,R,,,,,
20767249,73087777,2,A00000135114,2014-05-05 00:00:00,3,N,34,5,33,F,1,2,N,,,,,
20766104,73084212,1,A00000138304,2014-09-26 00:00:00,3,N,34,5,17,M,1,2,R,R,,,,
20763915,73079596,1,A00000133836,2014-02-02 00:00:00,2,N,51,5,19,F,2,3,N,,,,,
20765012,73081463,1,A00000133903,2014-02-08 00:00:00,3,N,48,5,20,M,4,2,R,,,,,
20759671,73070417,1,A00000134029,2014-02-12 00:00:00,3,N,48,5,44,M,4,2,R,,,,,
20767224,73086973,1,A00000135733,2014-06-30 00:00:00,2,N,23,5,50,M,0,2,N,,,,,
20761786,73074165,1,A00000138566,2014-09-15 00:00:00,2,N,23,5,48,F,1,2,R,,,,,
20770502,73092395,1,A00000134546,2014-03-27 00:00:00,1,N,34,5,31,M,2,2,N,,,,,
20761805,73075006,1,A00000140205,2014-12-29 00:00:00,1,N,34,5,17,M,2,2,R,R,,,,
20763980,73080481,1,A00000139373,2014-10-28 00:00:00,3,N,35,5,19,M,1,1,R,,,,,
20770535,73093287,1,A00000135941,2014-07-02 00:00:00,1,N,28,5,23,M,1,2,R,,,,,
20769525,73091508,2,J-14-004,2014-06-26 00:00:00,1,C,28,5,17,M,1,2,R,R,,,,
20769524,73091508,1,J-14-003,2014-06-26 00:00:00,1,C,28,5,17,M,1,2,R,R,,,,
20766177,73085965,1,AR2014-042,2014-08-16 00:00:00,1,C,28,5,18,M,1,2,R,,,,,
20768357,73088837,2,A00000140398,2015-01-08 00:00:00,2,N,28,5,19,M,1,2,R,,,,,
20768356,73088837,1,A00000140397,2015-01-08 00:00:00,2,N,28,5,18,M,1,2,R,,,,,
20768314,73088768,1,A00000137771,2014-09-22 00:00:00,2,N,28,5,19,M,1,2,R,,,,,
20766221,73086851,1,A00000134868,2014-04-19 00:00:00,2,N,28,5,29,F,1,2,R,,,,,
20766180,73085971,1,AR2014-051,2014-09-11 00:00:00,2,C,28,5,31,M,1,2,R,,,,,
20765080,73082391,1,A00000136247,2014-05-09 00:00:00,2,N,28,5,18,M,1,2,R,,,,,
20759601,73069498,1,A00000140499,2015-01-12 00:00:00,2,N,28,5,28,F,1,2,U,,,,,
20760609,73070473,1,A00000134594,2014-03-27 00:00:00,3,N,28,5,23,M,1,2,N,,,,,
20765112,73083245,1,A0000135794,2014-06-25 00:00:00,3,N,28,5,18,M,1,2,R,,,,,
20759604,73069503,1,A00000139377,2014-11-23 00:00:00,2,N,23,5,17,M,0,3,N,H,,,,
20769451,73090603,2,A00000141143,2015-02-10 00:00:00,2,N,23,5,38,F,1,2,R,,,,,
20769450,73090603,1,A00000141142,2015-02-10 00:00:00,2,N,23,5,24,F,1,2,R,,,,,
20769445,73090598,1,A00000140206,2014-12-29 00:00:00,2,N,23,5,29,M,1,2,R,,,,,
20769442,73090595,1,A00000140179,2014-12-27 00:00:00,2,N,23,5,15,F,1,2,R,R,,,,
20769437,73090588,1,A00000140733,2014-12-07 00:00:00,2,N,23,5,25,M,1,2,N,,,,,
20769435,73090587,1,A00000140277,2014-12-20 00:00:00,2,N,23,5,22,F,1,2,R,,,,,
20769434,73090586,2,A00000140100,2014-12-20 00:00:00,2,N,23,5,39,M,1,2,R,,,,,
20769433,73090586,1,A00000140099,2014-12-20 00:00:00,2,N,23,5,34,F,1,2,R,,,,,
20769429,73090576,2,A00000139980,2014-12-17 00:00:00,2,N,23,5,23,F,1,2,R,,,,,
20769428,73090576,1,A00000140004,2014-12-17 00:00:00,2,N,23,5,15,F,1,2,R,R,,,,
20769426,73090573,1,A00000140769,2015-01-25 00:00:00,2,N,23,5,25,M,1,2,N,,,,,
20769425,73090572,1,A00000140750,2015-01-25 00:00:00,2,N,23,5,25,M,1,2,N,,,,,
20769420,73090559,3,A00000140040,2014-12-21 00:00:00,2,N,23,5,16,M,1,2,R,R,,,,
20769419,73090559,2,A00000140039,2014-12-21 00:00:00,2,N,23,5,16,M,1,2,R,R,,,,
20769418,73090559,1,A00000140038,2014-12-21 00:00:00,2,N,23,5,17,M,1,2,R,R,,,,
20769416,73090552,1,A00000139643,2014-12-07 00:00:00,2,N,23,5,17,F,1,2,R,R,,,,
20769415,73090552,2,A00000139640,2014-12-05 00:00:00,2,C,23,5,16,F,1,2,R,R,,,,
20769411,73090548,1,A00000139551,2014-12-02 00:00:00,2,N,23,5,14,F,1,2,R,R,,,,
20769404,73090540,1,A00000139552,2014-11-26 00:00:00,2,N,23,5,34,M,1,2,R,,,,,
20769403,73090539,1,A00000139613,2014-11-26 00:00:00,2,N,23,5,21,F,1,2,N,,,,,
20768340,73088807,1,A00000137115,2014-08-28 00:00:00,2,N,23,5,24,F,1,2,R,,,,,
20768338,73088804,1,A00000136846,2014-08-01 00:00:00,2,N,23,5,20,F,1,2,R,,,,,
20768337,73088802,1,A00000141124,2014-08-12 00:00:00,2,N,23,5,25,M,1,2,N,,,,,
20768335,73088801,2,A00000137249,2014-08-11 00:00:00,2,N,23,5,16,F,1,2,R,R,,,,
20768334,73088801,1,A00000137250,2014-08-11 00:00:00,2,N,23,5,17,F,1,2,R,R,,,,
20768331,73088792,2,A00000137066,2014-08-27 00:00:00,2,N,23,5,24,F,1,2,N,,,,,
20768330,73088792,1,A00000137065,2014-08-27 00:00:00,2,N,23,5,30,M,1,2,N,,,,,
