agency_id,incident_id,nibrs_month_id,incident_number,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,ddocname,orig_format,ff_line_number,did
16607,73090657,6532274,I00000399224,,,2014-04-25 00:00:00,,23,6,,0,C,2014_04_PA0363900_I00000399224_INC_NIBRS,,,
16607,73090660,6532274,I00000399640,,,2014-04-28 00:00:00,,8,6,,0,C,2014_04_PA0363900_I00000399640_INC_NIBRS,,,
16607,73090661,6532274,I00000399902,,,2014-04-30 00:00:00,,12,6,,0,C,2014_04_PA0363900_I00000399902_INC_NIBRS,,,
16607,73091453,6554724,I00000404926,,,2014-05-12 00:00:00,,12,6,,0,C,2014_05_PA0363900_I00000404926_INC_NIBRS,,,
16607,73090659,6554724,I00000399638,,,2014-05-04 00:00:00,,16,4,2014-05-06 00:00:00,0,C,2014_05_PA0363900_I00000399638_INC_NIBRS,,,
16607,73090662,6554724,I00000400240,,,2014-05-20 00:00:00,,18,6,,0,C,2014_05_PA0363900_I00000400240_INC_NIBRS,,,
16607,73090663,6554724,I00000400309,,,2014-05-22 00:00:00,,12,6,,0,C,2014_05_PA0363900_I00000400309_INC_NIBRS,,,
16607,73090664,6554724,I00000400413,,,2014-05-24 00:00:00,,20,6,,0,C,2014_05_PA0363900_I00000400413_INC_NIBRS,,,
16607,73090665,6554724,I00000400713,,,2014-05-31 00:00:00,,17,6,,0,C,2014_05_PA0363900_I00000400713_INC_NIBRS,,,
16607,73091444,6577174,I00000403046,,,2014-06-19 00:00:00,,12,6,,0,C,2014_06_PA0363900_I00000403046_INC_NIBRS,,,
16607,73090666,6577174,I00000401012,,,2014-06-06 00:00:00,,17,4,2014-06-06 00:00:00,0,C,2014_06_PA0363900_I00000401012_INC_NIBRS,,,
16607,73090667,6577174,I00000401115,,,2014-06-07 00:00:00,,16,6,,0,C,2014_06_PA0363900_I00000401115_INC_NIBRS,,,
16607,73090668,6577174,I00000401187,,,2014-06-09 00:00:00,,13,6,,0,C,2014_06_PA0363900_I00000401187_INC_NIBRS,,,
16607,73090669,6577174,I00000401277,,,2014-06-09 00:00:00,,12,6,,0,C,2014_06_PA0363900_I00000401277_INC_NIBRS,,,
16607,73090670,6577174,I00000401457,,,2014-06-14 00:00:00,,16,6,,0,C,2014_06_PA0363900_I00000401457_INC_NIBRS,,,
16607,73090671,6577174,I00000401464,,,2014-06-16 00:00:00,,21,6,,0,C,2014_06_PA0363900_I00000401464_INC_NIBRS,,,
16607,73090672,6577174,I00000401482,,,2014-06-15 00:00:00,,16,6,,0,C,2014_06_PA0363900_I00000401482_INC_NIBRS,,,
16607,73090673,6577174,I00000401620,,,2014-06-20 00:00:00,,17,6,,0,C,2014_06_PA0363900_I00000401620_INC_NIBRS,,,
16607,73090674,6577174,I00000401626,,,2014-06-20 00:00:00,,22,6,,0,C,2014_06_PA0363900_I00000401626_INC_NIBRS,,,
16607,73090675,6577174,I00000401644,,,2014-06-21 00:00:00,,11,6,,0,C,2014_06_PA0363900_I00000401644_INC_NIBRS,,,
16607,73090676,6577174,I00000401864,,,2014-06-26 00:00:00,,10,6,,0,C,2014_06_PA0363900_I00000401864_INC_NIBRS,,,
16607,73090677,6577174,I00000402449,,,2014-06-01 00:00:00,,8,6,,0,C,2014_06_PA0363900_I00000402449_INC_NIBRS,,,
16607,73091439,6599624,I00000402614,,,2014-07-04 00:00:00,,17,6,,0,C,2014_07_PA0363900_I00000402614_INC_NIBRS,,,
16607,73091440,6599624,I00000402764,,,2014-07-15 00:00:00,,21,6,,0,C,2014_07_PA0363900_I00000402764_INC_NIBRS,,,
16607,73091441,6599624,I00000402802,,,2014-07-17 00:00:00,,11,6,,0,C,2014_07_PA0363900_I00000402802_INC_NIBRS,,,
16607,73091442,6599624,I00000402815,,,2014-07-17 00:00:00,,13,6,,0,C,2014_07_PA0363900_I00000402815_INC_NIBRS,,,
16607,73091443,6599624,I00000402955,,,2014-07-19 00:00:00,,21,6,,0,C,2014_07_PA0363900_I00000402955_INC_NIBRS,,,
16607,73091445,6599624,I00000403216,,,2014-07-24 00:00:00,,12,6,,0,C,2014_07_PA0363900_I00000403216_INC_NIBRS,,,
16607,73091446,6599624,I00000403233,,,2014-07-26 00:00:00,,21,6,,0,C,2014_07_PA0363900_I00000403233_INC_NIBRS,,,
16607,73091447,6599624,I00000403258,,,2014-07-27 00:00:00,,18,6,,0,C,2014_07_PA0363900_I00000403258_INC_NIBRS,,,
16607,73091448,6599624,I00000403299,,,2014-07-25 00:00:00,,10,6,,0,C,2014_07_PA0363900_I00000403299_INC_NIBRS,,,
16607,73090678,6599624,I00000402466,,,2014-07-10 00:00:00,,18,6,,0,C,2014_07_PA0363900_I00000402466_INC_NIBRS,,,
16607,73090679,6599624,I00000402570,,,2014-07-13 00:00:00,,15,6,,0,C,2014_07_PA0363900_I00000402570_INC_NIBRS,,,
16607,73090680,6599624,I00000402600,,,2014-07-13 00:00:00,,8,6,,0,C,2014_07_PA0363900_I00000402600_INC_NIBRS,,,
16607,73091449,6622074,I00000403855,,,2014-08-05 00:00:00,,8,6,,0,C,2014_08_PA0363900_I00000403855_INC_NIBRS,,,
16607,73091450,6622074,I00000404289,,,2014-08-15 00:00:00,,12,6,,0,C,2014_08_PA0363900_I00000404289_INC_NIBRS,,,
16607,73091452,6622074,I00000404582,,,2014-08-19 00:00:00,,16,6,,0,C,2014_08_PA0363900_I00000404582_INC_NIBRS,,,
16607,73091454,6622074,I00000405296,,,2014-08-30 00:00:00,,6,6,,0,C,2014_08_PA0363900_I00000405296_INC_NIBRS,,,
16607,73091457,6622074,I00000405789,,,2014-08-28 00:00:00,,12,6,,0,C,2014_08_PA0363900_I00000405789_INC_NIBRS,,,
16607,73091465,6622074,I00000407805,,,2014-08-31 00:00:00,,8,6,,0,C,2014_08_PA0363900_I00000407805_INC_NIBRS,,,
16607,73091486,6622074,I00000413027,,,2014-08-01 00:00:00,,12,6,,0,C,2014_08_PA0363900_I00000413027_INC_NIBRS,,,
16607,73091456,6644524,I00000405775,,,2014-09-10 00:00:00,,13,6,,0,C,2014_09_PA0363900_I00000405775_INC_NIBRS,,,
16607,73091458,6644524,I00000405948,,,2014-09-13 00:00:00,,13,6,,0,C,2014_09_PA0363900_I00000405948_INC_NIBRS,,,
16607,73091459,6644524,I00000406369,,,2014-09-20 00:00:00,,22,6,,0,C,2014_09_PA0363900_I00000406369_INC_NIBRS,,,
16607,73091460,6644524,I00000406636,,,2014-09-10 00:00:00,,8,6,,0,C,2014_09_PA0363900_I00000406636_INC_NIBRS,,,
16607,73091461,6644524,I00000406915,,,2014-09-29 00:00:00,,12,6,,0,C,2014_09_PA0363900_I00000406915_INC_NIBRS,,,
16607,73091462,6666974,I00000407049,,,2014-10-01 00:00:00,,11,6,,0,C,2014_10_PA0363900_I00000407049_INC_NIBRS,,,
16607,73091463,6666974,I00000407458,,,2014-10-01 00:00:00,,20,6,,0,C,2014_10_PA0363900_I00000407458_INC_NIBRS,,,
16607,73091464,6666974,I00000407574,,,2014-10-11 00:00:00,,16,6,,0,C,2014_10_PA0363900_I00000407574_INC_NIBRS,,,
16607,73091466,6666974,I00000408202,,,2014-10-22 00:00:00,,21,6,,0,C,2014_10_PA0363900_I00000408202_INC_NIBRS,,,
16607,73091467,6666974,I00000408607,,,2014-10-28 00:00:00,,20,6,,0,C,2014_10_PA0363900_I00000408607_INC_NIBRS,,,
16607,73091468,6666974,I00000408896,,,2014-10-29 00:00:00,,9,6,,0,C,2014_10_PA0363900_I00000408896_INC_NIBRS,,,
16607,73091470,6666974,I00000409230,,,2014-10-24 00:00:00,,9,6,,0,C,2014_10_PA0363900_I00000409230_INC_NIBRS,,,
16607,73091469,6689424,I00000409063,,,2014-11-07 00:00:00,,23,6,,0,C,2014_11_PA0363900_I00000409063_INC_NIBRS,,,
16607,73091471,6689424,I00000409305,,,2014-11-12 00:00:00,,6,6,,0,C,2014_11_PA0363900_I00000409305_INC_NIBRS,,,
16607,73091472,6689424,I00000409443,,,2014-11-13 00:00:00,,14,6,,0,C,2014_11_PA0363900_I00000409443_INC_NIBRS,,,
16607,73091473,6689424,I00000409502,,,2014-11-14 00:00:00,,8,6,,0,C,2014_11_PA0363900_I00000409502_INC_NIBRS,,,
16607,73091474,6689424,I00000409545,,,2014-11-13 00:00:00,,9,6,,0,C,2014_11_PA0363900_I00000409545_INC_NIBRS,,,
16607,73091475,6689424,I00000410111,,,2014-11-28 00:00:00,,21,6,,0,C,2014_11_PA0363900_I00000410111_INC_NIBRS,,,
16607,73091476,6689424,I00000410131,,,2014-11-29 00:00:00,,20,6,,0,C,2014_11_PA0363900_I00000410131_INC_NIBRS,,,
16607,73091481,6689424,I00000411355,,,2014-11-21 00:00:00,,15,6,,0,C,2014_11_PA0363900_I00000411355_INC_NIBRS,,,
