victim_id,circumstances_id,justifiable_force_id
79533098,9,
79530961,9,
79532017,6,
79532059,1,
79532060,1,
79527872,1,
79528839,9,
79529986,1,
79536433,9,
79536436,6,
79537351,9,
79537352,9,
79537395,1,
79537468,1,
79537498,9,
79533160,6,
79534265,6,
79544879,10,
79544883,6,
79543722,1,
79543773,1,
79543845,6,
79543875,1,
79539531,1,
79539623,9,
79550146,9,
79550169,1,
79549065,1,
79549066,1,
79549084,1,
79549108,10,
79549161,1,
79549179,6,
79549201,10,
79547011,1,
79548006,1,
79548104,1,
79545886,1,
79545904,6,
79545934,6,
79545941,6,
79545945,6,
79545959,6,
79556627,2,
79556628,2,
79557714,1,
79557719,1,
79557720,1,
79557740,1,
79557761,1,
79557770,10,
79557774,9,
79553397,9,
79553398,9,
79552340,1,
79558668,9,
79558680,2,
79558681,2,
79558758,9,
79558759,9,
79558770,1,
79558774,9,
79558779,1,
79558801,1,
79558833,2,
79559795,4,
79559796,3,
79559834,1,
