arrestee_id,weapon_id,nibrs_arrestee_weapon_id
20769554,1,20788675
20769531,1,20788652
20769530,1,20788651
20761867,1,20782797
20763901,1,20782671
20763900,1,20782670
20762872,1,20782628
20761844,1,20782583
20760718,1,20782509
20760648,1,20782245
20760647,1,20782244
20758439,1,20769333
20766150,1,20775244
20770518,1,20788457
20760707,1,20782498
20766098,1,20774998
20765051,1,20774934
20758547,1,20769636
20759529,1,20769428
20761771,1,20782316
20764049,1,20779126
20765120,1,20775198
20757463,1,20769549
20760708,1,20782499
20761767,1,20782312
20769487,1,20788416
20769479,1,20788408
20769473,1,20788402
20760738,1,20782528
20767249,1,20775550
20766104,1,20775004
20763915,1,20782685
20765012,1,20774895
20759671,1,20769962
20767224,1,20775331
20761786,1,22266047
20770502,1,20788248
20761805,1,20782544
20763980,1,20782942
20770535,1,20788474
20769525,1,20788454
20769524,1,20788453
20766177,1,20775270
20768357,1,20788339
20768356,1,20788338
20768314,1,20788102
20766221,1,20775508
20766180,1,20775467
20765080,1,20775158
20759601,1,20769696
20760609,1,20782206
20765112,1,20775190
20759604,1,20769699
20769451,1,20788186
20769450,1,20788185
20769445,1,20788180
20769442,1,20788177
20769437,1,20788172
20769435,1,20788170
20769434,1,20788169
20769433,1,20788168
20769429,1,20788164
20769428,1,20788163
20769426,1,20788161
20769425,1,20788160
20769420,1,20788155
20769419,1,20788154
20769418,1,20788153
20769416,1,20788151
20769415,1,20788150
20769411,1,20788146
20769404,1,20788139
20769403,1,20788138
20768340,1,20788128
20768338,1,20788126
20768337,1,20788125
20768335,1,20788123
20768334,1,20788122
20768331,1,20788119
20768330,1,20788118
20768328,1,20788116
20768327,1,20788115
20768326,1,20788114
20768325,1,20788113
20768324,1,20788112
20768320,1,20788108
20768319,1,20788107
20768318,1,20788106
20768317,1,20788105
20768316,1,20788104
20768315,1,20788103
20768307,1,20788095
20768306,1,20788094
20768305,1,20788093
20768304,1,20788092
20768302,1,20788090
20768301,1,20788089
20768300,1,20788088
20768293,1,20788081
20768292,1,20788080
20768287,1,20788075
20768286,1,20788074
20769392,1,20787933
20769390,1,20787931
20769389,1,20787930
20769385,1,20787926
20769384,1,20787925
20769383,1,20787924
20762941,1,20782889
20762940,1,20782888
20762939,1,20782887
20762930,1,20782878
20762929,1,20782877
20762928,1,20782876
20762922,1,20782870
20761879,1,20782809
20761871,1,20782801
20761870,1,20782800
20761869,1,20782799
