victim_id,offender_id,relationship_id,nibrs_victim_offender_id
79556527,82380031,3,24280559
79556528,82380032,21,24280558
79556531,82380035,20,24280557
79556533,82380037,3,24165424
79556534,82380037,1,24165423
79556535,82380037,1,24165422
79556543,82380042,17,24280554
79556541,82380042,17,24280556
79556542,82380042,19,24280555
79556552,82380056,1,24280553
79556563,82381565,21,24369201
79556571,82381574,4,24369199
79556570,82381573,18,24369200
79556573,82381576,22,24369198
79556596,82381598,21,25177458
79556597,82381598,5,25177457
79556599,82381600,18,24922699
79556623,82381623,15,24369194
79556623,82381624,15,25332358
79556646,82381645,1,24327097
79556612,82381614,17,24369197
79556616,82381617,3,24369196
79556617,82381618,1,24369195
79556618,82381619,18,24922698
79556627,82381628,24,24369193
79556628,82381628,24,24369192
79556638,82381637,3,24327099
79556640,82381639,3,24327098
79527750,82351064,1,25070498
79527752,82351066,1,24369313
79527753,82351067,1,24295588
79527763,82351079,17,24329537
79527764,82351080,1,24329536
79527781,82351094,18,24329535
79527782,82351094,18,24329534
79527783,82351094,24,24329533
79527784,82351095,16,24329532
79527798,82351109,13,24329531
79527803,82351115,21,24329530
79527815,82351127,21,24329529
79527855,82351163,1,24329525
79527839,82351147,15,24329528
79527839,82351148,15,25324831
79527840,82351147,15,24329527
79527840,82351148,15,25324830
79527851,82351159,1,24329526
79527852,82351160,1,25070494
79527852,82351161,1,25324829
79527853,82351160,1,25070493
79527853,82351161,1,25324828
79527859,82351168,7,24329524
79527869,82351178,1,24329523
79527872,82351180,22,24329522
79544802,82367456,18,24860597
79544811,82368972,16,24844094
79544812,82368972,16,24844093
79544822,82368981,3,24844092
79544855,82369013,24,24844091
79544856,82369014,1,24844090
79544863,82369020,18,24844089
79544872,82369031,20,24844088
79544879,82369037,21,24448510
79544883,82369041,3,24844087
79544885,82369043,11,24184273
79544889,82369047,18,24844086
79544895,82369056,1,24844085
79544907,82369067,1,24844084
79544907,82369068,16,25402530
79544908,82369067,25,24844083
79544908,82369068,16,25402529
79544915,82369077,16,24844082
79544924,82369086,16,24631442
79544925,82369086,16,24631441
79544929,82369090,3,24631440
79545836,82369108,3,24631439
79545837,82369109,1,24631438
79545842,82369114,17,24631437
79545843,82369115,19,24631436
79545846,82369118,21,24631435
79545846,82369119,16,25364554
79545847,82369118,16,24631434
79545847,82369119,16,25364553
79545850,82369123,1,24631433
79545850,82369124,16,25364552
79545851,82369123,16,24631432
79545851,82369124,1,25364551
79545867,82369144,16,24631431
79545867,82369145,16,25364550
79545868,82369144,3,24631430
79545868,82369145,16,25364549
79545874,82369153,1,24631429
79545874,82369154,16,25296801
79545875,82369153,16,24631428
79545875,82369154,16,25296800
79545878,82369157,1,24631427
79545884,82369162,21,24631426
79545886,82369164,21,24631425
79545918,82369191,1,24629567
79545891,82369169,16,24631424
79545891,82369170,16,25296799
79545892,82369169,21,24631423
79545892,82369170,16,25296798
79545893,82369171,16,24631422
79545904,82369182,3,24631421
79545905,82369183,16,24594618
79545920,82369193,3,24629566
79545924,82369197,1,24629565
79545925,82369197,7,24629564
79545932,82369204,1,24629563
79545934,82369206,3,24629562
79545937,82369209,3,24629561
79545941,82369213,3,24629560
79545943,82369215,24,24976160
79545945,82369217,21,24629559
79545948,82369220,24,24629558
79545949,82369220,16,24629557
79545959,82369230,3,24629556
79545968,82369240,3,24976159
79545971,82369243,24,24629555
79545973,82369245,3,24629554
79545974,82369246,3,24629553
79545976,82369248,4,24629552
79545980,82369252,1,24629551
79545982,82369254,3,24629550
79545998,82370773,24,24326980
79546904,82370789,4,24326979
79546909,82370794,16,24326978
79546912,82370796,3,24047119
79546914,82370799,4,24326977
79546915,82370800,4,24326976
79546932,82370817,1,24326975
79546936,82370821,3,24326974
79546938,82370823,1,24326973
79547001,82370886,3,24667665
79547002,82370886,16,24667664
79547006,82370889,24,24667663
79547007,82370890,14,24667662
79547013,82370895,1,24411433
79546942,82370827,14,24047118
79546948,82370832,17,24047117
79546953,82370837,21,24280487
79546959,82370843,19,24697544
79546960,82370844,3,25001404
79546963,82370849,21,24697543
79546970,82370855,24,24697542
79546973,82370857,1,25001403
79546981,82370866,1,24697541
79546984,82370868,1,25001401
79546984,82370869,16,25373986
79546983,82370868,16,25001402
79546983,82370869,16,25373987
79546990,82370875,16,24667667
79546990,82370876,16,25369280
79546991,82370875,1,24667666
79546991,82370876,16,25369279
79546995,82370880,24,24976176
79547011,82370893,1,24411434
79547014,82370896,16,24667661
79547019,82370901,24,24667660
79547020,82370902,24,24667659
79547022,82370906,9,24140108
79547025,82370909,21,24667658
79547026,82370910,3,24667657
79547027,82370911,24,24600853
79547028,82370912,16,24667656
79547029,82370912,16,24667655
79547034,82370917,1,24140107
79547034,82370918,1,25369278
79547041,82370923,3,24140106
79547042,82370924,1,24667654
79547053,82370935,3,24667653
79547057,82370940,6,24667652
79547059,82370942,5,24667651
79547060,82370942,5,24667650
79547063,82370945,3,24140105
79547070,82370951,24,24667592
79547989,82370979,16,24631350
79547990,82370980,3,24631349
79547991,82370981,1,24631348
79547992,82370982,15,24631347
79547992,82370983,16,25364535
79547993,82370982,16,24631346
79547993,82370983,16,25364534
79548003,82370994,11,24631345
79548124,82372618,16,24667640
79548006,82370997,1,24631344
79548008,82370999,24,24411426
79548009,82371000,1,24631343
79548016,82371005,16,24631341
79548015,82371005,3,24631342
79548018,82371007,1,24631340
79548020,82371009,14,24631339
79548021,82371010,3,24631338
79548022,82371011,1,24631337
79548023,82371012,3,24631336
79548026,82371015,10,24631335
79548034,82371022,24,24976170
79548036,82371024,21,25134985
