agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
17363,PA56BCI0X,PA56BCI00,"State Police, Bureau of Criminal Investigation: Somerset County","State Police, Bureau of Criminal Investigation: Somerset County",4,State Police,,,,,42,PA,2312,Somerset,42111,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,2004,,2016,2013,,0,8E,Non-MSA State Police,L,N,N,12,0,10,,,,,,,,,
16800,PA043BF00,PA043BF00,Bureau of Forestry: Mercer County,Bureau of Forestry: Mercer County,6,Other State Agency,,,,,42,PA,2299,Mercer,42085,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,2011,,2016,2013,,0,9D,"MSA counties under 10,000",L,Y,N,12,0,6,,,,,,,17101,41.300014,-80.252786
17033,PA0545100,PA0545100,East Norwegian Township Police Department,East Norwegian Township,1,City,,,9376,Pottsville,42,PA,2310,Schuylkill,42107,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,2007,,2016,2013,,839,7,"Cities under 2,500",L,N,N,0,0,7,,,,,,,17901,40.703682,-76.217788
16679,PA0391000,PA0391000,Lower Milford Township Police Department,Lower Milford Township,1,City,,,9176,Limeport,42,PA,2295,Lehigh,42077,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1964,1989,2016,2014,,0,7,"Cities under 2,500",L,Y,N,0,0,0,16684,PA0391500,Lower Milford Township,2004,5,0,18036,40.614241,-75.590627
16965,PA051SP00,PA051SP00,State Police: Philadelphia County,State Police: Philadelphia County,4,State Police,,,,,42,PA,2307,Philadelphia,42101,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1964,,2016,2013,,0,9D,"MSA counties under 10,000",L,Y,N,12,0,10,,,,2016,1,0,19131,40.009376,-75.133346
17123,PA0610500,PA0610500,Sugarcreek Police Department,Sugarcreek,1,City,,,9037,Franklin,42,PA,2317,Venango,42121,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1973,,2016,2013,,5129,6,"Cities from 2,500 thru 9,999",L,N,N,12,0,9,,,,2016,3,0,16323,41.40198,-79.754418
17034,PA0545200,PA0545200,Pennsylvania State University: Schuylkill,Pennsylvania State University: Schuylkill,3,University or College,,472,,,42,PA,2310,Schuylkill,42107,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,2011,,2016,2013,,0,7,"Cities under 2,500",L,N,N,12,0,6,,,,2016,4,0,16802,40.703682,-76.217788
17032,PA0545000,PA0545000,Reilly Township Police Department,Reilly Township,1,City,,,8843,Branchdale,42,PA,2310,Schuylkill,42107,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,2009,,2016,2013,,706,7,"Cities under 2,500",L,N,N,11,0,7,,,,2016,2,0,17923,40.703682,-76.217788
16267,PA0192000,PA0192000,Centralia Police Department,Centralia,1,City,,,8831,Bloomsburg,42,PA,2275,Columbia,42037,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1980,,2016,2014,2010,10,7,"Cities under 2,500",L,Y,N,0,0,0,16279,PA019SP00,State Police: Columbia County,1989,1,0,17815,41.045517,-76.40426
16389,PA0233400,PA0233400,Trainer Police Department,Trainer,1,City,,,9513,Trainer,42,PA,2279,Delaware,42045,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1973,,2016,2013,,1850,7,"Cities under 2,500",L,Y,N,12,0,8,,,,2016,4,0,19061,39.91667,-75.398786
16440,PA0260400,PA0260400,"Southwest Regiona Police Departmentl, Fayette County","Southwest Regional, Fayette County",1,City,,,8808,Belle Vernon,42,PA,2282,Fayette,42051,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2013,,7705,6,"Cities from 2,500 thru 9,999",L,Y,N,12,0,10,,,,2016,4,0,15012,39.918725,-79.639946
16669,PA0390000,PA0390000,Lehigh County Sheriff's Office,Lehigh,2,County,,,,,42,PA,2295,Lehigh,42077,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2014,1984,0,9D,"MSA counties under 10,000",L,Y,N,0,0,0,16689,PA039SP00,State Police: Lehigh County,,,,18101,40.614241,-75.590627
17264,PA066BF00,PA066BF00,Bureau of Forestry: Wyoming County,Bureau of Forestry: Wyoming County,6,Other State Agency,,,,,42,PA,2322,Wyoming,42131,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1994,,2016,2013,,0,9D,"MSA counties under 10,000",L,Y,N,12,0,7,,,,2003,1,0,17101,41.525219,-76.008709
17185,PA0635000,PA0635000,West Pike Run Police Department,West Pike Run,1,City,,,8941,Daisytown,42,PA,2319,Washington,42125,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,2006,,2016,2013,,1565,7,"Cities under 2,500",L,Y,N,11,0,9,,,,2016,1,0,15427,40.200005,-80.252132
16725,PA0403700,PA0403700,Shickshinny Police Department,Shickshinny,1,City,,,9441,Shickshinny,42,PA,2296,Luzerne,42079,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1975,,2016,2013,,823,7,"Cities under 2,500",L,Y,N,0,0,2,,,,1991,1,0,18655,41.172787,-75.976035
16821,PA0450700,PA0450700,Pocono Township Police Department,Pocono Township,1,City,,,9500,Tannersville,42,PA,2301,Monroe,42089,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1973,,2016,2013,,10758,5,"Cities from 10,000 thru 24,999",L,Y,N,12,0,10,,,,2016,18,1,18372,41.05624,-75.329065
16337,PA0221300,PA0221300,Penbrook Police Department,Penbrook,1,City,,,9074,Harrisburg,42,PA,2278,Dauphin,42043,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2013,2016,2967,6,"Cities from 2,500 thru 9,999",L,Y,N,12,12,9,,,,2016,7,0,17103,40.412565,-76.792634
15811,PA0030800,PA0030800,Kiskiminetas Township Police Department,Kiskiminetas Township,1,City,,,9469,Spring Chruch,42,PA,2259,Armstrong,42005,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,2005,,2016,2013,,4680,6,"Cities from 2,500 thru 9,999",L,Y,N,12,0,10,,,,2016,9,0,15686,40.81238,-79.464129
16250,PA0190200,PA0190200,Berwick Police Department,Berwick,1,City,,,8820,Berwick,42,PA,2275,Columbia,42037,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2013,,10274,5,"Cities from 10,000 thru 24,999",L,N,Y,12,0,10,,,,2016,14,1,18603,41.045517,-76.40426
16768,PA0420300,PA0420300,Port Allegany Police Department,Port Allegany,1,City,,,9368,Port Allegany,42,PA,2298,Mckean,42083,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2013,,2090,7,"Cities under 2,500",L,N,N,11,0,9,,,,2015,3,0,16743,41.81459,-78.572463
15875,PA004DE00,PA004DE00,Bureau of Narcotics: Beaver County,Bureau of Narcotics: Beaver County,6,Other State Agency,,,,,42,PA,2260,Beaver,42007,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1976,,2016,2013,,0,9D,"MSA counties under 10,000",L,Y,N,12,0,8,,,,,,,17120,40.68414,-80.350721
15877,PA0050000,PA0050000,Bedford County Sheriff's Office,Bedford,2,County,,,,,42,PA,2261,Bedford,42009,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2013,,0,8D,"Non-MSA counties under 10,000",L,N,N,12,0,6,,,,2016,10,1,15522,39.99862,-78.494751
16324,PA0220000,PA0220000,Dauphin County Sheriff's Office,Dauphin,2,County,,,,,42,PA,2278,Dauphin,42043,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,,,0,9D,"MSA counties under 10,000",L,Y,N,0,0,0,,,,2000,12,2,17108,40.412565,-76.792634
17099,PA0590900,PA0590900,Mansfield University,Mansfield University,3,University or College,,336,,,42,PA,2315,Tioga,42117,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1979,,2016,2013,,0,7,"Cities under 2,500",L,N,N,12,0,10,,,,2016,8,3,16933,41.766859,-77.257288
17330,PA23BCI0X,PA23BCI00,"State Police, Bureau of Criminal Investigation: Delaware County","State Police, Bureau of Criminal Investigation: Delaware County",4,State Police,,,,,42,PA,2279,Delaware,42045,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,2004,,2016,2013,,0,9E,MSA State Police,L,Y,N,12,0,10,,,,2007,5,0,,,
16172,PA0152400,PA0152400,Thornbury Township Police Department,Thornbury Township,1,City,,,9568,Westtown,42,PA,2271,Chester,42029,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1973,,2016,2014,1999,3353,6,"Cities from 2,500 thru 9,999",L,Y,N,0,0,0,16174,PA0152700,Westtown-East Goshen Regional,1992,1,0,19395,39.973965,-75.749732
15842,PA0041500,PA0041500,Monaca Police Department,Monaca,1,City,,,9242,Monaca,42,PA,2260,Beaver,42007,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2013,,5661,6,"Cities from 2,500 thru 9,999",L,Y,N,12,0,10,,,,2016,7,0,15061,40.68414,-80.350721
15658,PA0010700,PA0010700,New Oxford Police Department,New Oxford,1,City,,,9298,New Oxford,42,PA,2257,Adams,42001,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1973,,2016,2014,2006,1787,7,"Cities under 2,500",L,Y,N,0,0,0,15663,PA0011800,Eastern Adams Regional,1997,2,0,17350,39.869471,-77.21773
16757,PA0410800,PA0410800,Hughesville Police Department,Hughesville,1,City,,,9105,Hughesville,42,PA,2297,Lycoming,42081,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1973,,2016,2013,,2115,7,"Cities under 2,500",L,Y,N,12,0,9,,,,2016,3,0,17737,41.34362,-77.055225
16501,PA031DE00,PA031DE00,Bureau of Narcotics: Huntingdon County,Bureau of Narcotics: Huntingdon County,6,Other State Agency,,,,,42,PA,2287,Huntingdon,42061,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1976,,2016,2013,,0,8D,"Non-MSA counties under 10,000",L,N,N,12,0,10,,,,2006,15,3,17120,40.422321,-77.968584
17059,PA0561200,PA0561200,Salisbury Police Department,Salisbury,1,City,,,9416,Salisbury,42,PA,2312,Somerset,42111,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1975,,2016,2014,2012,700,7,"Cities under 2,500",L,N,N,0,0,0,17070,PA056SP00,State Police: Somerset County,1980,1,0,15558,39.981297,-79.028486
16487,PA0300000,PA0300000,Greene County Sheriff's Office,Greene,2,County,,,,,42,PA,2286,Greene,42059,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2013,,0,8D,"Non-MSA counties under 10,000",L,N,N,12,0,9,,,,2016,8,2,15370,39.847707,-80.225655
16140,PA0140700,PA0140700,Ferguson Township Police Department,Ferguson Township,1,City,,,9478,State College,42,PA,2270,Centre,42027,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1974,,2016,2013,,18462,5,"Cities from 10,000 thru 24,999",L,Y,N,12,0,10,,,,2016,22,2,16801,40.90916,-77.84783
16819,PA0450500,PA0450500,Coolbaugh Township Police Department,Coolbaugh Township,1,City,,,9364,Pocono Pines,42,PA,2301,Monroe,42089,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1973,,2016,2014,2004,20176,5,"Cities from 10,000 thru 24,999",L,Y,N,0,0,0,16823,PA0450900,Pocono Mountain Regional,1996,9,1,18350,41.05624,-75.329065
16257,PA0191000,PA0191000,Mifflin Township Police Department,Mifflin Township,1,City,,,8831,Bloomsburg,42,PA,2275,Columbia,42037,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1976,,2016,2014,2012,2294,7,"Cities under 2,500",L,Y,N,0,0,5,16263,PA0191600,South Centre Township,2011,4,0,17815,41.045517,-76.40426
17192,PA0640000,PA0640000,Wayne  County Sheriff's Office,Wayne ,2,County,,,,,42,PA,2320,Wayne,42127,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2013,,0,8D,"Non-MSA counties under 10,000",L,N,N,12,0,7,,,,2016,13,3,18431,41.647007,-75.293195
17291,PA0673000,PA0673000,Wrightsville Police Department,Wrightsville,1,City,,,9587,Wrightsville,42,PA,2323,York,42133,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1973,,2016,2013,,2285,7,"Cities under 2,500",L,Y,N,10,0,8,,,,2016,4,0,17368,39.921751,-76.728889
16162,PA0151400,PA0151400,West Goshen Township Police Department,West Goshen Township,1,City,,,9555,West Chester,42,PA,2271,Chester,42029,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1962,,2016,2013,,23354,5,"Cities from 10,000 thru 24,999",L,Y,N,12,0,10,,,,2016,30,4,19380,39.973965,-75.749732
