suspect_using_id,offense_id
4,84241848
4,84241647
4,84241648
4,84235026
1,84241649
4,84241849
4,84243716
4,84242232
4,84235027
4,84242233
4,84242234
4,84242235
4,84235035
4,84235036
4,84241850
4,84243717
4,84249559
4,84241650
4,84249560
4,84249561
4,84238869
4,84242236
3,84238870
3,84238871
4,84243718
4,84242237
4,84242238
4,84243719
4,84235028
4,84241851
4,84241852
4,84242239
4,84238032
4,84243720
4,84242240
4,84238872
4,84242241
4,84238024
4,84243721
3,84238873
4,84235029
4,84242242
4,84241853
3,84235030
4,84235032
4,84238874
4,84238033
4,84238034
4,84235031
1,84249562
4,84243722
4,84235033
4,84241854
4,84242246
4,84238025
4,84243723
4,84235034
4,84242243
4,84243724
4,84238026
4,84238027
4,84249563
3,84238875
4,84242244
4,84238028
4,84242245
4,84249564
4,84249565
4,84238878
4,84241855
4,84238879
4,84249566
3,84238880
3,84238881
4,84243725
4,84243726
4,84238030
4,84238876
4,84238029
4,84238877
2,84243004
2,84243005
4,84238031
4,84249567
4,84243006
4,84243007
4,84241857
4,84238038
3,84243727
3,84243728
3,84243729
4,84235037
1,84243730
4,84238035
4,84249568
4,84243731
4,84249569
4,84241856
4,84241858
4,84238882
4,84243732
4,84243008
4,84243733
4,84243734
4,84238036
4,84238883
4,84243009
4,84235038
4,84241859
4,84243010
4,84238886
4,84241860
4,84238884
4,84238885
4,84249570
4,84241861
4,84238037
4,84243011
4,84241862
4,84238887
4,84206457
4,84213767
4,84206458
4,84202209
4,84202210
4,84202211
4,84200066
4,84206057
4,84206459
4,84206058
4,84202212
4,84206460
4,84202213
4,84213768
4,84207213
4,84207214
4,84212240
4,84200067
4,84207215
4,84212241
4,84202096
3,84213769
4,84207216
4,84213770
4,84202097
4,84213771
4,84202214
4,84212242
4,84202098
4,84212243
4,84212244
4,84213772
4,84213773
4,84207217
4,84206059
4,84202215
4,84202099
4,84212245
4,84213774
4,84207218
4,84213775
4,84206060
4,84206061
4,84202216
4,84202100
4,84206062
4,84206063
4,84213776
4,84207219
4,84207220
4,84202101
4,84207221
4,84202217
4,84212247
4,84202103
4,84206064
4,84213777
4,84206065
4,84202102
4,84206066
4,84212246
4,84206067
4,84202218
4,84200068
4,84200069
4,84207222
4,84206068
4,84206069
4,84202219
4,84200070
4,84202105
4,84206070
4,84213781
4,84212248
4,84202104
4,84212249
4,84200071
4,84202220
4,84212250
4,84202221
4,84206071
4,84202106
4,84200072
4,84212251
4,84202222
4,84207223
4,84206072
4,84200073
1,84200074
1,84200075
4,84202224
4,84212252
4,84213779
4,84213780
4,84202223
4,84213778
4,84202107
4,84202225
4,84202226
4,84202227
4,84207224
4,84213782
4,84202108
4,84206073
4,84200076
4,84206074
3,84200077
3,84200078
4,84202228
4,84200079
4,84202109
4,84202110
4,84206075
4,84212253
4,84207225
4,84202229
4,84202230
4,84202231
4,84213783
4,84213784
2,84213785
4,84226016
3,84222618
4,84222993
4,84222619
4,84235002
4,84222994
4,84222995
3,84235000
4,84235001
4,84222996
4,84222997
4,84222620
4,84222621
3,84230924
4,84230925
3,84213340
4,84222998
4,84222999
4,84222622
4,84222623
4,84222624
3,84213341
4,84213342
4,84215444
4,84226017
4,84213343
4,84230926
4,84214094
