offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
70392505,66235535,16,C,20,,,
70392506,66235535,35,C,20,,,
70392507,66235540,16,C,20,,,
70392508,66235540,35,C,20,,,
70378557,66235536,45,C,20,,,
70378558,66235536,11,C,20,,,
70378559,66235536,35,C,20,,,
70398062,66235538,35,C,25,,,
70390017,66235539,16,C,25,,,
70382792,66235541,35,C,13,,,
70398061,66235537,35,C,20,,,
70390018,66235542,16,C,20,,,
70390019,66235542,35,C,20,,,
70398059,66235534,16,C,41,,,
70398060,66235534,35,C,41,,,
