nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
5799378,15887,1,2012,U,,,N,F,,C,2012_01_PA0060000_NIBRS,
5821579,15887,2,2012,U,,,N,F,,C,2012_02_PA0060000_NIBRS,
5843780,15887,3,2012,U,,,N,F,,C,2012_03_PA0060000_NIBRS,
5865981,15887,4,2012,U,,,N,F,,C,2012_04_PA0060000_NIBRS,
5888182,15887,5,2012,U,,,N,F,,C,2012_05_PA0060000_NIBRS,
5910383,15887,6,2012,U,,,N,F,,C,2012_06_PA0060000_NIBRS,
5932584,15887,7,2012,U,,,N,F,,C,2012_07_PA0060000_NIBRS,
5954785,15887,8,2012,U,,,N,F,,C,2012_08_PA0060000_NIBRS,
5976986,15887,9,2012,U,,,N,F,,C,2012_09_PA0060000_NIBRS,
5999187,15887,10,2012,U,,,N,F,,C,2012_10_PA0060000_NIBRS,
6021388,15887,11,2012,U,,,N,F,,C,2012_11_PA0060000_NIBRS,
6043589,15887,12,2012,U,,,N,F,,C,2012_12_PA0060000_NIBRS,
5799379,15888,1,2012,U,,,N,F,,C,2012_01_PA0060100_NIBRS,
5821580,15888,2,2012,U,,,N,F,,C,2012_02_PA0060100_NIBRS,
5843781,15888,3,2012,U,,,N,F,,C,2012_03_PA0060100_NIBRS,
5865982,15888,4,2012,U,,,N,F,,C,2012_04_PA0060100_NIBRS,
5888183,15888,5,2012,U,,,N,F,,C,2012_05_PA0060100_NIBRS,
5910384,15888,6,2012,U,,,N,F,,C,2012_06_PA0060100_NIBRS,
5932585,15888,7,2012,U,,,N,F,,C,2012_07_PA0060100_NIBRS,
5954786,15888,8,2012,U,,,N,F,,C,2012_08_PA0060100_NIBRS,
5976987,15888,9,2012,U,,,N,F,,C,2012_09_PA0060100_NIBRS,
5999188,15888,10,2012,U,,,N,F,,C,2012_10_PA0060100_NIBRS,
6021389,15888,11,2012,U,,,N,F,,C,2012_11_PA0060100_NIBRS,
6043590,15888,12,2012,U,,,N,F,,C,2012_12_PA0060100_NIBRS,
5799380,15889,1,2012,U,,,N,F,,C,2012_01_PA0060200_NIBRS,
5821581,15889,2,2012,U,,,N,F,,C,2012_02_PA0060200_NIBRS,
5843782,15889,3,2012,U,,,N,F,,C,2012_03_PA0060200_NIBRS,
5865983,15889,4,2012,U,,,N,F,,C,2012_04_PA0060200_NIBRS,
5888184,15889,5,2012,U,,,N,F,,C,2012_05_PA0060200_NIBRS,
5910385,15889,6,2012,U,,,N,F,,C,2012_06_PA0060200_NIBRS,
5932586,15889,7,2012,U,,,N,F,,C,2012_07_PA0060200_NIBRS,
